title,thumbnail,artist,album,length
Dumb Ways to Die,https://i.ytimg.com/vi/IJNR2EpS0jw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lCI0kMBGwU3YCmAsUE2-vPnh2zvg,Tangerine Kitty,,3:02
Sunrise,https://i.ytimg.com/vi/fd02pGJx0s0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nXB1T5IUbnl64YwicM7y7HsJgdNg,Norah Jones,,3:32
This Year's Love,https://i.ytimg.com/vi/6zN4_7hq77g/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3llUA6GQTmwYsKGve4TJbxOdAN6zQ,David Gray,,4:04
Cannonball,https://i.ytimg.com/vi/3yqM--IMkX4/hqdefault.jpg?sqp=-oaymwEWCMACELQBIAQqCghQEJADGFogjgJIWg&rs=AMzJL3kFXLQPrnfSQUml18JXVTGXCbc4EA,Damien Rice,,4:37
Fuel to Fire,https://i.ytimg.com/vi/hqZGvkF00DI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l-Tt11Lz0Xja_4OXviAaF8MHo0KQ,아그네스 오벨,,5:30
You've Got a Friend,https://i.ytimg.com/vi/eAR_Ff5A8Rk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mdkbOhHCK6IJaWwXJLLpgF0SwnXQ,Carole King,,5:11
U (Man Like),https://i.ytimg.com/vi/Hs5rXRPC0rc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lijhm6mMiB2dgaL2OxdrWGqHbWDA,Bon Iver,,2:26
Better Together,https://lh3.googleusercontent.com/SsNc90YXX9cpFOmjJTeROMLGydODA75RiefZGF30OGVcxSLhvAXy_qsS_MiFNtI4K30XJSx0cUESNPA=w120-h120-s-l90-rj,Jack Johnson,In Between Dreams,3:27
Jimmy,https://i.ytimg.com/vi/lnbl94GZ6TM/hqdefault.jpg?sqp=-oaymwEWCMACELQBIAQqCghQEJADGFogjgJIWg&rs=AMzJL3mLx2-2aAqpVcEZORM1eDKZdYXYKg,모리아티,,3:45
Delicate,https://i.ytimg.com/vi/dRPwFAoQwxc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lod7THq-9b2-s6AwARj8U4D_42eQ,Damien Rice,,5:15
Cayman Islands,https://i.ytimg.com/vi/c-ppARtcQfo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mFy5aKPht5Lf8agy0fFHUPiT8lKQ,킹스 오브 컨비니언스,,2:41
be,https://i.ytimg.com/vi/hLAzwGLQjH8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m_KJkCfdchUDe5_3F9HEK-TVe6RQ,gnash,,3:18
Lost & Found,https://i.ytimg.com/vi/ou5uZjDNEko/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kLZJ3Q8MZ2FLkOuEhMaKCsj6raNA, Lianne La Havas,,4:30
The First Time Ever I Saw Your Face,https://lh3.googleusercontent.com/SO8yPChElW5T9OtosVEO5EufRXK5FZ2jBt2H5geHF84MGWR2pTmca99KXv8iugGJAJZD1cRKoCWY8kq2QQ=w120-h120-l90-rj,Roberta Flack,First Take,4:21
Life's for the Living (Acoustic),https://i.ytimg.com/vi/EsAgcHRDSHc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nJwR7n8iu-IYFgS-8N2wT1Mb2lZw,Passenger(패신저),,2:06
No Shade in the Shadow of the Cross,https://i.ytimg.com/vi/qx1s_3CF07k/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kX6nfXL0XfWOY5nD6sbL1Sf_QBrg,수프얀 스티븐스,,2:40
