title,thumbnail,description,type,artist,year
몽환적인 트렌디 감성 팝,https://lh3.googleusercontent.com/zsKIlzktaTEKY40qRLHJv52arwiXOU2WZngQ3JDQXBHAVXjkMeniXj9I1p7VdyGtNGwL38hP=w544-h544-l90-rj,,재생목록,YouTube Music,2020
내밀한 사운드 클래식 독주/앙상블,https://lh3.googleusercontent.com/uu2lcCB_DyGl7mmTJJKvwmYuIwdaTzZbt1v0AzDy-XmkKyuO4A5-byZyyt_Sj7jyf6Lu7ei1KeY=w544-h544-l90-rj,유튜브뮤직 제공,재생목록,YouTube Music,2020
구름낀 날 듣고 싶은 국내 발라드,https://lh3.googleusercontent.com/83O9QsAi9NXW-T8IYIKqjXLURn_x5AYQXcD0WC_qoq-1mHfdjwThVSDpRGz8D4x9LcJf2ISF=w544-h544-l90-rj,,재생목록,YouTube Music,2020
꿈결같은 드림 팝,https://lh3.googleusercontent.com/jEfW70Bfbhkp3k0_YVJ8fYo675C5UZjen9GzB_5iAwFg-UMrE_UycGoqAAk-uOwSS9qv92mRFw=w544-h544-l90-rj,레트로 느낌의 청춘 비디오 혹은 북유럽의 오로라가 떠오르는 드림팝을 감상하세요.,재생목록,YouTube Music,2020
센치한 감성의 국내 인디,https://lh3.googleusercontent.com/nyfNE5vEZByz8VqjtpZGPzivSR4EbsHqgeTR82WoyTrJWvffbZLMavnIz4rTaTOKKHhymDk5M0g=w544-h544-l90-rj,by YouTube Music,재생목록,YouTube Music,2020
구름 위 침대에서 듣는 재즈,https://lh3.googleusercontent.com/axZi8QBfv5mJ1LJGfmdXR_lTtSMoII-6EvsY0N66fTwEQDYamDZ6V6h1OjygnCG7IxceX2BPEg=w544-h544-l90-rj,구름 낀 날이라면 재즈 음악과 함께 분위기를 즐기는건 어떨까요?,재생목록,YouTube Music,2020
잔잔한 해외 어쿠스틱 & 포크,https://lh3.googleusercontent.com/J0CU8HOejZ9AJoEzUPwPgeuQ6gGiSZUjhKyDFVSRRnkL2ahx7voYkIciIX-IHSPTk0Et-jlgCA=w544-h544-l90-rj,,재생목록,YouTube Music,2020
몽환적인 국내 PBR&B/힙합,https://lh3.googleusercontent.com/25yGwkQyrghLExp6YoJXp4aWQF9JkTaYm7paVYV-DyVAv519TEzYlR_1XvynciZcfNtKyAdwXKY=w544-h544-l90-rj,,재생목록,YouTube Music,2020
상상력을 자극하는 컨템포러리 클래식,https://lh3.googleusercontent.com/Co9S1zhfrf4q1acg-pkajO0sWzbRhK9ieEUIk-_O97UNRu33Vm0oC5Nk-RI0yit_wNcXTd3byQ=w544-h544-l90-rj,음산한 날엔 독특한 사운드의 컨템포러리 클래식이 신선한 자극으로 다가옵니다.,재생목록,YouTube Music,2020
북유럽 감성 팝/포크,https://lh3.googleusercontent.com/Z6soTrVVh9ks9NfW_0Rd3ZPw7tJqvsicT6QJituD7o1EUK6z5vfH_X7qHunwAM59UvOeXoGa=w544-h544-l90-rj,흐린 하늘이 갑갑할 땐 북유럽으로 음악여행을 떠나세요.,재생목록,YouTube Music,2020
