title,thumbnail,artist,album,length
Green Dolphin Street,https://lh3.googleusercontent.com/MJJzPhwSe1cbpNJw0B8vDmd6zjl0GxleTGf0PrByStfa5j3eW1-3WmhDV-MFYMyLBl5gUTvmQS9LfnA=w120-h120-l90-rj,Wynton Kelly,Kelly Blue,4:44
'Round Midnight,https://i.ytimg.com/vi/Ys9wiGNDCvA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kzC7kJSpo6hX4fgGNI857Le_iw-w,Miles Davis,,5:57
Jitterburg Waltz,https://lh3.googleusercontent.com/2ZkjPcfAIlazNakcSH967QlubMWSpPKfqq8WPGTLuwKtezahfUN-ohxJlOry4yMdTEoKX-GjQY78ygk=w120-h120-l90-rj,아트 테이텀,Night and Day,3:45
Round Midnight,https://lh3.googleusercontent.com/IDaEYKuxYeg4QbJhzMYKWvQQ80mZcol3WytjAPa07j1op3LItXYQC7lJU7_PIoQmJK8kxRuml000D1Y=w120-h120-l90-rj,셀로니어스 몽크,Thelonious Monk: At the Blackhawk,12:07
I Can't Get Started,https://lh3.googleusercontent.com/_EiMooNT63PltZH9wSMOPtjUWwBGQfrmY0MP_DRmsMBL1agqkn75SWZV1sfebUwPMvEUbOjGt5Zfnaw=w120-h120-l90-rj,존 루이스,I Can't Get Started,3:37
Smooth as Latte,https://lh3.googleusercontent.com/stfwZhYO_vzGCnDC_86T5mPGvbeZz1JN-cG_Cyv_ZzToZjl5uMJcpNuKp_p-jcJXlCeL7mpyBshDd-kP=w120-h120-l90-rj,French Cafe 24 x 7,"French Cafe Collection, vol. 3",4:34
In Your Own Sweet Way,https://lh3.googleusercontent.com/ixXyiHWP-_UQVb4iWTdfERdLwImZmelvNrk6FYQAdFpn1V3fDlq8ALfKQnMay206Nva7uCeNubGTTsQ90w=w120-h120-l90-rj,Dave Brubeck,Dave Brubeck's Greatest Hits,4:58
The Song Is You,https://lh3.googleusercontent.com/koDcCujZ72i7aFcIkBeiDOs4oitgr46i0b8i8NwrF1t5offvO3U3KmhObv5EJYEkXdIUfysh7zKiezc=w120-h120-l90-rj,마르시알 솔랄,"Martial Solal Trio / Martial Solal, Vol. 2",2:28
Delarna,https://lh3.googleusercontent.com/muo7jNHpA7fe3uVq5oCvwl8b7U-2j3juUCMmYoMbV5CQZYlnSpkWGf8WOoD2vd6fGZiEcyAHFhOLm8wUfQ=w120-h120-l90-rj,토미 플래너건,Jazz & Cocktails,5:52
Blue Bossa (Remastered),https://lh3.googleusercontent.com/rIzsPOZ48aSFNUtbSZGFWTTqM1x9ghigYPOhzcHRe8IVXAWsvXiRigicSQPUfBKLOMdlaApBuMS1k1c=w120-h120-l90-rj,조 헨더슨,Page One,8:02
Mon Homme,https://i.ytimg.com/vi/KpHNQq1LnPU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lN_FWWPmAVhA6vANyp5lHiuC0qag,랄로 시프린,,3:34
Café de la Paix,https://lh3.googleusercontent.com/2CaGfjnzTlWSGnB6LnkxccVO5N-lFWTIXbKqRv0xqJG6JvrYCQUDjVPkUv-NfxS6r83_kHwXJlux7Njm=w120-h120-l90-rj,French Cafe 24 x 7,"French Cafe Collection, vol. 6",4:05
Blue Rondo à la Turk,https://lh3.googleusercontent.com/ixXyiHWP-_UQVb4iWTdfERdLwImZmelvNrk6FYQAdFpn1V3fDlq8ALfKQnMay206Nva7uCeNubGTTsQ90w=w120-h120-l90-rj,Dave Brubeck,Dave Brubeck's Greatest Hits,6:44
Tangerine,https://lh3.googleusercontent.com/HiQ6FRN0GTazIOldidemwhSw5z28NSfGUg1YSxO4dZCsm2fHJsHk8pcW8bKA0h5fAhfzVEbv3xpMW7I=w120-h120-l90-rj,Jim Hall,Jazz Guitar Kings,3:00
Skal Brothers,https://lh3.googleusercontent.com/MBEmA4sipYxmKUh8fhmcekdNIOvgRcYe8I47dr7kMjFQYuaux1fSMb_VSJ0bkmmc_M8ufCThW7cC4_c=w120-h120-l90-rj,토미 플래너건,A World of Jazz,4:45
Tin Tin Deo,https://lh3.googleusercontent.com/cKeO378J8qZANKo5Weho0YJZ71aqOmk1c9KUC3UXlTWotgk5EkRgckRP4PZz6OXHbLKagUSLOro9hcLq1g=w120-h120-l90-rj,Art Pepper,Art Pepper Meets The Rhythm Section (OJC Remaster),7:46
Don't Blame Me,https://lh3.googleusercontent.com/mxlZKl2vWGP3AWVwDcn7nsc2BC3u6cQhDp-NPKTWh0TjvySSI3x7ey1aH_LXmPVJ9wZLKp1kijSEMP9Z=w120-h120-l90-rj,Mary Lou Williams,The London Sessions,3:48
Parisian Summer,https://lh3.googleusercontent.com/2CaGfjnzTlWSGnB6LnkxccVO5N-lFWTIXbKqRv0xqJG6JvrYCQUDjVPkUv-NfxS6r83_kHwXJlux7Njm=w120-h120-l90-rj,French Cafe 24 x 7,"French Cafe Collection, vol. 6",6:38
Cheese Cake,https://lh3.googleusercontent.com/9RZ0RnXHNCVuLxrjvYKbD8nl5pgV-QyAEmCuY1awOsCkix-CkuipXV4lCN6WWzoIbRTHpjB6Eep3xgY=w120-h120-l90-rj,덱스터 고든,Go!,6:33
Little Girl Blue (Remastered 2016),https://lh3.googleusercontent.com/M9VIwS-3PlHVHIHvGoQ1rEiokZYhZxajhZGseD5S--UgQT7CQLPmSDzmBA8haFiVGBXnfYODbfE71toqgA=w120-h120-l90-rj,행크 존스,Bluebird [Remastered 2016],5:38
Sneaking Around,https://i.ytimg.com/vi/Sk2X9dDL2RU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ltAj9aLhZ_LNv9ndM2lR6fX-69Aw,Betty Carter & Ray Bryant,,3:22
Wabash [Bonus Track](피처링: John Coltrane),https://lh3.googleusercontent.com/v6RrwR_QVTLP0LLYVFWjhVDQfPJDt-jtR9oBo5WVVBn5bxgkLkmQz2dBb76K8OoZc3Kb897VhRDpLkYm=w120-h120-l90-rj,캐넌볼 애덜리,Cannonball Takes Charge (Bonus Track Version),5:46
Alone Together,https://lh3.googleusercontent.com/4LGyiDVaHMnIyK_HO0ublVmEQjmxXyTToIJK5SGZ52F5Pu_iPAagVYGK7qRxw5bXTA6uACKDBdk88Qjk=w120-h120-l90-rj,Chet Baker,Chet Baker Sings Again,6:18
Memories of Champs-Elysées,https://lh3.googleusercontent.com/2CaGfjnzTlWSGnB6LnkxccVO5N-lFWTIXbKqRv0xqJG6JvrYCQUDjVPkUv-NfxS6r83_kHwXJlux7Njm=w120-h120-l90-rj,French Cafe 24 x 7,"French Cafe Collection, vol. 6",30:10
For Carl,https://lh3.googleusercontent.com/A-W5okoXfMs_a5HK7M3OtGJS9mSUwEl3PKjpW_-NDVtfnuYWpvEztmSIXNuSHDO7WQb0lhdfHC1xcegwGA=w120-h120-l90-rj,파이니어스 뉴본 쥬니어,Essential Piano Jazz Masters,7:28
My One And Only Love,https://lh3.googleusercontent.com/TAJFavCU0lyBxfkBGwxWm-xs3utPj8N5-5LRHoWhRCqt0BvLTY7yS3aDj9KNxmnp2poSWiaiwm-f1Ruk=w120-h120-l90-rj,행크 존스,The Talented Touch,2:34
No Problem,https://lh3.googleusercontent.com/Cgehxy1IDXUVREUnRTng2wDHaIV13iYgMKgghAiWsoYpG52CD1Jhyfo6muvayaiUZvLAEw31xuom1-Y24g=w120-h120-l90-rj,Duke Jordan,One For The Library,3:35
Dear Old Stockholm,https://i.ytimg.com/vi/zSrPlyxdTy4/hqdefault.jpg?sqp=-oaymwEWCMACELQBIAQqCghQEJADGFogjgJIWg&rs=AMzJL3lQ6hYQWdXdsmkGJJNLm_d9WG-LXA,Miles Davis,,4:14
Tonk(피처링: Billy Strayhorn Trio),https://lh3.googleusercontent.com/AcEfXeXqmqNQQt0bIK0qAEor1jTrBvswG-Cl38qpwHODLogQe3vZiTcizi7KGLYgaHdfJxvCUsItxTnO=w120-h120-l90-rj,듀크 엘링턴,BD Music & Cabu Present Duke Ellington at the Piano,3:10
Bal au Moulin Rouge,https://lh3.googleusercontent.com/2CaGfjnzTlWSGnB6LnkxccVO5N-lFWTIXbKqRv0xqJG6JvrYCQUDjVPkUv-NfxS6r83_kHwXJlux7Njm=w120-h120-l90-rj,French Cafe 24 x 7,"French Cafe Collection, vol. 6",3:40
Well You Needen`t,https://i.ytimg.com/vi/44y3-cy80zo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lvd8hFOxqzXj_TBFUfjL2byInuzQ,셀로니어스 몽크,,2:59
Odd Number,https://lh3.googleusercontent.com/ThA0jpZ0Inp0X08EbfRhgOzf2-hTS3nLnBqEK7WEwIVGLXcEFb_HvxU_uJhvM-AZv4f-K3ZBj4xY8E4=w120-h120-l90-rj,행크 존스,BD Music & Cabu Present Hank Jones,4:35
Waltz for Debby,https://lh3.googleusercontent.com/QbAjcFFAaD3dtDJ1uYKrIAI5vaK8bt6Q69faskftB7l3w5tRhkN46Pb-pNsTj3mOh0YMG_PuLi16Jw4NPw=w120-h120-l90-rj,Bill Evans,My Foolish Heart,7:17
Lush Life,https://lh3.googleusercontent.com/I942ohuDrJL1TDblGCxqJrn4AP5-7phaS7E1aJir3jkvoOvZc9gKIjN_B0HSp9nwiX9K11ELlGsDXIV0=w120-h120-l90-rj,"지미 존스, Roy Haynes 및 Joe Benjamin","Jazz Milestones: Jimmy Jones, Roy Haynes & Joe Benjamin",3:54
"Bess, You Is My Woman Now (from Porgy and Bess)",https://lh3.googleusercontent.com/vZM-0u1OqXezaGPpWEB1E3_7rnb_vACncxU7Kp8qu22T5JbWxHtSFKH0FgUksyYLctz8qZZs_OHzdoqK=w120-h120-l90-rj,테디 윌슨,Jazz Gershwin,2:31
I Love this Time of the Year,https://lh3.googleusercontent.com/O2AGTw39knOt_7w7mSd8-C6XX2hZgU-2gWxEofbYOrqX0gN0w244cKEvZ-f62Q4scResBQpuFCLz_pul=w120-h120-l90-rj,Hal David & John Cacavas,In the Christmas Swing,2:49
Palimpsest,https://lh3.googleusercontent.com/t26wDw-Ovycl2z81_ESEvuhb7ldZ-v5F0NMq1pAYrMYDOZWjYmn32q3xUykeuSKpPwo8TZsUjEzm3KzNPA=w120-h120-l90-rj,레니 트리스타노,"Lennie's Jazz Education, Vol. 3",2:39
