title,thumbnail,artist,album,length
BIGBANG - ‘LAST DANCE’ M/V,https://i.ytimg.com/vi/--zku6TB5NY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m6gyp1TahgWs81u8B-RGBnCLJe1w,BIGBANG,,4:57
RUN,https://i.ytimg.com/vi/5Wn85Ge22FQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lnH91_MCFgcjtFHkofMoJbhlOTLg,방탄소년단,,7:31
사계 (Four Seasons),https://i.ytimg.com/vi/4HG_CJzyX6A/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kgEtlEVxw5yseGwD_6lpEr1uniSQ,태연(TAEYEON),,3:31
썸 탈꺼야,https://i.ytimg.com/vi/hZmoMyFXDoI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kWr0qZNdSog0TZQs2fLVrApn96Ow,볼빨간사춘기,,3:07
Universe (Live),https://i.ytimg.com/vi/leu-cTvMWTA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ncJIklXwdp9MsqJccEf3KDxOHRSw,EXO,,4:50
한숨,https://i.ytimg.com/vi/5iSlfF8TQ9k/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mBYwSWEASfPhKbCKc4S8RN3dRP7Q,이하이,,4:55
너를 위해,https://i.ytimg.com/vi/JvjWy4saR08/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kaM_Bj2m4_dfXPVJayNRvwCo17eQ,"첸(CHEN), 백현(BAEKHYUN) 및 시우민(XIUMIN)",,3:18
BIGBANG - TOUR REPORT 'IF YOU' IN BANGKOK,https://i.ytimg.com/vi/VvXVuWwAG90/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lu2FMmujJA-uuy1blb5sC6MVs4Lw,BIGBANG,,4:37
11:11,https://i.ytimg.com/vi/ulr0muQKjk0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ng90jRVCQZQ7ZtprmqllbYBuXa4Q,태연(TAEYEON),,3:51
Toy,https://i.ytimg.com/vi/JtjxZoa_LHM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mV2Exo-AQJmvyPIPvZDW1dyVSUNw,블락비(Block B),,3:40
Missing You(그리워하다),https://i.ytimg.com/vi/wDkjWSt3HOM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3na2I9ja8DttvQLOLSjRopB839Mfw,비투비,,4:55
[BANGTAN BOMB] BTS PROM PARTY : UNIT STAGE - 죽어도 너야 - BTS (방탄소년단),https://i.ytimg.com/vi/tt9nIyzN79Y/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ljxJws_WlWJaYFzTpODjUL-6yQ2Q,김태현 및 김석민,,3:51
사월이 지나면 우리 헤어져요 Beautiful goodbye,https://i.ytimg.com/vi/JrOrlhjIYVk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mZldBANvBc4hXMIbxZYIk90f6LJQ,첸(CHEN),,4:47
Dream,https://i.ytimg.com/vi/WfYgbFBFe1E/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mtGW26nCh_EHtRvfbRzAsWKeLkJA,수지 (SUZY) 및 백현(BAEKHYUN),,3:51
Fine,https://i.ytimg.com/vi/NHXUM-6a3dU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nL4-mVrme2MESb6zLpKsg640zbZg,태연(TAEYEON),,4:09
