title,thumbnail,artist,album,length
Stuck with U,https://i.ytimg.com/vi/pE49WK-oNjU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lP-Gg_CxFVFryRN7pEMVD5qZIyMw,Ariana Grande(아리아나 그란데) 및 Justin Bieber(저스틴 비버),,4:18
WANNABE,https://i.ytimg.com/vi/fE2h3lGlOsk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kgVKieUQDn-4ecbnVqgatSr95PJA,ITZY,,3:39
Break My Heart,https://i.ytimg.com/vi/Nj2U6rhnucI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mNIiyrCUmaV8Q-pUn8Q1D-gesRWQ,두아 리파,,3:50
[M/V] NU'EST - I'm in Trouble,https://i.ytimg.com/vi/4Lm9u-iXrDc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nyTOFJQ5odcBndEkakDw0s44X0ZA,뉴이스트(NU'EST),,3:20
Say So,https://i.ytimg.com/vi/pok8H_KF1FA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kXSceK4iK5-9T0BdV82mpiZLXN6g,도자캣,,3:56
Black Swan,https://i.ytimg.com/vi/0lapF4DQPKQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mYYQh-q08Cq8Uw-2BS2wOeHMTAjg,방탄소년단,,3:38
DUN DUN,https://i.ytimg.com/vi/NoYKBAajoyo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mSRmrHUQ4kEBlztWUKcYKIk5qNdQ,EVERGLOW (에버글로우),,3:29
Stupid Love,https://i.ytimg.com/vi/5L6xyaeiV58/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l5Us7SyDz_DSfwxnP4S5Crnk310g,Lady Gaga,,3:38
Don't Start Now,https://i.ytimg.com/vi/oygrmJFKYZY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kEgGZVug1kcrVS6w_zDLI30KizLw,두아 리파,,3:02
I'm Ready,https://i.ytimg.com/vi/glD1M418bC0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lnzOb4YV7Qm9p1r_DwMjq1Trlhwg,Sam Smith(샘 스미스) 및 Demi Lovato(데미 로바토),,3:27
