title,thumbnail,artist,album,length
Kill This Love,https://i.ytimg.com/vi/2S24-y0Ij3Y/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nJr8TNH64g8IZ1UncSNnVEaaDAMQ,BLACKPINK,,3:14
작은 것들을 위한 시 (Boy With Luv)(피처링: Halsey(할시)),https://i.ytimg.com/vi/XsX3ATc3FbA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k5Ve4sprEHvxJybFBM38O2urwI1g,방탄소년단,,4:13
Feel Special,https://i.ytimg.com/vi/3ymwOvzhwHs/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l6OFSiR_aYdINSo0Gd8LmOjv0TnA,TWICE(트와이스),,3:41
HIP,https://i.ytimg.com/vi/KhTeiaCezwM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lRSrG0xKc2pt3Ttf3XYi8UhLPKkQ,마마무(MAMAMOO),,3:31
ICY,https://i.ytimg.com/vi/zndvqTc4P9I/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mwpcl9Kkh5Ck4JAde8BzcyG3IUwA,ITZY,,3:20
Obsession,https://i.ytimg.com/vi/uxmP4b2a0uY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mKhjJgLEcgdwlY35CMX7srwMiyJw,EXO,,3:40
DDU-DU DDU-DU,https://i.ytimg.com/vi/IHNzOHi8sJs/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ldfqCHt6A4OWTbmd4CAB4mJsXInA,BLACKPINK,,3:36
IDOL,https://i.ytimg.com/vi/pBuZEGYXA6E/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mQx2rHjPd4T4ZnKqJqslcEGcj4DQ,방탄소년단,,3:52
FANCY,https://i.ytimg.com/vi/kOHB85vDuow/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kddKtxcZ0PQ4KGKwvruJ3xqvZNkg,TWICE(트와이스),,3:39
[MV] MOMOLAND(모모랜드) _ Thumbs Up,https://i.ytimg.com/vi/TbuP2ypiTRc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lWBU3i96CYKMMMnvsYtbONg2_3gw,1theK (원더케이),,3:27
DALLA DALLA,https://i.ytimg.com/vi/pNfTK39k55U/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mxSlCAAHklIezeA78GQg9qh0wyDw,ITZY,,3:47
FLASH,https://i.ytimg.com/vi/LlQEKB2H7z4/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lM1tadrhRBPFU6_pdEyN-w6CiUog,X1,,3:30
SOLO,https://i.ytimg.com/vi/b73BI9eUkjM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ntQ72MSh45GAqJLYqk0nAa4yAWzQ,제니,,2:57
DNA,https://i.ytimg.com/vi/MBdVXkSdhwU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kEo9hJMb-QlertvXCRnqEjY0rrtQ,방탄소년단,,4:16
What is Love,https://i.ytimg.com/vi/i0p1bmr0EmE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lNDlnzbpwaAH23dk71qxaCtRQzDA,TWICE(트와이스),,3:44
라비앙로즈 (La Vie en Rose),https://i.ytimg.com/vi/WZwr2a_lFWY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l_rvw14ulb9jQv2_USZ-m23ML3-w,아이즈원,,3:40
Power Up,https://i.ytimg.com/vi/aiHSVQy9xN8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mCRXAp4DtjpVTb6vFI7RjfuIgdAw,Red Velvet,,3:28
TWIT,https://i.ytimg.com/vi/ScSn235gQx0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ll---MyH6at4djkkJ0QU_xg54Xbg,화사,,3:46
마지막처럼,https://i.ytimg.com/vi/Amq-qlqbjYA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m4sMm4hFK2V1yFpmclFHLF-3LBqQ,BLACKPINK,,3:37
YES or YES,https://i.ytimg.com/vi/mAKsZ26SabQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kdJ0gzV8UTN4q5rmf6tynnzaoqxw,TWICE(트와이스),,4:29
비올레타 Violeta,https://i.ytimg.com/vi/6eEZ7DJMzuk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nqr4kcfXkMEs-SvsXUz9gDghw_pw,아이즈원,,3:25
음파음파 (Umpah Umpah),https://i.ytimg.com/vi/vHS9E6JFja8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lyP7fwauocKlgf5DmhDERihP2hsA,Red Velvet,,3:46
누구 없소(피처링: B.I),https://i.ytimg.com/vi/GQqyCeKf8rw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mK5wFSOGMVGl0y8DBMYxJNABTqOA,이하이,,3:30
BLACKPINK - '붐바야'(BOOMBAYAH) M/V,https://i.ytimg.com/vi/bwmSjveL3Lc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kv9tOW-w3jG3VkuE_11XkpbC9T-g,BLACKPINK,,4:04
FAKE LOVE,https://i.ytimg.com/vi/7C2z4GqqS5E/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kOjtmHXQrsqwyl9Tne9w2cMT6FSg,방탄소년단,,5:19
