title,thumbnail,description,type,artist,year
최신음악 믹스,https://lh3.googleusercontent.com/HCiQ2_AbFCQvEUFF586LDLHtm_DnK9BvGDmeq7NJOnCwM25iqsJytMjyXwEuV4rDFglvg4yXYQ=w544-h544-l90-rj,"나만을 위해 선별된 신곡입니다. 새로운 노래가 출시될 때마다 조금씩 업데이트되며, 금요일마다 대규모 업데이트가 있으니 확인해 주세요.",매주 금요일 업데,주 금,업데이트
에잇,https://lh3.googleusercontent.com/raCvjGEtKIiRpduJYDcfclLVqh4LfiESAZU5XxODLlZ2XhCvJ7GCfhrWJ1XD4NiV8oirCVujMsrs-b6C=w544-h544-l90-rj,,노래 1곡,2 ,utes
Set My Heart On Fire Immediately,https://lh3.googleusercontent.com/o5v9Ruj4r0oprnY2AZ2kPWnD0QPvR-KF7u5K4FvcjVB90W1tLUwixCm895AjPfyPXGtqDhZLBJbUv9Halg=w544-h544-l90-rj,,노래 13곡,50 ,utes
THE GOAT,https://lh3.googleusercontent.com/A5RxxdfTo3vu6j-Yi4QOVlMmQblWqg7mEcw34oBSJxSFP2PHFAyYouI4-zz_NehXkY11GLB8mVVsAEupNA=w544-h544-l90-rj,,노래 16곡,47 ,utes
GOOBA,https://lh3.googleusercontent.com/SBO5hwLCd_znt7QDS0tzPVn7XtoRHfji6Oqc23yM7mR-oWJd3KnLayLpsiydlmP42qYmieRhoXv0ERQo=w544-h544-l90-rj,,노래 1곡,2 ,utes
사춘기집Ⅱ 꽃 본 나비,https://lh3.googleusercontent.com/iW7qYFWbAowRVi1xIDoL-0Rk-QDvA9ke24PJ_LR9v7OvEg4x1nFULE0AybD0Sn_dyIpLbAgiIKhftNHx=w544-h544-l90-rj,,노래 5곡,16 ,utes
Have U Seen Her?,https://lh3.googleusercontent.com/G6JN_rU0XWnloZNRFQxHNAKD7AwRtjiCKYfQsDUJZRz1oG14fCsqFZ1NF9428qkTxAT5uSHQ8qcpCRxGxg=w544-h544-l90-rj,,노래 12곡,37 ,utes
나비와 고양이,https://lh3.googleusercontent.com/9pUj46vHD-LEgjxSMY4PGlnTFamUx3lp1ljRb9E4iuiPvH40EFwgFgz82wS8wzO8Z4oQhX-8tzIzBC3QGQ=w544-h544-l90-rj,,노래 1곡,3 ,utes
treasure,https://lh3.googleusercontent.com/rmYtxRdOY6kGgkmxUNC2Occ356mfj8ChBjNRJUeWRLsfpywBvAoV7UMb-1KIvWHT2DOXzrTVLKL669ZPaQ=w544-h544-l90-rj,,노래 1곡,5 ,utes
High Off Life,https://lh3.googleusercontent.com/KJ5CgsKFS1nDOJgA6wSkVYKpoKbAZSymG8DCbAnyffJ7MGnQwuqNSSd612_C5ib7DZbkeEKgDt_JVn-8AA=w544-h544-l90-rj,,노래 21곡,1 hour 10 ,utes
