thumbnail,title,artist,views
https://i.ytimg.com/vi/qfeoX17dav0/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3nPRfAYwcD0NYT__RRKCqwOALw0kA,[MV] BOL4(볼빨간사춘기) _ Hug(품),1theK (원더케이),40만
https://i.ytimg.com/vi/-lqsGDqkl2c/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3mfezqFJe0EgDO4Kr7cmrfmv0fgaA,"BVNDIT (밴디트) - ""JUNGLE"" MV",Stone Music Entertainment,72만
https://i.ytimg.com/vi/k8gx-C7GCGU/sddefault.jpg?sqp=-oaymwEWCKoDEPABIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nDW4fXXVPcd1c7K3JT2_siKGUTIA,"DAY6 ""Zombie"" M/V",jypentertainment,397만
https://i.ytimg.com/vi/N2dsnGc7TFk/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3k2vG-jIBvC73PdWoJWzraiEnycYw,"Raiden X 찬열 CHANYEOL 'Yours (Feat. 이하이, 창모)' MV",SMTOWN,330만
https://i.ytimg.com/vi/TgOu00Mf3kI/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3ndQkKSSIrnP1j4KZIAskVLas4u5w,[MV] IU(아이유) _ eight(에잇) (Prod.&Feat. SUGA of BTS),1theK (원더케이),3736만
https://i.ytimg.com/vi/Raj-AuQgCTg/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3keTwMjLjYoc8gDCclqfCMhcwLjwQ,Happy,태연(TAEYEON),604만
https://i.ytimg.com/vi/Zz7YZtpz2Ek/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3nmR7mAZwS-IP5SJsAt9YHqRIRy3A,ASTRO 아스트로 - Knock(널 찾아가) M/V,아스트로(ASTRO),938만
https://i.ytimg.com/vi/iDjQSdN_ig8/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3nBsQZlwm1PNyBwQ2ZAc7Ydcgwlxg,[MV] OH MY GIRL(오마이걸) _ Nonstop(살짝 설렜어),1theK (원더케이),2528만
https://i.ytimg.com/vi/YPFIh0dfYfw/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3lnggbFuUkrhaxBj87hdCG2yhPCmg,Stay Tonight,청하,856만
https://i.ytimg.com/vi/cO9DbwTF7rY/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3nW5Ke28jNl3dHmQUQDeLPPy_aqRA,LALALILALA,에이프릴(APRIL),196만
https://i.ytimg.com/vi/3DOkxQ3HDXE/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3mGK_y41uhjOnooZbrwznBsMQef7Q,아로하 Aloha,조정석,574만
https://i.ytimg.com/vi/V8FXWf0s7K0/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3mGsWHIm-O2jNNR4KTe7brBWjLBow,뱉어 (Spit it out),솔라,850만
https://i.ytimg.com/vi/vofjeJvRT9c/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3kZ6jZUjpyWE9N8cGc668WCTZFwlg,Ridin',NCT DREAM,2185만
https://i.ytimg.com/vi/om3n2ni8luE/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3mPT4uiWeAsZpcvJlH5CPAQGv8pzw,Oh my god,(여자)아이들,8523만
https://i.ytimg.com/vi/fE2h3lGlOsk/sddefault.jpg?sqp=-oaymwEWCKoDEPABIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lBrqqK4Z1MzhDHdB-pf5ezGVyaSw,WANNABE,ITZY,1.2억
https://i.ytimg.com/vi/hoLzH1revMg/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3kVAZw7yh_U7VIUuv2s7WSgTxImJg,좋은 사람 있으면 소개시켜줘,조이(JOY),304만
https://i.ytimg.com/vi/wMj3sLP_azg/sddefault.jpg?sqp=-oaymwEWCKoDEPABIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n_eAChZqC7YchpzTdHyJcVZtL_vw,BAZOOKA!,공원소녀,2336만
https://i.ytimg.com/vi/Ty8UzZlO1EE/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3m1THMqm33yXcRnvwkJsvtWF_GkmQ,크리스토퍼 (Christopher) - BAD 가사 번역 라이브 비디오,워너뮤직코리아 (Warner Music Korea),673만
https://i.ytimg.com/vi/SlPhMPnQ58k/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3n8cgNjgDWlpjQJMA3yPjr_GF4NsA,Memories,Maroon 5(마룬 파이브),4.8억
https://i.ytimg.com/vi/nrZxwPwmgrw/hq720.jpg?sqp=-oaymwEXCNUGEOADIAQqCwjVARCqCBh4INgESFo&rs=AMzJL3npAlkvrj3n9fTN8rI2oIr8hbO55A,Show Yourself,"Idina Menzel(이디나 멘젤), Evan Rachel Wood",4348만
