code,name,price,gender,summary,color_name,series_list,series_img_list,size_list,media_list,info_long,size_img,image_big,information
767576C,척테일러 올스타 1V 옴브레 스페클 인펀트,45000,유아,스프레이 페인트에서 영감받은 키즈 스니커즈,오렌지칼사이트,['767576C#'],['https://image.converse.co.kr/cmsstatic/product/767576C_767576C_pdp-option.jpg?browse='],"['130','140','150','155','165']","['https://image.converse.co.kr/cmsstatic/product/767576C_767576C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/767576C_767576C_2.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767576C_767576C_3.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767576C_767576C_4.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767576C_767576C_5.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767576C_767576C_6.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767576C_767576C_7.jpg?browse=']","['도시의 거리 예술인 그래피티 작품에서 착안한 네온 옴브레 디자인이 우리 아이가 좋아하는 운동화에 세련되고 예술적인 반전을 선사 합니다. 하루 종일 편안한 안감과 바느질로 부드러운 착화감이 특징입니다.','* 슬립온 로우탑 캔버스 운동화','* 간편한 스트랩으로 착용 가능','* 뛰어난 쿠션감을 자랑하는 스마트폼(SmartFOAM) 삭라이너','* 스프레이 페인트에서 영감을 받은 옴브레 디자인']",,http://tcakorea.speedgabia.com/converse/SU20/767576C.jpg,"{'제품소재': '겉감: 면 100%/ 안감: 폴리에스터 100%/ Outsole: 고무 100%','색상': '오렌지칼사이트','치수': '130-165','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
3J235C,척테일러 올스타 클래식 키즈,39000,어린이,컨버스 아이코닉 스니커즈의 키즈 버전,블랙,"['3J235C#','3J236C','3J256C']","['https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_pdp-option.jpg?browse=']",['Free Size'],"['https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_02.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_03.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_04.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_05.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_06.jpg?browse=']","['컨버스의 아이코닉한 디자인의 척테일러가 키즈버전으로 탄생하였습니다. 옥스포드 실루엣의 이 스니커즈는 진정한 스타일의 유산이 될 것입니다. 척테일러와 함께 패션너블한 키즈의 아이콘이 되어보세요.','* 가볍고 견고한 캔버스 어퍼','* 시즌리스,타임리스한 실루엣','* 통기성을 위한 중간의 아일렛','* 스타일의 포인트를 더하는 다양한 컬러웨이','* 발뒤꿈치부분의 아이코닉한 척테일러 플레이트 패치']",,http://tcakorea.speedgabia.com/converse/SU20/3J235C.jpg,"{'제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%','색상': '블랙','치수': '170-210','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
3J256C,척테일러 올스타 클래식 키즈,39000,어린이,컨버스 아이코닉 스니커즈의 키즈 버전,옵티컬화이트,"['3J256C#','3J236C','3J235C']","['https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_pdp-option.jpg?browse=']","['170','180','190','200','210']","['https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_02.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_03.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_04.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_05.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_06.jpg?browse=']","['컨버스의 아이코닉한 디자인의 척테일러가 키즈버전으로 탄생하였습니다. 옥스포드 실루엣의 이 스니커즈는 진정한 스타일의 유산이 될 것입니다. 척테일러와 함께 패션너블한 키즈의 아이콘이 되어보세요.','* 가볍고 견고한 캔버스 어퍼','* 시즌리스,타임리스한 실루엣','* 통기성을 위한 중간의 아일렛','* 스타일의 포인트를 더하는 다양한 컬러웨이','* 발뒤꿈치부분의 아이코닉한 척테일러 플레이트 패치']",,http://tcakorea.speedgabia.com/converse/SU20/3J256C.jpg,"{'제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%','색상': '옵티컬화이트','치수': '170-210','제조자': '컨버스','제조국': '인도네시아','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
3J236C,척테일러 올스타 클래식 키즈,39000,어린이,컨버스 아이코닉 스니커즈의 키즈 버전,레드,"['3J236C#','3J256C','3J235C']","['https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_pdp-option.jpg?browse=']","['170','180','190','200','210']","['https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_02.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_03.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_04.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_05.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_06.jpg?browse=']","['컨버스의 아이코닉한 디자인의 척테일러가 키즈버전으로 탄생하였습니다. 옥스포드 실루엣의 이 스니커즈는 진정한 스타일의 유산이 될 것입니다. 척테일러와 함께 패션너블한 키즈의 아이콘이 되어보세요.','* 가볍고 견고한 캔버스 어퍼','* 시즌리스,타임리스한 실루엣','* 통기성을 위한 중간의 아일렛','* 스타일의 포인트를 더하는 다양한 컬러웨이','* 발뒤꿈치부분의 아이코닉한 척테일러 플레이트 패치']",,http://tcakorea.speedgabia.com/converse/SU20/3J236C.jpg,"{'제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%','색상': '레드','치수': '170-210','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
3J232C,척테일러 올스타 클래식 키즈,45000,어린이,컨버스 아이코닉 스니커즈의 키즈 버전,레드,"['3J232C#','3J231C','3J253C']","['https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_pdp-option.jpg?browse=']","['170','180','190','200','210']","['https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_02.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_03.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_04.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_05.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_06.jpg?browse=']","['컨버스의 아이코닉한 디자인의 척테일러가 키즈버전으로 탄생하였습니다. 하이탑 실루엣의 이 스니커즈는 진정한 스타일의 유산이 될 것입니다. 척테일러와 함께 패션너블한 키즈의 아이콘이 되어보세요.','* 가볍고 견고한 캔버스 어퍼','* 클래식 앵클 패치','* 시즌리스,타임리스한 실루엣','* 통기성을 위한 중간의 아일렛','* 스타일의 포인트를 더하는 다양한 컬러웨이','* 발뒤꿈치부분의 아이코닉한 척테일러 플레이트 패치']",,http://tcakorea.speedgabia.com/converse/SU20/3J232C.jpg,"{'제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%','색상': '레드','치수': '170-210','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
3J253C,척테일러 올스타 클래식 키즈,45000,어린이,컨버스 아이코닉 스니커즈의 키즈 버전,옵티컬화이트,"['3J253C#','3J231C','3J232C']","['https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_pdp-option.jpg?browse=']","['170','180','190','200','210']","['https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_02.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_03.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_04.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_05.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_06.jpg?browse=']","['컨버스의 아이코닉한 디자인의 척테일러가 키즈버전으로 탄생하였습니다. 하이탑 실루엣의 이 스니커즈는 진정한 스타일의 유산이 될 것입니다. 척테일러와 함께 패션너블한 키즈의 아이콘이 되어보세요.','* 가볍고 견고한 캔버스 어퍼','* 클래식 앵클 패치','* 시즌리스,타임리스한 실루엣','* 통기성을 위한 중간의 아일렛','* 스타일의 포인트를 더하는 다양한 컬러웨이','* 발뒤꿈치부분의 아이코닉한 척테일러 플레이트 패치']",,http://tcakorea.speedgabia.com/converse/SU20/3J253C.jpg,"{'제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%','색상': '옵티컬화이트','치수': '170-210','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
3J231C,척테일러 올스타 클래식 키즈,45000,어린이,컨버스 아이코닉 스니커즈의 키즈 버전,블랙,"['3J231C#','3J253C','3J232C']","['https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_pdp-option.jpg?browse=']","['170','180','190','200','210']","['https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_02.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_03.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_04.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_05.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_06.jpg?browse=']","['컨버스의 아이코닉한 디자인의 척테일러가 키즈버전으로 탄생하였습니다. 하이탑 실루엣의 이 스니커즈는 진정한 스타일의 유산이 될 것입니다. 척테일러와 함께 패션너블한 키즈의 아이콘이 되어보세요.','* 가볍고 견고한 캔버스 어퍼','* 클래식 앵클 패치','* 시즌리스,타임리스한 실루엣','* 통기성을 위한 중간의 아일렛','* 스타일의 포인트를 더하는 다양한 컬러웨이','* 발뒤꿈치부분의 아이코닉한 척테일러 플레이트 패치']",,http://tcakorea.speedgabia.com/converse/SU20/3J231C.jpg,"{'제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%','색상': '블랙','치수': '170-210','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
767559C,척테일러 올스타 수퍼 플레이 인펀트,45000,유아,"가벼운 소재와 신고 벗기 쉬운 이지 온 오프 스니커즈,수퍼플레이",블랙,"['767559C#','767560C']","['https://image.converse.co.kr/cmsstatic/product/767559C_767559C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767560C_767560C_pdp-option.jpg?browse=']","['130','140','150','155','165']","['https://image.converse.co.kr/cmsstatic/product/767559C_767559C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/767559C_767559C_2.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767559C_767559C_3.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767559C_767559C_4.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767559C_767559C_5.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767559C_767559C_6.jpg?browse=']","['슬립온 스타일로 아이들이 신고 가볍게 뛰어놀수 있도록 가볍고 신축성이 좋고 통기성이 소재의 스니커즈입니다. 편안한 착화감을 위해 소프트 EVO 인솔이 적용되어 있으며,간편한 탈착화를 위해 신축성이 있는 슈레이스와 힐 루프가 디테일이 디자인 되었습니다.','*간편한 탈착화를 위한 신축성이 있는 슈레이스와 힐 루프','* 소프트 EVO 인솔']",,http://tcakorea.speedgabia.com/converse/SU20/767559C.jpg,"{'제품소재': '겉감: 폴리에스터 100%/ 안감: 면 100%/ Outsole: EVA 100%','색상': '블랙','치수': '130-165','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
767560C,척테일러 올스타 수퍼 플레이 인펀트,45000,유아,"가벼운 소재와 신고 벗기 쉬운 이지 온 오프 스니커즈,수퍼플레이",화이트,"['767560C#','767559C']","['https://image.converse.co.kr/cmsstatic/product/767560C_767560C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767559C_767559C_pdp-option.jpg?browse=']","['130','140','150','155','165']","['https://image.converse.co.kr/cmsstatic/product/767560C_767560C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/767560C_767560C_2.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767560C_767560C_3.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767560C_767560C_4.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767560C_767560C_5.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/767560C_767560C_6.jpg?browse=']","['슬립온 스타일로 아이들이 신고 가볍게 뛰어놀수 있도록 가볍고 신축성이 좋고 통기성이 소재의 스니커즈입니다. 편안한 착화감을 위해 소프트 EVO 인솔이 적용되어 있으며,간편한 탈착화를 위해 신축성이 있는 슈레이스와 힐 루프가 디테일이 디자인 되었습니다.','*간편한 탈착화를 위한 신축성이 있는 슈레이스와 힐 루프','* 소프트 EVO 인솔']",,http://tcakorea.speedgabia.com/converse/SU20/767560C.jpg,"{'제품소재': '겉감: 폴리에스터 100%/ 안감: 면 100%/ Outsole: EVA 100%','색상': '화이트','치수': '130-165','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
667557C,척테일러 올스타 수퍼 플레이 키즈,49000,어린이,"가벼운 소재와 신고 벗기 쉬운 이지 온 오프 스니커즈,수퍼플레이",블랙,"['667557C#','667558C']","['https://image.converse.co.kr/cmsstatic/product/667557C_667557C_pdp-option.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/667558C_667558C_pdp-option.jpg?browse=']","['170','180','190','200','210']","['https://image.converse.co.kr/cmsstatic/product/667557C_667557C_primary.jpg?gallery=','https://image.converse.co.kr/cmsstatic/product/667557C_667557C_2.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/667557C_667557C_3.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/667557C_667557C_4.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/667557C_667557C_5.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/667557C_667557C_6.jpg?browse=','https://image.converse.co.kr/cmsstatic/product/667557C_667557C_7.jpg?browse=']","['슬립온 스타일로 아이들이 신고 가볍게 뛰어놀수 있도록 가볍고 신축성이 좋고 통기성이 소재의 스니커즈입니다. 편안한 착화감을 위해 소프트 EVO 인솔이 적용되어 있으며,간편한 탈착화를 위해 신축성이 있는 슈레이스와 힐 루프가 디테일이 디자인 되었습니다.','*간편한 탈착화를 위한 신축성이 있는 슈레이스와 힐 루프','* 소프트 EVO 인솔']",,http://tcakorea.speedgabia.com/converse/SU20/667557C.jpg,"{'제품소재': '겉감: 폴리에스터 100%/ 안감: 면 100%/ Outsole: EVA 100%','색상': '블랙','치수': '170-210','제조자': '컨버스','제조국': '베트남','취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.','품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선','A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)','제조연월': '상품 라벨에서 확인'}"
