title,thumbnail,artist,album,length
Love Yourself,https://i.ytimg.com/vi/oyEuk8j8imI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lk-rLk4XEXL05gwUGofBJML6WIfA,Justin Bieber(저스틴 비버),,4:33
I’m Not The Only One,https://i.ytimg.com/vi/nCkpzqqog4k/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ksR2E9DrUedhYpWdq84UejDwMz3Q,Sam Smith(샘 스미스),,4:40
The Lazy Song,https://i.ytimg.com/vi/fLexgOxsZu0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mUGtQJ0YhZS_c4SDEc2_q4mpz1GQ,브루노 마스,,3:29
"Happy (From ""Despicable Me 2"")",https://i.ytimg.com/vi/ZbZSe6N_BXs/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nFot6-jWCOyaPU4eBPb7H9CbPtAw,퍼렐 윌리엄스(Pharrell Williams),,4:01
Stereo Hearts(피처링: Adam Levine),https://i.ytimg.com/vi/T3E9Wjbq44E/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nSlykq2diOPmjfiocb6GrHgqHu8Q,Gym Class Heroes,,3:37
She Will Be Loved,https://i.ytimg.com/vi/nIjVuRTm-dc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m3VfFtUQRgrnesERbR99Ss-C9B3Q,Maroon 5(마룬 파이브),,4:29
I'm Yours,https://i.ytimg.com/vi/EkHTsc9PU2A/hqdefault.jpg?sqp=-oaymwEWCMACELQBIAQqCghQEJADGFogjgJIWg&rs=AMzJL3lET8qp8KaMF0khaqSbfcKLbKfBqA,Jason Mraz(제이슨 므라즈),,3:41
Stay with Me,https://i.ytimg.com/vi/pB-5XG-DbAA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lK9SYgBvCRl-FtIo25JftjCnm-lw,Sam Smith(샘 스미스),,3:30
Just the Way You Are,https://i.ytimg.com/vi/LjhCEhWiKXk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mGyNJuuKKZAt_MBylNa9flZTUz2w,브루노 마스,,4:02
I'll Be There,https://i.ytimg.com/vi/iQp1_GfDhwQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lGJMQZW9pDzhll3rxBYY5pBCPynQ,Jess Glynne,,3:20
With You,https://i.ytimg.com/vi/nmjdaBaZe8Y/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lvpHVsoaRHqsi9odEFWU8vOYVSpg,Chris Brown,,4:15
Best Thing I Never Had,https://i.ytimg.com/vi/FHp2KgyQUFk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mR72KRaR2bATVV73-cQMDsrvsxrg,비욘세,,4:15
If I Ain't Got You,https://i.ytimg.com/vi/Ju8Hr50Ckwk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mF39ftxBBmcjkVGgn4yEEDelrcbg,Alicia Keys(앨리샤 키스),,3:30
Touch My Body,https://i.ytimg.com/vi/9b8erWuBA44/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kKSCXHldDwx2Xqruz4oltqo6NHRQ,머라이어 캐리,,4:20
Versace on the Floor,https://i.ytimg.com/vi/-FyjEnoIgTM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mHcQLF5VFumSy4D9fxDufj2Po6Sw,브루노 마스,,5:37
Sunday Morning,https://i.ytimg.com/vi/S2Cti12XBw4/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k-0bVzTx8uZohbXwrRHDQl0b6V3w,Maroon 5(마룬 파이브),,4:25
Love On The Brain,https://lh3.googleusercontent.com/8QEyIbLAIDvPszzL7fuTM1UdhYfhJPaqfXKirqylIGLmO8JSKSwaDfZEkcu_FPQv7qF3FSS-htFZNG1YGQ=w120-h120-l90-rj,Rihanna(리아나),ANTI,3:44
