title,thumbnail,description,type,artist,year
#보이그룹 #남자 아이돌,https://lh3.googleusercontent.com/BWO5PKA1HERpMxduwrIm0sgp7HU0zlXCYhUOCBBJa2RaHQrEqkyEHbqc8Ci6h7T1V0Twq2VvlA=w512-h512-l90-rj,,재생목록,YouTube Music,2020
#걸그룹 #여자 아이돌,https://lh3.googleusercontent.com/rpLElkvCCsIeTfDJqf0aHIXn3hXjzDtP1D_hMk7-GePlyVYqHEcqhDzH7YUtYTVhqQ31E-Qa=w544-h544-l90-rj,케이팝을 선도하고 있는 가장 인기 있고 트렌디한 여자 아이돌 그룹을 지금 만나세요!,재생목록,YouTube Music,2020
커플 전용 달달한 사랑 노래,https://lh3.googleusercontent.com/7vDnC7-Rlmwghsa1y1FoGg20dlM2KBAhba7eLNMpb7nEjOhrW9MqU_x3-5-LOTyGvnut_vDaMA=w544-h544-l90-rj,,재생목록,YouTube Music,2020
흥 넘치는 국내 댄스 음악,https://lh3.googleusercontent.com/aEH-dccSJUQ5InGJSft9htWacHdYMKMd7qvtLlV_1a3CPVEcK7CqXFtwcowb62ccDAhzj1uxAbs=w544-h544-l90-rj,흥 넘치는 국내 댄스 음악과 함께 지루함을 날려 버리세요!,재생목록,YouTube Music,2020
기분 좋고 산뜻한 국내 가요,https://lh3.googleusercontent.com/WG5r3V0UwkXdyYKYXufenJUdsgbu2NBhEH6K-VxccvEVfEmWfhViYgXMUSRLwJe2YdZuq2yx=w544-h544-l90-rj,"아지랑이처럼 살랑이는 햇살이 창문으로 들어오는 오늘입니다. 행복하고 따뜻한 노래, 가사말과 함께 온기를 느껴 보세요.",재생목록,YouTube Music,2020
듣기 편한 EDM 팝,https://lh3.googleusercontent.com/5H9b7nJr37TymyMFRdLoku3slUCcsikIoUB-CE863Vwm4lgQVykM78VksntgOyuClACcvfbg-pM=w544-h544-l90-rj,"편안하게 몸을 들썩이며 집중할 수 있게 도와주는 최적의 딥 하우스, 다운템포 비트 EDM 믹스 셋 입니다.",재생목록,YouTube Music,2020
행복 과즙 업템포 팝,https://lh3.googleusercontent.com/QPsXeTxZmWZbStsdemd6AEPFKON_e14Dis-Yut42AW6Ci7rCv6MTGQMiuxuUprVWkvk6jfQERBw=w544-h544-l90-rj,,재생목록,YouTube Music,2020
기분 좋은 팝 발라드,https://lh3.googleusercontent.com/Tjnuogpet_Vk4PSgNWnVa9BY1oYQBS3zFO1DOjM2uME0QwM31OfBlNY1JBLElNhvT5mL4OYN=w544-h544-l90-rj,따뜻한 햇살 아래서 기분좋게 들을 수 있는 팝음악 입니다.,재생목록,YouTube Music,2020
설렘 주의보 국내 가요,https://lh3.googleusercontent.com/3L-nJY5pG8NHpxWN4alRxdcncV-5CiWpTf6Uo8sILghvXDe3gbFNi0wn-OSQI-MibRadmnyp=w544-h544-l90-rj,,재생목록,YouTube Music,2020
필 굿 외국 힙합/R&B,https://lh3.googleusercontent.com/9wuySvPwHdba6UgfMB_EW13XeaY6zAFYO5oeA4Uvd7Ypzp_gX2L03hYbEMyBnQ6Ncv1mCagnWg=w544-h544-l90-rj,,재생목록,YouTube Music,2020
