title,thumbnail,artist,album,length
Lose You To Love Me,https://i.ytimg.com/vi/zlJDTxahav0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ln87KnNf1m7tegKfx-qckedISTaA,Selena Gomez(셀레나 고메즈),,3:27
boyfriend,https://i.ytimg.com/vi/9SRxBTtspYM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l_EzOj2xnLIN9F0GjrpcgZTy43PA,Ariana Grande(아리아나 그란데) 및 Social House,,3:42
Feels Like Summer,https://i.ytimg.com/vi/F1B9Fk_SgI0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k98VgOnDXNftoawLkPLIoQpiKPsg,Childish Gambino(차일디쉬 감비노),,4:46
Never Be the Same (Radio Edit),https://i.ytimg.com/vi/Ph54wQG8ynk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kcSrJ2O5iYps3QP3hPSLKI-njiaA,Camila Cabello(카밀라 카베요),,4:02
SLOW DANCING IN THE DARK,https://i.ytimg.com/vi/K3Qzzggn--s/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nY2bMA69fiX7cdOt2iswKItEMSRA,Joji,,3:38
アイドントワナビーユーエニーモア,https://i.ytimg.com/vi/-tn2S3kJlyU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nr8p12S4p8Cm5K7Cd6EpO97zdHmQ,빌리 아일리시,,3:25
Ali Gatie - What If I Told You That I Love You (Official Lyric Video),https://i.ytimg.com/vi/z6Jki9FEZfI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3khAYNiNRD_ajt9ojPY28_rqzYDUQ,알리 게티,,3:14
Sativa(피처링: Rae Sremmurd),https://i.ytimg.com/vi/5x-d3pabd5o/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k0hAGqWowztnxYhjiZgwgBRUA9OA,Jhené Aiko,,5:48
Losin Control,https://i.ytimg.com/vi/IdGIZjVWrzY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nHogiua2ILgRAKxPxXEAp3loUNAg,Russ,,4:01
Beautiful(피처링: Camila Cabello(카밀라 카베요)),https://i.ytimg.com/vi/Uk1hv6h7O1Y/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lpgpDYncnAjAz26x8RiBWxulY6aA,Bazzi (바지),,3:15
페티시(피처링: Gucci Mane),https://i.ytimg.com/vi/STO4-8vkG0U/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3klvj_EOyFHm7PpoKHovOk8SR6L-A,Selena Gomez(셀레나 고메즈),,3:48
Be Honest(피처링: Burna Boy),https://i.ytimg.com/vi/hQsZUVMwEls/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kGXoOMTuABlQdXzpzskg3aicgRiA,Jorja Smith,,4:21
Say It [Clean],https://i.ytimg.com/vi/xUq1rZ7mmns/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mCt3fZVFigwapWGdvw1QHb5N6mAw,Tory Lanez,,5:08
None Of Your Concern(피처링: Big Sean),https://i.ytimg.com/vi/PmeRjrz8KVw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mjqx_cDf9K17ysErqIjdMNUwnx5Q,Jhené Aiko,,4:19
do re mi,https://i.ytimg.com/vi/dfzlUHOFQ5k/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lAVOA5KVR9Vv5wiAc4PU6HFGVkPQ,블랙베어,,3:57
Don't Cry(피처링: XXXTENTACION),https://i.ytimg.com/vi/fkLLeOCOQ3w/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nf6QAkhIXIGbegURKjJQNbz4bn3Q,Lil Wayne(릴 웨인),,4:12
Girls Need Love,https://i.ytimg.com/vi/TP3moIiyZFI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kxrvcvRXLs4p4vLDPrwS6DCtoc9g,서머 워커 및 Drake(드레이크),,3:42
Imagine,https://i.ytimg.com/vi/7_rftpd0u0U/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kZdpYp0KeinKPckebOZi1GSjq0HA,Ariana Grande,,3:32
Love... (Her Fault)(피처링: 브라이슨 틸러),https://i.ytimg.com/vi/e7pV6Eo1I0k/hqdefault.jpg?sqp=-oaymwEWCMACELQBIAQqCghQEJADGFogjgJIWg&rs=AMzJL3nm0-LN1KURI1axCldC5k9Yw0Dv3w,Wale,,4:13
I Warned Myself,https://i.ytimg.com/vi/wjIes1eGAw4/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l-yZHLrduVRIHHJxoTrJIQbugtAQ,Charlie Puth,,2:40
I.F.L.Y,https://i.ytimg.com/vi/Xhh3_-JRnDc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mG08cWZWP6q1pt1HATz99aUSFvIw,Bazzi (바지),,2:47
Love Galore(피처링: Travis Scott),https://i.ytimg.com/vi/hHXfCOjb3fk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kJJ4I8GvcCp1NtWL6w8jJiIb2upQ,SZA,,4:44
Never Call Me [Clean](피처링: 커럽트),https://i.ytimg.com/vi/jnQ4V-wajLY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ne8-KXzwdyJxPm8Zy0jAQ4eQS2RQ,Jhené Aiko,,4:34
TEST DRIVE,https://i.ytimg.com/vi/PEBS2jbZce4/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lidwmxi5sg-cXIVcKzrW-xSnNwzQ,Joji,,3:00
Hard to Love(피처링: 제시 레예스),https://i.ytimg.com/vi/REyxoxScrbU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nw8_yewp2plyE3atGAMyVE92LuBg,캘빈 해리스,,3:46
Ride [Clean],https://i.ytimg.com/vi/5082NM1H-io/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kZIg6tZkiMUWoIZM80rQqfqiBuIQ,소모,,3:52
Blame,https://i.ytimg.com/vi/wzGQ7r6e_0U/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kn1AGIM5-5DfT0hgc5iENgod6wSQ,브라이슨 틸러,,2:09
The Weekend,https://i.ytimg.com/vi/cMD63TwzB1o/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lN_sOGavDW_oOtBfOTkv0e3V-gsQ,SZA,,4:09
Talk Is Overrated(피처링: 블랙베어),https://i.ytimg.com/vi/2q01G4te-Ng/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mRfbKFEjKS0WR-TvI8Q96geWhCtA,Jeremy Zucker,,3:16
