title,thumbnail,artist,album,length
Kill This Love,https://i.ytimg.com/vi/2S24-y0Ij3Y/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nJr8TNH64g8IZ1UncSNnVEaaDAMQ,BLACKPINK,,3:14
작은 것들을 위한 시 (Boy With Luv)(피처링: Halsey(할시)),https://i.ytimg.com/vi/XsX3ATc3FbA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k5Ve4sprEHvxJybFBM38O2urwI1g,방탄소년단,,4:13
I'm in Trouble,https://i.ytimg.com/vi/4Lm9u-iXrDc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nyTOFJQ5odcBndEkakDw0s44X0ZA,뉴이스트(NU'EST),,3:21
WANNABE,https://i.ytimg.com/vi/fE2h3lGlOsk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kgVKieUQDn-4ecbnVqgatSr95PJA,ITZY,,3:39
Nonstop,https://i.ytimg.com/vi/iDjQSdN_ig8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lyrOyq3aFdXg3eUqEDj7bYY3EIJQ,오마이걸(OH MY GIRL),,3:24
Feel Special,https://i.ytimg.com/vi/3ymwOvzhwHs/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l6OFSiR_aYdINSo0Gd8LmOjv0TnA,TWICE(트와이스),,3:41
DDU-DU DDU-DU,https://i.ytimg.com/vi/IHNzOHi8sJs/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ldfqCHt6A4OWTbmd4CAB4mJsXInA,BLACKPINK,,3:36
DNA,https://i.ytimg.com/vi/MBdVXkSdhwU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kEo9hJMb-QlertvXCRnqEjY0rrtQ,방탄소년단,,4:16
"BVNDIT(밴디트) - ""JUNGLE"" Music Video",https://i.ytimg.com/vi/NQJgoA96fUY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mpQmy96Gy0xxr289fMhUSoywF1UQ,BVNDIT,,3:08
HIP,https://i.ytimg.com/vi/KhTeiaCezwM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lRSrG0xKc2pt3Ttf3XYi8UhLPKkQ,마마무(MAMAMOO),,3:31
ICY,https://i.ytimg.com/vi/zndvqTc4P9I/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mwpcl9Kkh5Ck4JAde8BzcyG3IUwA,ITZY,,3:20
FANCY,https://i.ytimg.com/vi/kOHB85vDuow/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kddKtxcZ0PQ4KGKwvruJ3xqvZNkg,TWICE(트와이스),,3:39
SOLO,https://i.ytimg.com/vi/b73BI9eUkjM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ntQ72MSh45GAqJLYqk0nAa4yAWzQ,제니,,2:57
Obsession,https://i.ytimg.com/vi/uxmP4b2a0uY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mKhjJgLEcgdwlY35CMX7srwMiyJw,EXO,,3:40
Stay Tonight,https://i.ytimg.com/vi/YPFIh0dfYfw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kO7R2ZXilNCK5GUB0sqcKYrynL6g,청하,,3:50
LION,https://i.ytimg.com/vi/6oanIo_2Z4Q/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m5eELxqePraRq_lBrTwhMr_2xi3Q,(여자)아이들,,3:38
DALLA DALLA,https://i.ytimg.com/vi/pNfTK39k55U/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mxSlCAAHklIezeA78GQg9qh0wyDw,ITZY,,3:47
YES or YES,https://i.ytimg.com/vi/mAKsZ26SabQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kdJ0gzV8UTN4q5rmf6tynnzaoqxw,TWICE(트와이스),,4:29
BAAM,https://i.ytimg.com/vi/txWmd7QKFe8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mKiVSd7UWfA65LtRhLmxsm-c5M3w,모모랜드(MOMOLAND),,3:33
라비앙로즈 (La Vie en Rose),https://i.ytimg.com/vi/WZwr2a_lFWY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l_rvw14ulb9jQv2_USZ-m23ML3-w,아이즈원,,3:40
짐살라빔 (Zimzalabim),https://i.ytimg.com/vi/YBnGBb1wg98/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kGavdjGyRcT-zS1Qk95-pprrl_0w,Red Velvet,,3:16
뜸 (Hold),https://i.ytimg.com/vi/YURT0erwtJc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3keyYvpNlMsSD8CEVKD65rtoDE05g,WINNER,,4:20
Snapping,https://i.ytimg.com/vi/deV_DmHKwjc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k_Y6BpWpznzBWSBHMfPhmYmQu6xA,청하,,3:35
Dance The Night Away,https://i.ytimg.com/vi/Fm5iP0S1z9w/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mQMdJGE9vK3UE8y5TIKZdlM_S7_w,TWICE(트와이스),,4:09
한(一),https://i.ytimg.com/vi/OKNXn2qCEws/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kmTzmJZCu5hbdZD3qLgdLYt06y7w,(여자)아이들,,3:45
