title,thumbnail,artist,album,length
밤편지,https://i.ytimg.com/vi/BzYnNdJhZQw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kPEALIzpg5YpFZ1r8vvZLFQxXQqw,아이유(IU),,4:43
하루의 끝,https://i.ytimg.com/vi/wGP-gfCWXYI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kXqoXqFmeJd11KwVHVd8rmlXfKcA,종현(JONGHYUN),,5:07
I'm your friend,https://lh3.googleusercontent.com/IYOTqUgWpr4fmf7981FzslHLjfcSYbRWfG2L-TYyEKORKWSU83EWwSGOSQMvkTf45TMJuRL9Fxo8FSPj=w120-h120-s-l90-rj,박효신,I am A Dreamer,5:00
Comfort for me 물음표가 가득한 나의 밤,https://lh3.googleusercontent.com/lizGHzoQJ-CmoWkvmMZmiJfqvTbtL5vNJIIlN-1eZ7ZRUOTWH65eHT2t1oqZpi9_a_Qo7JbPsd52yLsm=w120-h120-l90-rj,조소정 Jo SoJeong,A diary for me 들켜버려도 좋은(일기),2:59
She Said,https://lh3.googleusercontent.com/6B5M11Y4B3rt1ilTZ8fnbXeG0gbSFTyUamGS2KU-OgXyhsG4ZxBrGIlFzZ660xxMlRPQqsTOehCJRxg=w120-h120-l90-rj,토이 및 권진아,Da Capo,4:27
Lullaby,https://i.ytimg.com/vi/S43y7-jU47c/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nzFH9Qpb78dFSJRTfJEtSCfQRVwQ,적재,,3:29
자장가,https://lh3.googleusercontent.com/alWLsNVvCDvoRhwYELsityi5-_NdwKPQaSOqTD3Qjb4TY6YH0VyKhZWNGu91nEpgUEIVEeQFyFnimiws=w120-h120-l90-rj,아이유(IU),Love poem,4:21
수고했어요,https://lh3.googleusercontent.com/qgmHiKcYsLZ8ZbgrjdYBRfB_siNW6je-nwZuwFQpJ9o8b0dhHPCo9XUsVvwPiVa4yfRUuY7kvfYnQQYp=w120-h120-l90-rj,노브(nov),회사다녀요,3:16
불청객,https://lh3.googleusercontent.com/aN2cBrmyE_5Nz5uXsrc-DxVCDBCXbwlJf-NBQOhp4miPiVHK8z-rHh7k_hz81ltSEt3ANOdxkOC8MgEp=w120-h120-l90-rj,DEAN(딘),Limbo,1:57
듣고 자요,https://lh3.googleusercontent.com/U1xwtuKPh-Xkj8ciCRyZhYveR1FV3vDGR_2oULA6w0BC2wgY2sdgzU63kFsrOQ6iOEIT5oXZ6kHUVfzCeQ=w120-h120-l90-rj,그_냥,잘거예요?,4:37
오늘을 찾아요 Find the day,https://lh3.googleusercontent.com/0bnSgzczBuPCtBcxs49YGVBijmrpSkrZyUDscOCVlxLyCR2HDCdXQ4oueDrpZz21_0KLUQf9Lbg3j03i=w120-h120-l90-rj,이진아,RANDOM,4:24
꿈,https://i.ytimg.com/vi/GKimwzKR53M/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nKmWxQhP4oSfC8615MAwqRVOtShA,폴킴(Paul Kim),,3:20
무릎,https://i.ytimg.com/vi/L1JUfCyeT5E/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kj8XrtAVLCxM4phxDJKElA9R1N2g,아이유(IU),,5:02
film roll,https://lh3.googleusercontent.com/2vZpJlUnO467sNKUaLzYr88o8bji4w8xSdzkb3vgnsnK_T-BKNHjM0o6zix4OBI360K9EHd6hVLOrtQlIA=w120-h120-l90-rj,offonoff(오프온오프),boy.,2:03
가사,https://lh3.googleusercontent.com/dmBZLtrVsG6VuWzM5ysqNaXShkuflus_9Qj3UB_BCB1cqCA5q1CyxQxDHPDAJWxm08Js_YEkljeUsh4M=w120-h120-l90-rj,박재정,가사,4:39
Remind of You,https://lh3.googleusercontent.com/k7XKTGhcPukWgnh4wIYC3kPKAT4iRww2jXl1ES9zq-0OvRCxeOz1g2dBgdT2Qo3lQZnDb3FuwSbFWRw=w120-h120-l90-rj,청하 CHUNGHA,Offset,4:03
오늘,https://lh3.googleusercontent.com/oLmCjOzDqYqFyq4L8YVW6nbPNpB3weFbqoMblXwnsmu2bMtnBxZsGqkkRe_3hs-K3DvsUQPXSER2Z1II=w120-h120-l90-rj,에피톤 프로젝트(Epitone Project),At Your Favorite Place,5:33
임팩트[IMFACT] _ 스탠딩 에그 Little Star (Covered by 제업),https://i.ytimg.com/vi/w5HnB6AOyTI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kS_uGoNG8xg9LkOPvknTCQ-efG2g,임팩트,,3:31
여름밤의 꿈,https://lh3.googleusercontent.com/YWtl1fL92g_w2gti8PaHbowMQP-N7pLzXaN_6C-wr4kljxEHDITsrsKku9_WZxDoOYmpYTU5P081zDEL=w120-h120-l90-rj,아이유(IU),꽃갈피,3:58
자장가(Piano ver.),https://lh3.googleusercontent.com/EZ5DaYhRqpvWoOclPQ0C_2pdywi3SG428OCa1c2wvRBVGPQYKTSpjmV5HjHLNAxVL2FGj5aL6KsnVWP9=w120-h120-l90-rj,멜로망스(MeloMance),Moonlight,5:42
"Moon, 12:04am",https://lh3.googleusercontent.com/2vZpJlUnO467sNKUaLzYr88o8bji4w8xSdzkb3vgnsnK_T-BKNHjM0o6zix4OBI360K9EHd6hVLOrtQlIA=w120-h120-l90-rj,offonoff(오프온오프),boy.,3:43
Moon(달),https://i.ytimg.com/vi/-Jm3EL3VQNA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n5mtcucs2SWkacMaCDlOlGyvnRCQ,109,,3:49
Today(오늘),https://lh3.googleusercontent.com/05s79WWgfRmq-txwGicLjzix9PtXUii5WIgJWFG9kxkSJeQ1gneAa9F48Ka0NrUbwyaTMzQzH7DIL18z=w120-h120-s-l90-rj,김동률,동행,4:39
지그재그 Zig zag,https://lh3.googleusercontent.com/-IJBrL_42DAvdJQZIUPf4AGJ9GJXUmxf2R3MVTuLy2-pYfqKZrlDjD_FZJkjPSB1WGuYAFjyR90lyJY=w120-h120-l90-rj,권진아 Kwon Jinah,웃긴 밤,1:39
비오던 날,https://lh3.googleusercontent.com/Phw585tBjuj1N558N6lJnB6x0nO4sFLdkuRc_XLRqzkSTg6Rw38j8v_8o3F1MC5Dkxpnj2lyvty0RVdM=w120-h120-l90-rj,플라스틱,비오던 날,3:46
짝사랑 Crush,https://i.ytimg.com/vi/lI0UZO4eMaw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mY2ohZXcm_AJ6jMWNSODMPB07CYA,10cm(십센치),,4:00
사랑이 찾아오면 When Love Comes to You,https://lh3.googleusercontent.com/Dqlx_N3OT-JbSRt5kpqjM0lGxyEQrnUTkPNCzxeb-TxxrS-vBLVYlw5DuppeW_-Fd4r-Bm7yJL8BNdZN=w120-h120-l90-rj,커피소년,첫 번째 음악 로스팅,4:03
When My Loneliness Calls (Piano Ver.),https://lh3.googleusercontent.com/rAsSYe6iIo8u6EIegkGBqG9NdNDU_JdB5qqIVfASqp1UctBlAhAT9dIqVsw_pdJDku7T_WVEmK4kT7E=w120-h120-l90-rj,장필순,soony rework7,5:52
Like It’s Nothing 괜찮은 척,https://lh3.googleusercontent.com/zUQHtGJwUVFxJmWfeLIwnM5jErIpQ9vTtrZOQwSjMQj34-6tOqkO5VIVPHu0bh9XB29mi3Vb1xZ7vwc7KQ=w120-h120-l90-rj,by me,Like It’s Nothing 괜찮은 척,4:07
정물 Still Life,https://i.ytimg.com/vi/oqUyEj2053w/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mdJJoHhsPB23N7n2EP9lBaHd6ScA,강아솔,,4:25
서로의 조각 (with 박주원 Acoustic ver.),https://lh3.googleusercontent.com/ef43o81_l72031OCKPFqiegXEe0UPA4CGu0bay5W9CYjMVrhg8Rrau0rmOJEhteuTYIQrhScwjtui14=w120-h120-l90-rj,프롬,Erica,4:27
눈딱감고,https://lh3.googleusercontent.com/V-us6K31qJf0ZrkNQIOwuqIUGmb0U0wDFj3tuTSw8iOJMFatRiUGhbjV8TG7O7LJCZ8gqaqrdK2V66LkWQ=w120-h120-l90-rj,오추프로젝트,눈딱감고,3:51
오늘도 굿나잇 Good Night,https://lh3.googleusercontent.com/H3Lxm-crtNJlH4ftYr5rhBnA8_oJJ3ogWO3_aEf-AC2b2i2IQusAI8SJnpDTqnbdcaVKTzJq2KTeC3oH=w120-h120-l90-rj,커피소년,세 번째 음악 로스팅,3:37
맘에 없는 말,https://lh3.googleusercontent.com/WDIDDupUBRMtsEyqKQZ5O2WbWOs3QuE10WF5ahO4EvcysF1yjqZYSuO2SO9HNSv-m5rEz0IUdKVuosim=w120-h120-l90-rj,허니애플,맘에 없는 말,3:47
"How Are You, The Love of My Life",https://i.ytimg.com/vi/sVFoOEj3Vlg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ku9Btff0RjKL5uQn2wMqJ5G9P74w, 퓨어킴,,4:14
듣고 자요 (Piano ver.),https://lh3.googleusercontent.com/8MzUfL3628W2LnhxYLmfpj96Y5cv7rlgIJ3QzgBFE4SS0nQnZS7R7d48oLrzPRK37tPVld6h7Brwrao=w120-h120-l90-rj,그_냥,안_녕?,4:33
휴일,https://lh3.googleusercontent.com/e0RM6NktoqsW-Y3hQD3StmUsX95Kv8oNSx_izk0as5kv4IuEwZCcJtdb3bKit4p-Rai5EtUD_wsAq9PP=w120-h120-l90-rj,Limit,휴일,3:16
사랑으로부터(피처링: 윤한솔),https://lh3.googleusercontent.com/RyI0x3MIHgqu4jBZ8WMn9wd7arj1AB1rx0ubvQ2E4HhQEQuAv4YB3Qe7qd8M8wpnijmtjI3nPio9ro8S=w120-h120-l90-rj,새봄 (saevom),사랑으로부터,3:50
첫사랑이에요 The first love,https://lh3.googleusercontent.com/5imxep_j8C3ESI0zzPQSWbodfQjbs7p86IkN4JRdzSw6wfHLPBRmYRgFA71fkdfdndJcdfs6a9Zv8pI=w120-h120-l90-rj,다슬(DOCILE),손 잡아줄게요 Hold your hand,3:06
가리워진 길,https://lh3.googleusercontent.com/X7xAh7cYRFgBHXKmpFt4F6eWgbinLv4IDa4o77a1Irr-hIJGQ307HAf_G-GKASI_GowvkfpFWjJaQM75=w120-h120-l90-rj,볼빨간사춘기,미생 OST Part 4,4:22
고마워 Thank you,https://lh3.googleusercontent.com/zsYDy2UkeMDcQFgR-dKh9ySyXw7dTMFb1iSnR01oDy02IfQFsXRuFqEF2zIcO7DnqNUuic6h5n0UyMle=w120-h120-l90-rj,"정민균 Jeong, Min Gyun",고마워 Thank you,3:14
아직 스무 살 (Guitar Feat. Thomas Cook),https://lh3.googleusercontent.com/T2hMURFrgTWXLneeeqsMnkCp6_GFT3MYnnZF-jODWBLi4Ny-yPHxIiJHhOppY9280MUKGMsP1XOj00zk=w120-h120-s-l90-rj,박새별,High Heels,3:40
밤하늘에,https://i.ytimg.com/vi/mDg0uBzDqtg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mme8eJdHsmHloLAz0WS8SuIJeqUw,담소네공방,,4:17
Lullaby (자장가),https://lh3.googleusercontent.com/qhqFabceG2Ze8yPHN4jWdeQGwDhF8wtMBKRkQYKs1WtvnV5QuBqf_qpSlTmbJzHmWZcNLV1e05qdBqIs=w120-h120-l90-rj,신용석,나의 새벽,5:00
