title,thumbnail,description,type,artist,year
숙면을 위한 평화로운 피아노 선율,https://lh3.googleusercontent.com/94M4RFH9nSohH4ab7nOvyyKD08oW60kaPtCWTM3tlOluoxSYlB9R-pHzERLo97tYgwN-ny22qg=w512-h512-l90-rj,평온하게 울리는 피아노 소리와 함께 잠을 청해보세요. 가라앉은 마음과 함께 숙면을 취할 수 있습니다,재생목록,YouTube Music,2020
잔잔한 자장가 국내 가요,https://lh3.googleusercontent.com/H0jQ6x6WIFmKv72Gb-zqXdYG5R8SVOc-5ayendf_3fltrMSs5Y9Ngb5YKmwB-pf8z4UoeyKKCBY=w544-h544-l90-rj,,재생목록,YouTube Music,2020
평화로운 클래식 명곡,https://lh3.googleusercontent.com/LGTrUg9BaQJTpnHUjp-JeSrS7G-fqa43Ib1CZ5tdwrU9oNxvtEKkM6DPvg=w544-h544-l90-rj,평화로운 클래식과 함께 침대와 하나가 되어 보세요. 편안하게 잠들 수 있습니다.,재생목록,YouTube Music,2020
너무 예쁜 오르골 자장가,https://lh3.googleusercontent.com/OcX7qRn9lFYo6TQBCX5eEkysry571GnJEe-b4YmwxLwq9lKM9AT0gdYJX8Q=w544-h544-l90-rj,"엄마, 아빠가 곁에서 동화책을 읽어 주십니다. 나는 동화 속 나라를 상상하다 잠에 듭니다 zzZ",재생목록,YouTube Music,2020
밤하늘과 기타 선율,https://lh3.googleusercontent.com/WP8kvJfVZ-LmWHMj-nh_z3X7slk_hNXPlV36z-XhkpRD0wO6RWLb7kbv9AdomDPwfrLMuIoQnho=w544-h544-l90-rj,당신의 오늘 하루는 어떠셨나요? 편안하게 다독여주는 기타 음악과 함께 잠을 청하세요,재생목록,YouTube Music,2020
아름다운 피아노 선율의 팝 발라드,https://lh3.googleusercontent.com/nY6Sxo3t5yQTrZAbRIGjzVLmDuphGb_sDACk0IccOqmPR0P3RpCTFVJQHs1zpxU-zRuljYDPgOo=w544-h544-l90-rj,By YouTube Music,재생목록,YouTube Music,2020
마음 편한 앰비언트 뮤직,https://lh3.googleusercontent.com/u4sN4bfDy96ZJbp9wtdzzoLY0Co8v4FgC1x9OFP-c5j5t96hVFSp4aWl5i57Nzt8cbSzE_ufhg=w544-h544-l90-rj,꿈나라에 있는듯한 몽환적인 앰비언트 음악과 함께 편안한 상태를 유지하세요,재생목록,YouTube Music,2020
아름답고 행복한 하프 연주곡,https://lh3.googleusercontent.com/s_BHvIgjtj0v-haqU-jkSU_YQPAsZgQz8txZ0E4ZJ6hr1ZbbEMUS55DmZXA2PBPLTsSwUHPInw=w544-h544-l90-rj,유튜브뮤직 제공,재생목록,YouTube Music,2020
아이들 잠자리를 위한 해외 유명 노래,https://lh3.googleusercontent.com/z5guxTJ7EubAzN3JIHxybR0r4qd5h9xU9OiewQ-P3lOG_FFMQu96IGp7qw=w544-h544-l90-rj,"디즈니부터 세서미 스트리트 캐릭터들 까지, 아이들이 들을 수 있는 해외 유명 곡들 모음입니다.",재생목록,YouTube Music,2020
숙면을 위한 나른한 드림 팝,https://lh3.googleusercontent.com/svccyPCua-ei1cga4S9G2iqoIUlMZb7m4_VtwMP2WIZ83xtnBm6NSLfnIg=w544-h544-l90-rj,"드림팝 아티스트들의 부드러운, 미묘한 멜로디와 함께 깊은 잠에 빠져 보세요.",재생목록,YouTube Music,2020
