title,thumbnail,artist,album,length
After Hours,https://i.ytimg.com/vi/ygTZZpVkmKg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nT6HbQ36bwMnmjiA1fzCf9_DfTGg,The Weeknd(위켄드),,6:02
P*$$Y Fairy (OTW),https://i.ytimg.com/vi/wy2ujCUtCHU/hqdefault.jpg?sqp=-oaymwEWCMACELQBIAQqCghQEJADGFogjgJIWg&rs=AMzJL3maPMee7cn3tLMJgm9PyAezsFf3dw,Jhené Aiko,,3:01
Don't,https://i.ytimg.com/vi/d7cVLE4SaN0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nyhQbtxsWWxu5N-RqVBLKA01uA4Q,브라이슨 틸러,,3:44
Needed Me,https://i.ytimg.com/vi/wfN4PVaOU5Q/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nNJsLUQel-7jHH14OdnStoc1HMZQ,Rihanna(리아나),,3:15
페티시(피처링: Gucci Mane),https://i.ytimg.com/vi/STO4-8vkG0U/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3klvj_EOyFHm7PpoKHovOk8SR6L-A,Selena Gomez(셀레나 고메즈),,3:48
Girls Need Love,https://i.ytimg.com/vi/1l8vIAvAerE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l4_9rroq1O6Q_fG4VxwmEODuasdw,서머 워커,,2:34
Earned It,https://i.ytimg.com/vi/waU75jdUnYw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lEx_I9SmOvHVOKip6dxbX4Diyk4A,The Weeknd(위켄드),,4:36
Permission,https://i.ytimg.com/vi/qp1Pq2Fuw30/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kRa1wlbTOly_WeKuS_31c-HPXLSA,로 제님스,,4:42
Love... (Her Fault)(피처링: 브라이슨 틸러),https://i.ytimg.com/vi/e7pV6Eo1I0k/hqdefault.jpg?sqp=-oaymwEWCMACELQBIAQqCghQEJADGFogjgJIWg&rs=AMzJL3nm0-LN1KURI1axCldC5k9Yw0Dv3w,Wale,,4:13
Hope You Do,https://i.ytimg.com/vi/BmLSua7LPR8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nJQTQK0q3B4vi3y6AcIZ_JeKzV2w,Chris Brown,,4:42
Body Party,https://i.ytimg.com/vi/B9rSBcoX9ak/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lGNXMwQKAcOUObP8hNg8WskxySSw,Ciara,,4:52
The Worst,https://i.ytimg.com/vi/oEm3lY3trRU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kZvxH-Ze98z0ZeQ9sgjPZOUWuO8A,Jhené Aiko,,4:39
Wicked Games,https://i.ytimg.com/vi/O1OTWCd40bc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kGprC72ltWQCcBKz9MLuyx1KMktQ,The Weeknd(위켄드),,4:42
When We (For You),https://i.ytimg.com/vi/iAXNGwyRYqY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kRP3IbBRAzyZKWxfpq5C7FeFzljA,Tank,,5:04
Exchange,https://i.ytimg.com/vi/aj9coPGuFkM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lB_ALEqdWXf1fRJ7cw39MGhzw1fA,브라이슨 틸러,,3:17
Every Kind Of Way,https://i.ytimg.com/vi/Wn1FH9BS-Ic/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lpFr7eTYMniX6XsVE0GRp1z2UUSA,개비 윌슨,,2:39
Greatest Love,https://i.ytimg.com/vi/5BjpWJyd_hk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kWNn2g6YDQF2Z-iCEjelu0hQDAKg,Ciara,,3:46
Lotus Flower Bomb(피처링: Miguel),https://i.ytimg.com/vi/ZKvhkcJDbzY/hqdefault.jpg?sqp=-oaymwEWCMACELQBIAQqCghQEJADGFogjgJIWg&rs=AMzJL3lVC9JK8ZBQgbV-lLm5XlBo64ZgfA,Wale,,4:54
No Pressure - Video Edit(피처링: Big Sean),https://i.ytimg.com/vi/154himd-3ZE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lo29SUi3zQ8EXciAtzOM2OV27R9Q,Justin Bieber(저스틴 비버),,3:20
So Much Better,https://i.ytimg.com/vi/YxFxfD25578/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lF_Y_5VeNgHvh-02lAZ7qV96FPeg,Tinashe 및 G-Eazy(지 이지),,3:25
Blame,https://i.ytimg.com/vi/wzGQ7r6e_0U/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kn1AGIM5-5DfT0hgc5iENgod6wSQ,브라이슨 틸러,,2:09
Honesty (Remix)(피처링: 제시 레예스),https://i.ytimg.com/vi/L1Ja6Y8GvY8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kaP4TAC2yfiwfjBrkKtuiadUROSA,Pink Sweat$,,3:08
You Got It,https://i.ytimg.com/vi/p61dXS119kw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nEEkmnIPh8fSPgN_cWcAfc1qH3yA,Vory,,3:32
