title,thumbnail,description,type,artist,year
부드러운 국내 감성 힙합,https://lh3.googleusercontent.com/KgjGzamPMV_UzPMBLtmIw_4iCQZ4NtMeRn4rzi3DCSwFgwRcygDV28EejRUep2oZtdf0qW-G6g=w544-h544-l90-rj,,재생목록,YouTube Music,2020
감성에 젖어드는 혼술 발라드,https://lh3.googleusercontent.com/0voGbsWIm42VEtetYPOcihUaVoLzN0DR0n22uOndhuDweJsjtiH6tdmgIux-OiF6Gd274NM4=w544-h544-l90-rj,,재생목록,YouTube Music,2020
감미로운 와인바 재즈,https://lh3.googleusercontent.com/JY_txitEyUFCTYM413xi_HuQWN7TTXqqpckQ4qgvh0Zdz7gR5jVOO7lAobZaNhgFys_a7BGl8A=w544-h544-l90-rj,우아하고 고급스러운 재즈음악과 함께 와인 한 잔을 즐겨보세요.,재생목록,YouTube Music,2020
해변가 트로피컬 & 딥 하우스 믹스,https://lh3.googleusercontent.com/DLeekkFxIEw0Ort3KxAiH21obrOzRXELIb8OJPPHVTGDVZXbBPgzn4BYxum7t6EgTj_sJ4GNrQ=w544-h544-l90-rj,트로피컬 & 딥 하우스 음악과 함께 해변가를 상상해 보세요!,재생목록,YouTube Music,2020
알로하! 하와이안 포크,https://lh3.googleusercontent.com/8PA42lGrs-2S6Pdg4s0y8pLtJ371gE7NzWJ0Uhc6i6T5ryvDOiM3Pa5BJw=w544-h544-l90-rj,By YouTube Music,재생목록,YouTube Music,2020
야만! 흥겨운 레게 음악,https://lh3.googleusercontent.com/YF08pXXMB6TZqUajMJ0RgrgECD5PEGhirx8PyD7CVje9ARf3Qt7IfOY0FsibUfEfAvD8jkeB=w544-h544-l90-rj,야만! 밥 말리의 소울을 느낄 수 있는 레게 음악을 준비했습니다. 흥겹고 행복한 댄스 타임을 즐기세요!,재생목록,YouTube Music,2020
은은하고 상큼한 국내 인디,https://lh3.googleusercontent.com/lyhXEfwff9ORpA-7_HKBEDPtHgk2aLpu-2fU06j0xEWC-P5bDoJuYwuPIbzRo4m96xSwH32c-A=w544-h544-l90-rj,상큼한 인디음악과 함께 즐거운 상상을 해보세요. 마음이 개운해 질 것입니다.,재생목록,YouTube Music,2020
편안한 팝 발라드,https://lh3.googleusercontent.com/g2A9LIo2QsgCh6BTP4gYP590EDJ1JxIyMO6VGjX-M4Q_-3iFZm3cYx9Vl6g6-gGFURMJIlja=w544-h544-l90-rj,,재생목록,YouTube Music,2020
소울 충만 펑키 오르간,https://lh3.googleusercontent.com/kKcw1Mbh6tiBWe-RD7huhYi-MnsXNSg4iiA92B1iO9w3r0jZKi5cL-Wl=w544-h544-l90-rj,펑키한 오르간 리프를 특징으로하는 60년대와 70년대의 그루비한 음악을 즐겨 보세요!,재생목록,YouTube Music,2020
로맨틱 섹시 PBR&B/힙합,https://lh3.googleusercontent.com/osHfWTvH-s8mavCWLUpdcoKpHSyRvYPSEQz3zi6vMVGpSO-sxeXB-W-c6l4BFm7fN_wngsk-0Hc=w544-h544-l90-rj,,재생목록,YouTube Music,2020
