title,thumbnail,artist,album,length
Dejavu,https://lh3.googleusercontent.com/Btm33i5xf9mbZYhD4ws6zJTuS8lUyTFnomh2cKZ6kJLpqarHPVBCHVArUiv2i9yjFpw1W64UCt01pt5Y=w120-h120-l90-rj,볼빨간사춘기,Red Diary 'Hidden Track',3:01
Bus,https://lh3.googleusercontent.com/EZo_MCNqpoP4kXfLJ079N_DHlndw4xh5RT_WrSJr3M-uRguI3QkHkXPuIkKGUjARo8I0m-zS45rJzTIP=w120-h120-l90-rj,크래커,Bus,3:27
바다가 보였었는데,https://lh3.googleusercontent.com/uiB2_BHlr0PV4avMxbvkY4tfHft7ipLOM3bRxmVZlJCzGnHbGhUE5hJAAdT4tlZqdkoumOp44whxd9101g=w120-h120-l90-rj,황시온,바다가 보였었는데,3:00
천천히,https://i.ytimg.com/vi/WV0U9eautPs/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3km6_4xZLHcQmsWJt9RYQBO89gfEA,유승우,,3:43
밤 비,https://lh3.googleusercontent.com/dwlPxZVyQqDSu5rDLvtlBGp0-1WF-DLxbGUWjgc_RSD-5U5Y7nGFVFAGsHbQguMIElaU5yNQVU_ZOs4=w120-h120-l90-rj,그_냥,안_녕..,4:01
In a Rain,https://lh3.googleusercontent.com/aPvsKys7uFGyXYu1_BRRFRxW8PVIUCbyTyidLx37dOTgpSQH4zLjdP2KFX_qNc9Rv6YW1J1E0zi-N5PEIA=w120-h120-l90-rj,모드니(Modny),Wetland,4:15
6 o'clock,https://lh3.googleusercontent.com/Btm33i5xf9mbZYhD4ws6zJTuS8lUyTFnomh2cKZ6kJLpqarHPVBCHVArUiv2i9yjFpw1W64UCt01pt5Y=w120-h120-l90-rj,볼빨간사춘기,Red Diary 'Hidden Track',2:45
One day(그런 날) (Feat. Kim ho yeon(김호연) of DalJohnBam),https://i.ytimg.com/vi/onZyex8kOuI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l3e9g-mYBmLtTSxEQEFFSmrCKckQ,크래커,,5:34
끝이 아닌 것 같아서,https://lh3.googleusercontent.com/5c51LPm7iF8SUcl80hjP2YxV-zEoMZ3TnkULdyXpekamwAqDr-s-sL5S91no-wHJfjOx1LqrNL5kLNuG=w120-h120-l90-rj,바닐라 어쿠스틱,어울리게 칠해줘,4:10
봄 그리고 너,https://lh3.googleusercontent.com/PmWgWerzkTCRsWHRUm0n6FqJ3JqMHaV_FW7_h0QO2wt90ovzST9hmzY3FWggZ1Upsmy0n2oeLq5EHUo=w120-h120-l90-rj,강성희,Trucker,3:30
