title,thumbnail,description,type,artist,year
비오는 날 듣기 좋은 국내 가요,https://lh3.googleusercontent.com/qcJIsIRvVd-tHsOx8dxmxPaSbuM0JOZLIECzIG1tsV3bYoIGylPma8NYrlqb1VVuv0q6fkKZJw=w544-h544-l90-rj,세차게 떨어지는 빗줄기 사이로 어떤 생각을 하고 있나요? 감성에 천천히 젖어드는 가요 플레이리스트입니다.,재생목록,YouTube Music,2020
빗방울과 어울리는 앰비언트,https://lh3.googleusercontent.com/6_cuD8Vk6nxFsNisbSUEu4rAL7B6G1fUIGvpKjdr1hJUo-x2iBeqfScB8CPxoK8TLfZqnJK82Q=w544-h544-l90-rj,때로는 가사와 보컬 없이 흐르는 음악에 당신의 생각을 그려보세요. 굵은 빗줄기 속에 무엇이 보이나요?,재생목록,YouTube Music,2020
비오는 날의 몽상: 아트 록,https://lh3.googleusercontent.com/Pk-ipjeKHQTByJTgqhU94CTFizqRwtOqIpUMF3-cbIL2mrHABO1CMd63npA=w544-h544-l90-rj,비오는 날에만 느낄 수 있는 특별한 감성과 생각들이 있습니다. 아트록과 함께 몽상에 빠져 보세요.,재생목록,YouTube Music,2020
비오는 카페의 얼터너티브 록,https://lh3.googleusercontent.com/0vQLmGiwKfYitVywY1kHW-YApRPM0jung4FU5kk9RzSC2CUyI9nDLbB2CA=w544-h544-l90-rj,"구름이 덮힌 하늘 아래, 세가지가 당신을 분위기 있게 만듭니다. 빗방울, 커피 한 잔 그리고 얼터너티브 록.",재생목록,YouTube Music,2020
촉촉한 클래식 피아노 음악,https://lh3.googleusercontent.com/2Wwc-mcDRT-IF-tRdrfmNA6y9V0BkFLYnzCzVi69qiMi3gVA9tL0hLra=w544-h544-l90-rj,감상에 흠뻑 젖을 수 있는 피아노 음악입니다. 빗소리와 어우러지는 연주를 감상하세요.,재생목록,YouTube Music,2020
명장면이 떠오르는 해외 영화 OST,https://lh3.googleusercontent.com/ksoEpURbFh1viw13H6MtmvRsKc9Vu9AyDA0oht1lbKu0VKvsx2tKuRuGksGN418rLCvVsG8v=w544-h544-l90-rj,어디서라도 영화 속 명장면을 떠올리며 감상에 빠져보세요.,재생목록,YouTube Music,2020
빗속으로 뛰어들고 싶어지는 국내 음악,https://lh3.googleusercontent.com/MjLhwXGwosSPZBwatxbD1L5k9ZUsm0rs0A-B_NmhqcLh-8Y2cfq2HTJDmHuuXZW3eybWnZoETg=w544-h544-l90-rj,,재생목록,YouTube Music,2020
창 밖을 바라보며 듣는 어쿠스틱 팝,https://lh3.googleusercontent.com/dYGTY8dUpTJPqiNs1xK4zK5gsJjLMSRsqZrAZNhQvAPplfv6hWDiUO3VA8pcUd6ERM8yYwLj=w544-h544-l90-rj,,재생목록,YouTube Music,2020
트렌디 감성 EMO 힙합,https://lh3.googleusercontent.com/GrAqbSFxVA4e_BkgHKgSTQSe6oA1QMl6aajixfjemHsHZAGysTtLwoUyzA=w544-h544-l90-rj,,재생목록,YouTube Music,2020
비오는 날 듣는 국내 인디,https://lh3.googleusercontent.com/XEwoDOHAr2F-eunTkWbHlj6OYcFKimcH967XpoH8ePQipDc9YY4bzqPbx7mUhtcIs-gdZXbhR3s=w544-h544-l90-rj,,재생목록,YouTube Music,2020
