title,thumbnail,artist,album,length
This Is What You Came For(피처링: Rihanna(리아나)),https://i.ytimg.com/vi/kOkQ4T5WO9E/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mcS_BFitXcXvr0O_SBsnK3Cw1pyw,캘빈 해리스,,4:00
Solo(피처링: Demi Lovato(데미 로바토)),https://i.ytimg.com/vi/8JnfIa84TnU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3niSOsfa8Gvw2XIOAPsqF8WMV8gXA,Clean Bandit(클린 밴딧),,3:44
"Darkside(피처링: Au/Ra, 토미네 하켓)",https://i.ytimg.com/vi/M-P4QBt-FWw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mef1nj7M35BqRlToGbjOgbHI1zXg,앨런 워커,,4:00
Where Are Ü Now,https://i.ytimg.com/vi/nntGTK2Fhb0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kfvMvdYd0M49jYo6lrezG98CbYEg,"Diplo, Justin Bieber(저스틴 비버) 및 Skrillex(스크릴렉스)",,4:12
Mama(피처링: 윌리엄 신지),https://i.ytimg.com/vi/qPTfXwPf_HM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mABL96OMboW3utt9C-gQzKRtpjxA,Jonas Blue(조나스 블루),,3:04
데어 포 유,https://i.ytimg.com/vi/pNNMr5glICM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kS46cmTK_ZGO_x7ow7aptxHSZ8Hg,Martin Garrix(마틴 개릭스) 및 Troye Sivan(트로이 시반),,3:41
Outside(피처링: Ellie Goulding(엘리 굴딩)),https://i.ytimg.com/vi/J9NQFACZYEU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nWDiNRxHG0QCdMsV6GDhmmC1dEeQ,캘빈 해리스,,3:46
Stole the Show(피처링: 파슨 제임스),https://i.ytimg.com/vi/BgfcToAjfdc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kYI9jkec_5YRNYyE2fPtp5EyaZwg,Kygo(카이고),,5:26
Diamond Heart(피처링: Sophia Somajo),https://i.ytimg.com/vi/sJXZ9Dok7u8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kYtBld3DDp666_Bp54L7hL2OtB-A,앨런 워커,,3:39
"Electricity(피처링: Diplo, Mark Ronson(마크 론슨))",https://i.ytimg.com/vi/Q4-jOuHO-z4/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lOcyQfHv1S56Y4O7zd76aULw1zAA,Silk City 및 두아 리파,,4:34
"Rise(피처링: 잭, 잭 & 잭)",https://i.ytimg.com/vi/btrzs54s1Rc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kfLqzabLKk24WAUdibCyrsAnJP-Q,Jonas Blue(조나스 블루),,3:39
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),https://i.ytimg.com/vi/MoHnffhBwqs/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mpwqZr_SBMyQB-qw4ffmAdXbc_YQ,David Guetta(데이빗 게타),,3:56
Call You Mine(피처링: Bebe Rexha(비비 렉사)),https://i.ytimg.com/vi/3XCVM3G3pns/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mpZZox8XUQkhRWCpnZW2iqiTkWog,The Chainsmokers(체인스모커스),,3:38
