title,thumbnail,description,type,artist,year
상쾌한 아침 EDM 믹스,https://lh3.googleusercontent.com/o5K_wERg1YNzT2irjJV5QVcY2CC6UR8XIGiSCGJVyoTq1t-faxqI854wXA=w544-h544-l90-rj,트렌디한 EDM 팝 트랙을 준비했습니다. 상쾌한 아침을 만들어 보세요!,재생목록,YouTube Music,2020
에너제틱 아침 준비 가요,https://lh3.googleusercontent.com/MospSXp7AylIpHXIs9E9xbpIkrkPTvasA0L2HAG3Dctkps8uWsUtc7xnzR2JeTjnAFy6EEPY=w544-h544-l90-rj,신나는 국내 가요와 함께 아침을 준비하세요.,재생목록,YouTube Music,2020
화장하며 듣는 팬시 팝,https://lh3.googleusercontent.com/tu_QWocEWdd8ZUg1wn0YC-d_PvoMC6HAJN1KxxutI6LShX_tUlsZfVim5ErK8e98qE4lgMfglw=w544-h544-l90-rj,,재생목록,YouTube Music,2020
아침에 듣는 산뜻한 보사노바,https://lh3.googleusercontent.com/qd495uQCfzSalxMc_VmOogNCr4WaDzMJ3ilIVo4DiYMAqvXB5mjZwEIh=w544-h544-l90-rj,통통 튀는 보사노바 음악과 함께 아침을 시작하세요. 산뜻한 기분으로 아침을 준비할 수 있습니다.,재생목록,YouTube Music,2020
명장면이 떠오르는 해외 영화 OST,https://lh3.googleusercontent.com/ksoEpURbFh1viw13H6MtmvRsKc9Vu9AyDA0oht1lbKu0VKvsx2tKuRuGksGN418rLCvVsG8v=w544-h544-l90-rj,어디서라도 영화 속 명장면을 떠올리며 감상에 빠져보세요.,재생목록,YouTube Music,2020
이른 아침 감성 발라드,https://lh3.googleusercontent.com/wbaMHgWLu5RITUx0HlOXo3dIMJqFEbXUK8HR2wnC6PNoyV1W_8TiqUtMB8Dj97R7scRExNgQ8g=w544-h544-l90-rj,,재생목록,YouTube Music,2020
장엄한 영화음악 대서사시,https://lh3.googleusercontent.com/GsQfdWT3jBy9xNbNAiz3aRAF_36doCIXlbLcXAM9tPaES-tSioGKvWR1AA=w544-h544-l90-rj,장엄한 영화 음악을 들어보세요. 색다른 몰입감을 선사합니다.,재생목록,YouTube Music,2020
따사로운 국내 어쿠스틱 가요,https://lh3.googleusercontent.com/jWnIqw7uDJ6etVGgPaP1NANCqoDyGR1xcJX9JHOCNTXThDJcHd154Mu9_dOcSddFzOxdofSq3wo=w544-h544-l90-rj,"아지랑이처럼 살랑이는 햇살이 창문으로 들어오는 날입니다. 행복하고 따뜻한 노래, 가사말과 함께 온기를 느껴 보세요.",재생목록,YouTube Music,2020
행복 기운 가득한 기상 가요,https://lh3.googleusercontent.com/YvcqNbIVhaht8ZI3tNAGX0n8GKvJ4wj6L0c_y60HucbWrhe2TcoUhPyWu9ah637nS9JOfu8z0Cw=w544-h544-l90-rj,당신의 하루를 응원해주는 긍정적인 노래들로 아침을 시작해보세요. 행복한 아침을 맞이할 수 있습니다.,재생목록,YouTube Music,2020
상쾌한 모닝 필 굿 팝,https://lh3.googleusercontent.com/9P0FyVj6E7wYQVM6RTMS0RUPgV8PY0pNXEv37vln7M6pzAX2K_I0HLCd8UFnQHm9MQgmjeku2g=w544-h544-l90-rj,기분 좋은 팝 음악들과 산뜻한 아침을 맞이하세요. 상쾌한 에너지로 하루를 준비할 수 있습니다.,재생목록,YouTube Music,2020
