title,thumbnail,artist,album,length
REMEMBER -KR Ver.-,https://i.ytimg.com/vi/NTJ8esMHW2E/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nkjWJEJWSHT1GiwwiMtpzB8ocJ_w,WINNER,,4:15
아무노래,https://i.ytimg.com/vi/UuV2BmJ1p_I/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nlsWj58IziXNmoU2s3I-q7Nj5c3A,지코(ZICO),,4:08
"Own It(피처링: Ed Sheeran(에드 시런), Burna Boy)",https://i.ytimg.com/vi/eYwbGaSurCQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nJTTugFNMgoEh38KNSZv932cLcBw,스톰지,,3:42
wish,https://lh3.googleusercontent.com/0cMYPk66a0LEotIBtlCZhiFWFgpY-xk_51jCCV0cdkXlkelFYxDxUllz2mpXy0NSLOgNg9qHpnf3X1zI=w120-h120-l90-rj,창모(CHANGMO),Boyhood,3:41
"Not Enough(피처링: 염따, pH-1)",https://lh3.googleusercontent.com/oUjCncoU4L0PvGiHmOxlBAHMgJLsp6kvHBl5ckQ-3-I7nUoCH-_Ln1pG-e7hwTyG5cinW_1tpUZm3BjIYA=w120-h120-l90-rj,"스윙스, 키드밀리 및 매드 클라운",Show Me the Money 8 Episode 1,4:27
"JOKE!(피처링: 사이먼 도미닉, 씨잼(C Jamm))",https://i.ytimg.com/vi/6rDo1MKPal8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kVlh49H_xY9iBr_ltNUCoP8iAlUg,CODE KUNST,,5:16
뜸 (Hold),https://i.ytimg.com/vi/YURT0erwtJc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3keyYvpNlMsSD8CEVKD65rtoDE05g,WINNER,,4:20
바빠서(피처링: 헤이즈(Heize)),https://i.ytimg.com/vi/N5qqjLj_nHE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k7efrGdXEFDC7bLhpeHuXqXTBKRA,개코,,4:10
"천둥벌거숭이(피처링: Jvcki Wai, 염따)",https://i.ytimg.com/vi/yp26FJduCFc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nre2q_g7HCXTm3ZOzCoPxOxswmZw,지코(ZICO),,4:19
BAND,https://lh3.googleusercontent.com/E6MtQbDmqinJFUOTU3KVlKjN_8P3DRGlJpUyZVsvAwXqE4KJ3eYWBefmInkrPypfARvol19uLP4WZgU=w120-h120-l90-rj,"창모(CHANGMO), 해쉬 스완(Hash Swan), 윤진영 및 김효은",BAND,4:05
"아퍼(피처링: Lil tachi, 씨잼(C Jamm), 김승민, NO:EL)",https://lh3.googleusercontent.com/XAYtmYDUhTHP8OYsTCWcAP7Lc5ONv1s4wIciqhVIVm-fEmvvpdCv7ArLnGQ0ImXd77j-WW1WabCQsiAytA=w120-h120-l90-rj,기리보이(Giriboy),100년제전문대학,5:15
PACKITUP! (prod. BMTJ),https://i.ytimg.com/vi/yFPZkd9pPG8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l-lO8dTPzzpLy3NUuKp8lOQHFpXQ,pH-1,,2:49
O(피처링: 이하이),https://lh3.googleusercontent.com/x7INWwbHjPS-DVLCOC-8VKdTR5ABpt-rmI1HGjgo-IznTAAQ_HjxuFicntKfQK6dYqc-0OVIVuNV0EDY=w120-h120-l90-rj,CODE KUNST,PEOPLE,3:33
