title,thumbnail,artist,album,length
마지막처럼,https://i.ytimg.com/vi/Amq-qlqbjYA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m4sMm4hFK2V1yFpmclFHLF-3LBqQ,BLACKPINK,,3:37
Save Me,https://i.ytimg.com/vi/GZjt_sA2eso/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mj4711qZgkce_L3XWR_mdXqODvJg,방탄소년단,,3:37
Ko Ko Bop,https://i.ytimg.com/vi/IdssuxDdqKk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3myO5bf-MENKabcT7oIaS4-cFL9Yw,EXO,,3:16
가시나,https://i.ytimg.com/vi/ur0hCdne2-s/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nFIJ2CLrmG-h4hniCCbkGoMPdWlQ,선미 (SUNMI),,4:11
I'm so sick(1도 없어),https://i.ytimg.com/vi/F4oHuML9U2A/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kKeuSaKxqmDJK-Vzv2TyagjTrbNw,에이핑크,,3:37
WAVE,https://i.ytimg.com/vi/FIInyEWWW-s/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lIFyIxUJON9ke2OI6mRL4sTByIlQ,에이티즈,,3:24
불장난,https://i.ytimg.com/vi/9pdj4iJD08s/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kFtS2WVsynYTfskRp7cp6fCQmnkQ,BLACKPINK,,3:29
열대야 (Fever),https://i.ytimg.com/vi/Zll7O1v63aY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m-bFpo998JLMTNtaFljyXCSSnShg,여자친구(GFRIEND),,4:07
빔밤붐 (BIM BAM BUM),https://i.ytimg.com/vi/nUOeg1LYF7Y/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kwJ2oRsr05a1WPzbexYkHyaQzZjg,로켓 펀치,,3:45
花요일 Blooming Day,https://i.ytimg.com/vi/Ib674A1yMtg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kdw8chpbimEWC3Zfealt85W1-XsA,EXO-CBX (첸백시),,3:28
Why,https://i.ytimg.com/vi/WkdtmT8A2iY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lZouMNpip95iSkSIOWpifHhK_fvQ,태연(TAEYEON),,4:08
데리러 가 (Good Evening),https://i.ytimg.com/vi/7dGwk5-QMpc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kfKDRhYhOYlWTfL5xd7letF9uRiA,샤이니,,3:49
ISLAND,https://i.ytimg.com/vi/kRj4toENrnA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mHKQ5nrLT68XerJ5VUpp0AUTTZFw,WINNER,,3:37
Why Don't You Know(피처링: 넉살(Nucksal)),https://i.ytimg.com/vi/EHgeGRU3wDI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nRHToCQi48BRdmUrgg_g9Grcfvbg,청하,,3:28
Me Like Yuh (k)(피처링: Hoody (후디)),https://i.ytimg.com/vi/1hYP4rmRVKE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kWy_FOQLu0YgP1bgiFMKe4vVbXJA,박재범(Jay Park),,3:44
