title,thumbnail,artist,album,length
Single-minded dandelion (MR) (일편단심 민들레야 (MR)),https://i.ytimg.com/vi/TZNdHS2oMgg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nFJknxw988LNiwSjSMvG857JChxQ,임영웅,,2:25
바램,https://i.ytimg.com/vi/mFTmfD7b56E/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mGd26iM5FfJr1x1_zknmjzN1-1ZQ,임영웅,,2:51
Single-minded dandelion (MR) (일편단심 민들레야 (MR)),https://i.ytimg.com/vi/9BCQZV0_eRk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mMTfkiC2NPhHoCPHrSXlxkX71MQg,임영웅,,4:18
에잇(피처링: SUGA of BTS),https://lh3.googleusercontent.com/raCvjGEtKIiRpduJYDcfclLVqh4LfiESAZU5XxODLlZ2XhCvJ7GCfhrWJ1XD4NiV8oirCVujMsrs-b6C=w120-h120-l90-rj,아이유(IU),에잇,2:48
Leo (feat. BAEKHYUN) (나비와 고양이 ))(피처링: 백현(BAEKHYUN)),https://i.ytimg.com/vi/L8UUYfe6-UA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3liAaOa5zw6TSIB4wLsLNw0qzJ5Ig,볼빨간사춘기,,3:23
"DAY6 ""Zombie"" M/V",https://i.ytimg.com/vi/k8gx-C7GCGU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lw67aki07-bXOYEdNUmw7z-AuhAQ,jypentertainment,,3:36
Nonstop,https://i.ytimg.com/vi/iDjQSdN_ig8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lyrOyq3aFdXg3eUqEDj7bYY3EIJQ,오마이걸(OH MY GIRL),,3:24
Happy,https://i.ytimg.com/vi/Raj-AuQgCTg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nCF1Z6ciemb3nxN0hxjU10bVimQA,태연(TAEYEON),,3:46
[M/V] NU'EST - I'm in Trouble,https://i.ytimg.com/vi/4Lm9u-iXrDc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nyTOFJQ5odcBndEkakDw0s44X0ZA,뉴이스트(NU'EST),,3:20
[MV] BOL4(볼빨간사춘기) _ Hug(품),https://i.ytimg.com/vi/qfeoX17dav0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kjJ9YJGDBVGiKacu5rxy1yCVbQGg,1theK (원더케이),,3:46
Stay Tonight,https://i.ytimg.com/vi/XjX5yj_h7ns/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n9Z0L1fHbk8geJIJjgflzD0COZiQ,청하,,3:40
Stuck with U,https://i.ytimg.com/vi/pE49WK-oNjU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lP-Gg_CxFVFryRN7pEMVD5qZIyMw,Ariana Grande(아리아나 그란데) 및 Justin Bieber(저스틴 비버),,4:18
"[Special Clips] 청하(CHUNG HA) - ""Stay Tonight"" 안무 영상 비하인드",https://i.ytimg.com/vi/dsNhF9KEgAo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k6INDaVsdHUu5bW_sk2D3srqxsig,청하,,9:05
Dolphin,https://lh3.googleusercontent.com/C-tzB3wnaPBaIBM6KZUzfgVM-hIQeHF5PbRmV1IytmLvP8DQa_ja18Np42OsmazUV4VbJH1MYtT5_fsP=w120-h120-l90-rj,오마이걸(OH MY GIRL),NONSTOP,2:57
