title,thumbnail,artist,album,length
My Old Flame,https://lh3.googleusercontent.com/uvl4hMmbzSTswaj6BI2P6PsEOYXj5l0RDciqk_IYbujLUkwWhWDKzpiZSIjEXIfJFglbqMQXmg4sUVTZ=w120-h120-s-l90-rj,조 패스,Virtuoso,5:15
Brazil (Instrumental),https://lh3.googleusercontent.com/0Ml0iZzX8aE5mCEB0r5vT4DDf19YWudDGxkwjAYa4AXX3110W1cbpChdR-DWoaGzvav-UZ8Zb0ndTpSo=w120-h120-s-l90-rj,바니 케셀,Solo,2:36
The Dolphin (Live),https://lh3.googleusercontent.com/s-h4jrddTMkXe2zSsUa0NKiE7aLKYeMlCh3xYqlHCenR6uGvldZxJvkozdqeDBWJ9QkXuMab2-R6c_XMHA=w120-h120-l90-rj,마틴 테일러,Martin Taylor In Concert,5:47
Echoes of Spain,https://lh3.googleusercontent.com/IrKRZvCFLyohNeJTA14pu254oljVFk8DQjaBw8vrYufWC4w6CaqMEU-uqiZzX2alJ_j2zFlVhJQ_3KW-=w120-h120-l90-rj,장고 라인하르트,Jazz Guitar Classics,2:49
A Child Is Born,https://lh3.googleusercontent.com/JwrhX9895n75iUMeqtWcM_YuvA1Hxa2mwpknlqJdfrKE08aic80jI1hzdxmNGVL-_Qu2kBOWyLJmFYRBDg=w120-h120-l90-rj,스탠리 조단,Magic Touch,3:32
I'm Old Fashioned,https://lh3.googleusercontent.com/ZEmT-qgBpdSOW5ujvYDAFOboGiNO5WlQcRY-rl_mPYbH2eLof7AvvQcu5U-qvxJ9BvmA66CGjlWusBSJDQ=w120-h120-s-l90-rj,조니 스미스,Legends: Solo Guitar Performances,2:20
'Round Midnight,https://lh3.googleusercontent.com/ihI2Pq8KlhvBPmhrrcOm90ygVIpZJjwcRXlXNv20MDNDbGzE_I-7oPLIIZtxP7GERvOXJCtfAGQE7vSM=w120-h120-l90-rj,조 패스,Virtuoso (OJC Remaster),3:38
Alfie (Instrumental),https://lh3.googleusercontent.com/0Ml0iZzX8aE5mCEB0r5vT4DDf19YWudDGxkwjAYa4AXX3110W1cbpChdR-DWoaGzvav-UZ8Zb0ndTpSo=w120-h120-s-l90-rj,바니 케셀,Solo,5:27
Rome Montage,https://lh3.googleusercontent.com/nNt9foUocTsO9QHZkVCqcVLGVFCTWrdR2Cry9FXHbZbpL1E3esvJRNOoM6yUqhGP04AuwGZzSLshD48Cww=w120-h120-l90-rj,진 버튼시니,Jobim/someone To Light Up My,3:18
Wait Till You See Her,https://lh3.googleusercontent.com/szc6xZ3IIj9ltWp3RdJVXO8RSDovoNqPWw2p3k_PMLjb79U0c4_OhTmdMGhuDDxFomLcL1t9sIBF6Pnwvw=w120-h120-l90-rj,Bucky Pizzarelli,One Morning In May,1:45
Improvisation,https://lh3.googleusercontent.com/ho9ypv7znoQLSspHDUbSijrjMtCUKWJMradZ6w3qOfeyO5uSQGXDrtCHRwzUG1OxdJrs8h2vC-_N9GOh=w120-h120-l90-rj,장고 라인하르트,Jazz Guitar Classics,2:25
Macho's Lullaby,https://lh3.googleusercontent.com/ZEmT-qgBpdSOW5ujvYDAFOboGiNO5WlQcRY-rl_mPYbH2eLof7AvvQcu5U-qvxJ9BvmA66CGjlWusBSJDQ=w120-h120-s-l90-rj,조니 스미스,Legends: Solo Guitar Performances,2:07
Autumn Leaves,https://lh3.googleusercontent.com/yrQLDL3KGFTcTZ78nVATrQGq8aO8x_o9norO-f-GiRfxT6IRcTVnb8Gwm5Hro0_HXt1BxxQEIhL-bZPd=w120-h120-l90-rj,조 패스,Unforgettable,2:32
Over The Rainbow / If I Only Had A Brain,https://lh3.googleusercontent.com/-rBw7uAwgDlz6feJi7e2dqBAxLyfOV4KwdHWyLy4ydidqkdMpf62a8BeZS2kwDGogQwvC15oyxylDBfw=w120-h120-s-l90-rj,Tuck Andress,Reckless Precision,4:42
Summertime / It Ain't Necessarily So (Medley),https://lh3.googleusercontent.com/Mq4Neq6LubdIQqVTTBrCtxnLcUsEBZmTMtdWAhU1iX-F9QfgjxrQieNl0mGyUSurkoPWxHCoaqXa7Rg=w120-h120-l90-rj,Ted Greene,Solo Guitar,4:40
Someone to Light Up My Life,https://lh3.googleusercontent.com/nNt9foUocTsO9QHZkVCqcVLGVFCTWrdR2Cry9FXHbZbpL1E3esvJRNOoM6yUqhGP04AuwGZzSLshD48Cww=w120-h120-l90-rj,진 버튼시니,Jobim/someone To Light Up My,5:04
Someone To Watch Over Me,https://lh3.googleusercontent.com/szc6xZ3IIj9ltWp3RdJVXO8RSDovoNqPWw2p3k_PMLjb79U0c4_OhTmdMGhuDDxFomLcL1t9sIBF6Pnwvw=w120-h120-l90-rj,Bucky Pizzarelli,One Morning In May,3:09
