title,thumbnail,artist,album,length
How You Like That,https://i.ytimg.com/vi/ioNng23DkIM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kY2IfHzL5heRoSInd3wD4aNFUefg,BLACKPINK,,3:04
Dil Bechara – Title Track | Sushant Singh Rajput | Sanjana Sanghi | A.R. Rahman |Mukesh C |Amitabh B,https://i.ytimg.com/vi/PMCu0JtizCk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mNu9kKSfJN9M9ocwx4BlYURsZEcQ,Sony Music India,,2:44
Life Is Good (Official Music Video)(피처링: Drake(드레이크)),https://i.ytimg.com/vi/l0U7SxXHkPY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nAYhK1iZzvg-kiEroqmRfHx6QrQA,Future(퓨처),,5:36
Tattoo,https://i.ytimg.com/vi/wJT-YKmlWJc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lsE_trrelnz_DKDP5EiJD25-JEIA,Rauw Alejandro 및 Camilo,,3:43
La Jeepeta Remix (Lyric Video),https://i.ytimg.com/vi/yErttA9tEro/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kByHYdGus-i8AZgD7RFMCzdyWDrA,"Nio Garcia, Brray, Juanka 및 아누엘 아",,5:47
YAYA,https://i.ytimg.com/vi/yxgJclR4dUU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nAe8YZaduJkoqzzhui4z6vT0Z8OA,6ix9ine,,2:50
GOOBA,https://i.ytimg.com/vi/pPw_izFr5PA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ky8_mc6UQG6JGY-0x1fi6usa_d1g,6ix9ine,,2:29
Khairiyat (Bonus Track),https://i.ytimg.com/vi/hoNb6HuNmU0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m5DrynOh_nELZmX4jasNniffN3cw,Arijit Singh(아리짓 싱),,3:59
Kim Loaiza - Me perdiste (Video Oficial),https://i.ytimg.com/vi/CeZzoc-hs-g/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nJi2QutwsY-W-Gs8-CLtN48n0g1Q,Kim Loaiza,,2:22
Poesia Acústica #9: Melhor Forma,https://i.ytimg.com/vi/e1tZUSriYM8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n6BJNfeNwiwk-sc4cM9fXjDc1k1w,"Pineapple StormTV, L7NNON, Chris MC 및 Xamã",,10:15
Dance Monkey,https://i.ytimg.com/vi/q0hyYWKXF0Q/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lH6ppvW4LakRLQ8EnvizTAqWDP6Q,톤스 앤 아이,,3:57
Relación,https://i.ytimg.com/vi/c6D8v6DhKc4/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mj7hMMjGkSVGrX_a6ohzLAcTlX1Q,Sech,,3:08
Genda Phool(피처링: Payal Dev),https://i.ytimg.com/vi/SD4Z8dlZPd8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lND-nXHg-hNPtNGTIaoQ70p1cOYw,바드샤,,2:54
