title,thumbnail,artist,album,length
[M/V] NU'EST - I'm in Trouble,https://i.ytimg.com/vi/4Lm9u-iXrDc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nyTOFJQ5odcBndEkakDw0s44X0ZA,뉴이스트(NU'EST),,3:20
Ridin',https://i.ytimg.com/vi/vofjeJvRT9c/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nTu7YenE62P4cVkk0xyXbd0Xrzyg,NCT DREAM,,3:32
REMEMBER -KR Ver.-,https://i.ytimg.com/vi/NTJ8esMHW2E/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nkjWJEJWSHT1GiwwiMtpzB8ocJ_w,WINNER,,4:15
Leo (feat. BAEKHYUN) (나비와 고양이 ))(피처링: 백현(BAEKHYUN)),https://i.ytimg.com/vi/L8UUYfe6-UA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3liAaOa5zw6TSIB4wLsLNw0qzJ5Ig,볼빨간사춘기,,3:23
Happy,https://i.ytimg.com/vi/Raj-AuQgCTg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nCF1Z6ciemb3nxN0hxjU10bVimQA,태연(TAEYEON),,3:46
에이핑크 덤더럼(Dumhdurum),https://i.ytimg.com/vi/WqzTRK5GPWQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m72D1ve2U8WOeSbd_1gqdP2DLaOA,에이핑크,,3:41
Stay Tonight,https://i.ytimg.com/vi/YPFIh0dfYfw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kO7R2ZXilNCK5GUB0sqcKYrynL6g,청하,,3:50
뱉어 (Spit it out),https://i.ytimg.com/vi/V8FXWf0s7K0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kFrQPFRIovFkKV3GrSqJOXS3Jf3A,솔라,,3:55
"Own It(피처링: Ed Sheeran(에드 시런), Burna Boy)",https://i.ytimg.com/vi/eYwbGaSurCQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nJTTugFNMgoEh38KNSZv932cLcBw,스톰지,,3:42
에잇(피처링: SUGA of BTS),https://lh3.googleusercontent.com/raCvjGEtKIiRpduJYDcfclLVqh4LfiESAZU5XxODLlZ2XhCvJ7GCfhrWJ1XD4NiV8oirCVujMsrs-b6C=w120-h120-l90-rj,아이유(IU),에잇,2:48
Orbit,https://i.ytimg.com/vi/NhnDJLx1im8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l_NPp_AJRxUVbLsKWqhtCbCTiXVQ,화사,,3:07
I Just Want To Stay With You,https://i.ytimg.com/vi/rQX3CzUyu58/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lkOW-qna5xRQmGub9VKN4Oim35iQ,Zion.T,,3:28
사장님 도박은 재미로 하셔야 합니다,https://i.ytimg.com/vi/ObzvA8tx9aA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kpO4xBfsqioQnvXQxSGHxs_jYqXA,비비(BIBI),,3:56
농담처럼 Just Kidding (Prod. by Zion.T),https://i.ytimg.com/vi/90lREWfo8Yk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m_hVO4MmxMdWKh96y-D2ALWdfG7Q,기리보이 GIRIBOY,,4:05
(마마무),https://i.ytimg.com/vi/g5W9KnbtIac/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lZoprDuIweduH6-L9zvvG6Btvo4A,마마무(MAMAMOO),,4:18
시청 앞 지하철 역에서,https://i.ytimg.com/vi/OD7JTf7QOVY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nmRl4f6OFXNBkziPryDkBDPuSmeQ,곽진언,,5:01
[MV] 볼빨간사춘기 - '품',https://i.ytimg.com/vi/Bi6KH-P2Irc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m91hFUfQTynGsxp4ltkV7L3Ukzow,볼빨간사춘기,,3:46
Zombie,https://lh3.googleusercontent.com/eTlvGsPtTaM1AHJXXdb-1aUT7p8rGKu-lAYWlbbE0Btyfasn_-ONpdnhaevqJkP_UC480Gsh7FRbSvI=w120-h120-l90-rj,DAY6(데이식스),The Book of Us : The Demon,3:30
Drawing The Universe(피처링: 이라온),https://i.ytimg.com/vi/EWRUm52agrk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kLThlyszGJO_wfF_2nTPOqW9OSQA,마크툽,,4:35
All The Way Up (K),https://i.ytimg.com/vi/ypCClfIuUrE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lS5XRMFPXhMN-o6wRbr-CKlsgZ4w,박재범(Jay Park),,3:43
그대 고운 내사랑,https://lh3.googleusercontent.com/UrQK_Qa8neXrc7GTIpIs9hm8jtzCJ0pMfANbKz_HqiSYFxl109DZu-iJRzPjSzNK9FU_xVWhBsolzzu4=w120-h120-l90-rj,어반자카파 (URBAN ZAKAPA),슬기로운 의사생활 OST Part 5,3:51
우리 만남이,https://i.ytimg.com/vi/FEI_imQ1Eaw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3luy9l8L_oyeE8JGjMbmcl-VqRTLg,폴킴(Paul Kim),,4:19
NAN CHUN,https://i.ytimg.com/vi/KsznX5j2oQ0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lBME7WM0jxTjY3pIwJOCnlF9f9HA,새소년,,4:11
ECHO,https://i.ytimg.com/vi/Rxsk4jw4hkY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n4WwjG0PLyvAhHTLP1HSqgQEfx0w,KATIE,,3:41
"Yours(피처링: LeeHi, CHANGMO)",https://lh3.googleusercontent.com/u0mJZivZu-4BQEk8tlQzOTXijXhU3WOXCXElb_3SrL28vlkuuHPnOZiEqdbNbL4sQh4_RGHye_86By7A=w120-h120-l90-rj,Raiden 및 CHANYEOL,Yours,3:56
나보다 더 사랑해요,https://lh3.googleusercontent.com/ftQ3AZdCB9Fm4ByaVCTPbk9-4Je-P1Kac-qT67Ip8321KLXfqA1ZtBC60WDHboJ_jlmxlTLV841jy0KY=w120-h120-l90-rj,김호중,나보다 더 사랑해요,4:12
넌 언제나,https://lh3.googleusercontent.com/Z0IkBhgmMKzsllPlvdRbdiEn5rxNPTs7YcSdOBHXlkgu0JfeQ6fFqEE3Y0xxyH07T0VABpaWk88LTkjrBw=w120-h120-l90-rj,제이레빗(J Rabbit),슬기로운 의사생활 OST Part 7,4:17
PACKITUP! (prod. BMTJ),https://i.ytimg.com/vi/yFPZkd9pPG8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l-lO8dTPzzpLy3NUuKp8lOQHFpXQ,pH-1,,2:49
