title,thumbnail,description,type,artist,year
RELEASED,https://lh3.googleusercontent.com/3XIuJhzzjLFBD06g6CTfDpuVyzALdFUJ9G2PepcTMB5xl1yJ3KEEnIQT60mA0cUley90HTH2vQ=w544-h544-l90-rj,빠르게 업데이트 되는 신곡을 만나보세요 🥑,재생목록,YouTube Music,2020
최신 국내 발라드,https://lh3.googleusercontent.com/SgbnBdh_XN5RlYFzk_L_uTfN-SwWn8M4srW8bs2OU177xbZoNr96LPYqFIWOpLGH92fPAGOUcJQ=w544-h544-l90-rj,최신 발매된 국내 발라드 음악을 만나보세요.,재생목록,YouTube Music,2020
최신 국내 음악,https://lh3.googleusercontent.com/qH6nVwQFjum9Rhsw23VKiQ9nId1DcDgMhudJSVZtEldPed_QlNZw8oWw02cjElu5IvWsOw75TA=w544-h544-l90-rj,최신 발매된 장르별 국내 음악을 만나보세요.,재생목록,YouTube Music,2020
최신 팝 음악,https://lh3.googleusercontent.com/JE9lCFxufi2kgaiJmFlNAUlpdo_UFZxjlrku2gVcUseloP7-PltGURmu1yWpRwFO7iN3W2xg=w544-h544-l90-rj,최신 발매된 장르별 팝 음악을 만나보세요.,재생목록,YouTube Music,2020
주목해야 할 신인,https://lh3.googleusercontent.com/F_-bRk0mRX93voCrL7IdDyEp1JIgu3RLkl0Ps7gFSsOxr7IBXhiSWGYlCtOPioyXe1PQAGuShw=w544-h544-l90-rj,눈여겨봐야 할 신인들의 음악을 감상해 보세요.,재생목록,YouTube Music,2020
최신 국내 힙합/R&B,https://lh3.googleusercontent.com/o485j9JXnlrOWdNjxhy6CLSd8mSIXAeHRWJAKOOLANSSlJz3h3TxsVeOBCOZvkvqtuKoIdK1Bw=w544-h544-l90-rj,최신 발매된 국내 힙합/R&B 음악을 만나보세요.,재생목록,YouTube Music,2020
최신 국내 인디/포크,https://lh3.googleusercontent.com/Kry_ciRPYVaU609bLQFkMUAz_3D5GtACi9sXUufzG_b3K5cMTDF36vYgdv_PNMS8z8h7V8jQWXw=w544-h544-l90-rj,최신 발매된 국내 인디/포크 음악을 만나보세요.,재생목록,YouTube Music,2020
최신 국내 댄스,https://lh3.googleusercontent.com/OgeotMa0X3DAEfLoMMaHQ1TqRODUcPYJNO22zq9uB21XiXsG8lwxX0bHHIODhCILpAjwQmS5dQ=w544-h544-l90-rj,최신 발매된 국내 댄스 음악을 만나보세요.,재생목록,YouTube Music,2020
최신 재즈,https://lh3.googleusercontent.com/uRyqzucDUjVe-gSW5qukIqtS5m_ghY1Akgi8jusJYDHULg1-iTRCCPwKI08nIXiEftJH11qmog=w544-h544-l90-rj,최신 발매된 재즈 음악을 만나보세요.,재생목록,YouTube Music,2020
최신 국내 OST,https://lh3.googleusercontent.com/Zo7rn87T2qderdL1DEb6nAT4-C2ZLixiSvEF5KkG1InLqWypjOnNFoNXtoIqsSvZiQSdaVLMe80=w544-h544-l90-rj,최신 발매된 국내 OST 음악을 만나보세요.,재생목록,YouTube Music,2020
