title,thumbnail,artist,album,length
Life Is Good (Official Music Video)(피처링: Drake(드레이크)),https://i.ytimg.com/vi/l0U7SxXHkPY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nAYhK1iZzvg-kiEroqmRfHx6QrQA,Future(퓨처),,5:36
Like Pascal,https://lh3.googleusercontent.com/7sBxtKGJ0fMizYchbFFtRVfCMrsDMMwICMCVQbxm1krgc2FbfxVMSkZJS3Jac6SvnLAB5MPHq4LwgWe8=w120-h120-l90-rj,로이 우즈,Dem Times,3:13
ROSALINDA,https://lh3.googleusercontent.com/sdkqGGjzc2q3r1ndaMzD5joOsgna8gVHs9KKpQ7z45x6LO7t76RMxQPU7r7dZFLsCz3G3QB6paQECOAN=w120-h120-l90-rj,JordanGotSwag,Slime & Love,4:20
Rich (Chopnotslop Remix),https://lh3.googleusercontent.com/3ZZGD8OrRzAzpcHjWSSwLrjoZtz8P8vPOqFAaoXyTeL6M8cf9XAPVKE93ME1BTd5B9lw7JzeZ7IAgTDD=w120-h120-l90-rj,메건 더 스탤리언,Suga (Chopnotslop Remix),2:29
Savage (Chopnotslop Remix),https://lh3.googleusercontent.com/3ZZGD8OrRzAzpcHjWSSwLrjoZtz8P8vPOqFAaoXyTeL6M8cf9XAPVKE93ME1BTd5B9lw7JzeZ7IAgTDD=w120-h120-l90-rj,메건 더 스탤리언,Suga (Chopnotslop Remix),3:41
Apoge,https://lh3.googleusercontent.com/rUm3oJME2bQh4nMoietqjRurxsbhnX5yVs-57m0ymFxg-5GhGI5zjRaPMXo3FaagaW1QbGQmEFW00zjp=w120-h120-l90-rj,IXMA,Think About,2:02
Outer Space Bih,https://lh3.googleusercontent.com/KJ5CgsKFS1nDOJgA6wSkVYKpoKbAZSymG8DCbAnyffJ7MGnQwuqNSSd612_C5ib7DZbkeEKgDt_JVn-8AA=w120-h120-l90-rj,Future(퓨처),High Off Life,2:56
Cool J,https://lh3.googleusercontent.com/7sBxtKGJ0fMizYchbFFtRVfCMrsDMMwICMCVQbxm1krgc2FbfxVMSkZJS3Jac6SvnLAB5MPHq4LwgWe8=w120-h120-l90-rj,로이 우즈,Dem Times,3:23
SEXY,https://lh3.googleusercontent.com/sdkqGGjzc2q3r1ndaMzD5joOsgna8gVHs9KKpQ7z45x6LO7t76RMxQPU7r7dZFLsCz3G3QB6paQECOAN=w120-h120-l90-rj,JordanGotSwag,Slime & Love,4:19
Missing,https://lh3.googleusercontent.com/rUm3oJME2bQh4nMoietqjRurxsbhnX5yVs-57m0ymFxg-5GhGI5zjRaPMXo3FaagaW1QbGQmEFW00zjp=w120-h120-l90-rj,IXMA,Think About,1:58
We Yelled Charge! on Whippoorwill,https://lh3.googleusercontent.com/mnpz_8VtWaRnY_LsGxXmr1knJ6KADLW-zNSgSplaYrODf1Jbj7hiSw4KH9PtXK_3EBW1ML2xAIE4IkzN=w120-h120-l90-rj,Pollie Pop,Settled the Score,4:08
PUNCH ME IN PT 1,https://lh3.googleusercontent.com/K_EeN2xlAA5Qdn0axPbXzoDsLHs97zz2BiLzrWTPwUGxbFjSpeZPilykKZdlcETGQhqjXCTA7FNUo7Fm=w120-h120-l90-rj,Hy Osama,1017 CHALLENGE,1:35
MALCOM X,https://lh3.googleusercontent.com/K_EeN2xlAA5Qdn0axPbXzoDsLHs97zz2BiLzrWTPwUGxbFjSpeZPilykKZdlcETGQhqjXCTA7FNUo7Fm=w120-h120-l90-rj,Hy Osama,1017 CHALLENGE,1:39
"Stolt(피처링: Juan, BiGJ, dubbelA, Deone)",https://lh3.googleusercontent.com/R3sGFo5wQLFJm4s_2-s9FEUpXDRyZNeajAB2odA5SNCys4aOMI99sziTI8U_1I6vsqKUFNPFPO173APr=w120-h120-l90-rj,AGGEbeats,Släppta & Osläppta,5:38
Gula element(피처링: dubbelA),https://lh3.googleusercontent.com/R3sGFo5wQLFJm4s_2-s9FEUpXDRyZNeajAB2odA5SNCys4aOMI99sziTI8U_1I6vsqKUFNPFPO173APr=w120-h120-l90-rj,AGGEbeats,Släppta & Osläppta,3:09
"Shadows & Gallows(피처링: Moonie, Marko)",https://lh3.googleusercontent.com/q-TKFYYd3B0SMFreDhj5z8CfQOFX5bB3HdVKrd5XbJF0HaD0pIgOwz1fd-XOL_JbWXeVGjM_LDQ3E6WP=w120-h120-l90-rj,Dj Lil Mark,Shadows & Gallows,1:50
The Tussles on Thornbrook,https://lh3.googleusercontent.com/mnpz_8VtWaRnY_LsGxXmr1knJ6KADLW-zNSgSplaYrODf1Jbj7hiSw4KH9PtXK_3EBW1ML2xAIE4IkzN=w120-h120-l90-rj,Pollie Pop,Settled the Score,4:10
Joce Machine,https://lh3.googleusercontent.com/eatonEWso3h9-z-7BPjyqE1CRLeEdSnHszQ6r2NgYvTw7zSrRQU5guTE2mdNEGTZAaMVJUC8K3Mypob7=w120-h120-l90-rj,Ten$hin,Joce Machine,2:13
Thinkin & Hurtin(피처링: Bone),https://lh3.googleusercontent.com/Acp09Mues-WsZ5WkhKfTdKDkxj3BtM6UVfu6eK33ewfe8hcO6WEciuSFpJgrcAa7Keotv2Bb17vATw9XVA=w120-h120-l90-rj,Jai,Thinkin & Hurtin,3:51
Red Lights Pt. 2,https://lh3.googleusercontent.com/RlLLX5_nYXVc-UNzn5dBsN4RkLSpkBEDkkRpWw_mARNaxgIFuqSgQn3juq3baCt1JvXKhWrcK4XouwA=w120-h120-l90-rj,Lil Khori,Red Lights Pt. 2,2:34
lilgameryuh(피처링: dominic),https://lh3.googleusercontent.com/CMCDzsnTqrJm4tdFoFowFpKeI828yLRmGCoHt5t7q7w_Q4oaAqp7hmMPmSBtleDy8Eg-Pn0BASC6diYowA=w120-h120-l90-rj,lilgosha,lilgameryuh,2:07
BROKEN(피처링: Lauryn Kovacs),https://lh3.googleusercontent.com/lYwqIHL-M-KDErSKh9OYCg1hmtxfxwvj6OSD0rpv8bEQqW9FlxQBE_5orFwbCu26YrtYXnzzV2Y7PpPr=w120-h120-l90-rj,MATTEO ORNATO,BROKEN,2:25
Lil Keed - Wavy [Official Video],https://i.ytimg.com/vi/i_1y0sdzvF4/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mpzw4gyYoSf0_i_AcR82Wxky_82g,Lil Keed,,4:00
Urgent Message,https://lh3.googleusercontent.com/U5biMytny50AoEIu3_oyrwA69koLiHOGrsjJezbRL70sGlf1ddZqMDmhl0qXGmtX3g-dgPD3zFLW8tNG=w120-h120-l90-rj,BronDakidd,ITS MY TIME,2:01
Trapping Freestyle(피처링: Vlone Jay),https://lh3.googleusercontent.com/U5biMytny50AoEIu3_oyrwA69koLiHOGrsjJezbRL70sGlf1ddZqMDmhl0qXGmtX3g-dgPD3zFLW8tNG=w120-h120-l90-rj,BronDakidd,ITS MY TIME,2:28
Exquisite,https://lh3.googleusercontent.com/ZwRvQugRi28A6AzPM9MwQR-vESJ2OtXMH1vXnlTrANXaHh9ipB4BFxn3XRe9rTI8-v9QPORK3K1cKjto=w120-h120-l90-rj,Face Eastwood,KallitWutUWant,2:20
Piff & The Kaine(피처링: Alumanis),https://lh3.googleusercontent.com/ZwRvQugRi28A6AzPM9MwQR-vESJ2OtXMH1vXnlTrANXaHh9ipB4BFxn3XRe9rTI8-v9QPORK3K1cKjto=w120-h120-l90-rj,Face Eastwood,KallitWutUWant,4:23
Incoming(Intro),https://lh3.googleusercontent.com/9nn4-BAPED0gAvWjts20DtyRxw2vYRhK4EIcqeLx-YYvuKCLgI0vB8t60Rw8ptPG5OJK3JJE0za3UWWZYg=w120-h120-l90-rj,Yungin Zay,Zaydayoungin Vs.,4:01
Forreal,https://lh3.googleusercontent.com/9nn4-BAPED0gAvWjts20DtyRxw2vYRhK4EIcqeLx-YYvuKCLgI0vB8t60Rw8ptPG5OJK3JJE0za3UWWZYg=w120-h120-l90-rj,Yungin Zay,Zaydayoungin Vs.,2:33
Glockbox,https://lh3.googleusercontent.com/xQ6mjrN8tc80H934zCWfihBqoe_u5DkSxDSSTFQXQsRy7_eXVdRNbcwwxPCiprsgeyUMfpis2WTv7kcT=w120-h120-l90-rj,Supreme Khy,Glockbox The Tape,2:12
Life Is Good (Official Music Video)(피처링: Drake(드레이크)),https://i.ytimg.com/vi/l0U7SxXHkPY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nAYhK1iZzvg-kiEroqmRfHx6QrQA,Future(퓨처),,5:36
