title,thumbnail,description,type,artist,year
최신음악 믹스,https://lh3.googleusercontent.com/HCiQ2_AbFCQvEUFF586LDLHtm_DnK9BvGDmeq7NJOnCwM25iqsJytMjyXwEuV4rDFglvg4yXYQ=w544-h544-l90-rj,"나만을 위해 선별된 신곡입니다. 새로운 노래가 출시될 때마다 조금씩 업데이트되며, 금요일마다 대규모 업데이트가 있으니 확인해 주세요.",,매주 금요일 업데이트,
에잇,https://lh3.googleusercontent.com/raCvjGEtKIiRpduJYDcfclLVqh4LfiESAZU5XxODLlZ2XhCvJ7GCfhrWJ1XD4NiV8oirCVujMsrs-b6C=w544-h544-l90-rj,,싱글,아이유(IU),2020
High Off Life,https://lh3.googleusercontent.com/KJ5CgsKFS1nDOJgA6wSkVYKpoKbAZSymG8DCbAnyffJ7MGnQwuqNSSd612_C5ib7DZbkeEKgDt_JVn-8AA=w544-h544-l90-rj,,앨범,Future(퓨처),2020
GOOBA,https://lh3.googleusercontent.com/SBO5hwLCd_znt7QDS0tzPVn7XtoRHfji6Oqc23yM7mR-oWJd3KnLayLpsiydlmP42qYmieRhoXv0ERQo=w544-h544-l90-rj,,싱글,6ix9ine,2020
나비와 고양이,https://lh3.googleusercontent.com/9pUj46vHD-LEgjxSMY4PGlnTFamUx3lp1ljRb9E4iuiPvH40EFwgFgz82wS8wzO8Z4oQhX-8tzIzBC3QGQ=w544-h544-l90-rj,,싱글,BOL4,2020
사춘기집Ⅱ 꽃 본 나비,https://lh3.googleusercontent.com/iW7qYFWbAowRVi1xIDoL-0Rk-QDvA9ke24PJ_LR9v7OvEg4x1nFULE0AybD0Sn_dyIpLbAgiIKhftNHx=w544-h544-l90-rj,,EP,볼빨간사춘기,2020
Suga (Chopnotslop Remix),https://lh3.googleusercontent.com/3ZZGD8OrRzAzpcHjWSSwLrjoZtz8P8vPOqFAaoXyTeL6M8cf9XAPVKE93ME1BTd5B9lw7JzeZ7IAgTDD=w544-h544-l90-rj,,앨범,메건 더 스탤리언,2020
더 킹 : 영원의 군주 OST Part 10,https://lh3.googleusercontent.com/x6bCYTaWv1Zg5CtiDmWQ1SSE2AFVpeQ0scZGWUFU2QQEEZSZfGO2tdXK6rP6oAlmLiZqOQll5SUs9W4=w544-h544-l90-rj,,싱글,ZICO & 웬디(WENDY),2020
treasure,https://lh3.googleusercontent.com/rmYtxRdOY6kGgkmxUNC2Occ356mfj8ChBjNRJUeWRLsfpywBvAoV7UMb-1KIvWHT2DOXzrTVLKL669ZPaQ=w544-h544-l90-rj,,싱글,offset,2020
더 킹 : 영원의 군주 OST Part 8,https://lh3.googleusercontent.com/Vq1r9kP4OEfGX1zii4FYfemP9LWjuPisNtFjwwi_kVt-3fnvi0GwKpxfuueCXMsnw8ygvkpuRHea3HBb=w544-h544-l90-rj,,싱글,폴킴(Paul Kim),2020
