title,thumbnail,artist,album,length
여전히 아름다운지,https://lh3.googleusercontent.com/5HxG3UNBb1TA86fTYg0efy_ianKtWLm6b24a3t_h6O_Cud2v7qezmPct4zudHYCzrzlYPtQKUqBdkpE=w120-h120-l90-rj,토이,A Night In Seoul (4집),4:15
A Beautiful Farewell,https://lh3.googleusercontent.com/vMijWKIl8DbUGydreBz5Fh_SXvOjKYHQcKvo89C0T81mi7Wjh2MZAoP1CBqYYxjbG1tEf84AD2IyTd8umQ=w120-h120-s-l90-rj,김건모,잘못된 만남,4:10
천년의 사랑 (Live),https://i.ytimg.com/vi/50d3cIdL2dI/hqdefault.jpg?sqp=-oaymwEWCMACELQBIAQqCghQEJADGFogjgJIWg&rs=AMzJL3kP0z7mvbuLK6EZjwiey5TDXs124A,박완규,,4:22
나만의 슬픔,https://lh3.googleusercontent.com/D4i75K0CQYCKEcHhcx-0CMtquGZMea6vPfbTpm1uY75svx6xf6p1AHeuXuky4rZY9RLUF_adjuW9ehYL=w120-h120-l90-rj,김돈규,Separation,4:31
내가 너의 곁에 잠시 살았다는 걸,https://lh3.googleusercontent.com/lWU1ARc2a09_E9NsaRie0BqLYGMYcXkjgAUO8mzTqnTF71usMRGdQa46migvOoISri2H0CygwLVZVxk=w120-h120-l90-rj,김연우,토이2집-YOUHEEYEOL,5:12
Blue Rain,https://lh3.googleusercontent.com/vSZ0LU0LKhocma6UlU3i_ZH2jGfO7BRYQdok3UpN8CLoHpqwP3dNg0RLLQKOSRB_H20td38Jc_af4q8=w120-h120-l90-rj,핑클(Fin.K.L),Fine Killing Liberty : Blue Rain,4:20
어느 60대 노부부 이야기 (A Sexagenary Couple's Story),https://lh3.googleusercontent.com/fF0rct8BEQ0fJYmqN1ZEikVV1EVURmzdu8QyqI_9mY1NLih9vMwob74aPIy2rHj9Ls3u3EYze6WrcMfh=w120-h120-l90-rj,김광석 (Kim Kwang Seok),김광석 다시부르기 2 (Kim Kwang Seok Sing Again 2),4:28
취중진담,https://i.ytimg.com/vi/m3Wjv9JW_6A/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nefeQwOtFASEvwr2kpeQd8dLNdng,전람회,,5:21
Alone In Love,https://lh3.googleusercontent.com/S0WUlTNEY2LUObVdmU2L01V9NowN3FGewn84UiPBLuDKnWCG14var02owLk4J1LbKuGG-JBzdYiA9TPF=w120-h120-s-l90-rj,김건모,핑계,4:46
나의 하루,https://lh3.googleusercontent.com/n8x3XLfKmb5XzghDV_p857T2jDa29MHbYZYfnpDCGwPXqt6pqitypgz2LroJYyuLLdDEicoZiJYz_LAU=w120-h120-l90-rj,박정현,Piece,4:06
Reflection Of You In Your Smile,https://lh3.googleusercontent.com/OQ12jOjla6vz0dFKJvQdVH1bO9uAE5Nh3bI8HzwTAT9PlTHwyMmEtsxUX5Y2pQ3n2Vcav3FFriSxNOP2=w120-h120-s-l90-rj,신승훈,미소 속에 비친 그대,4:53
루비(淚悲):슬픈 눈물,https://lh3.googleusercontent.com/vSZ0LU0LKhocma6UlU3i_ZH2jGfO7BRYQdok3UpN8CLoHpqwP3dNg0RLLQKOSRB_H20td38Jc_af4q8=w120-h120-l90-rj,핑클(Fin.K.L),Fine Killing Liberty : Blue Rain,4:11
서른 즈음에 (About Thirty),https://lh3.googleusercontent.com/doY5TbsprL9nU0VHBrBYACPspr7h8ayzT7f7KB_9KLG-y0vxao3GbWyAqmJnTGlCrp5RPtVpw-sCFt0=w120-h120-l90-rj,김광석 (Kim Kwang Seok),김광석 네번째 (Kim Kwang Seok 4th),4:43
산골소년의 사랑이야기,https://i.ytimg.com/vi/1rv-yGtmeS0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mfmWJEbh72RVI5OuraGritwMhpsQ,예민,,4:42
그녀의연인에게 (Instrumental),https://i.ytimg.com/vi/VaDxHKkldDM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lmuGv3QUdfyM7zVR5hBvSwgTUygQ,K2(김성면),,4:51
