title,thumbnail,description,type,artist,year
90 - 00년대 인기 가요,https://lh3.googleusercontent.com/z5-8S9cOnpKX2PobpiZHt_MZ3aINxOkB9hWY-z80FBN_VpoTckGe2obSNiRt629puktIgg9P8Wc=w544-h544-l90-rj,추억의 90~00년대 음악들을 모았습니다. 당시 문화를 주도하던 음악과 함께 추억에 잠겨보세요.,재생목록,YouTube Music,2020
Presenting The Rolling Stones,https://lh3.googleusercontent.com/KOgP0PYg2wcdEwMwW2no2ml9cZQMDJDbA6BR4ZBXJ2QZLy9i6Zhfp2Tzb5P8bh8qLjUpLYVIJQ=w544-h544-l90-rj,히트곡과 대표곡을 하나의 플레이리스트에서 모두 감상하세요.,재생목록,YouTube Music,2020
2000년대 베스트 국내 발라드,https://lh3.googleusercontent.com/ZWIAxxLEORoDrz0KCvfoCPZua0FTNxAkeJ4lBCEoJyqREc_4ndsF3qAWmG6_pmP5LMZ7dek_NM8=w544-h544-l90-rj,,재생목록,YouTube Music,2020
밥 딜런 베스트,https://lh3.googleusercontent.com/oZ76k8b78PfzuHXPGoc5HSUBBDhdUf_pvwlKL6Qi5OFUWexwkTyk3WAtymM=w544-h544-l90-rj,,재생목록,YouTube Music,2020
90년대 인기 댄스 가요,https://lh3.googleusercontent.com/hguWW5ACtHtvV5mlKMp3WBzKjZhfFU6A8tRXMgWyPrPOfL2Db1ijtHatCBUcbLugZngGLCIEXLY=w544-h544-l90-rj,,재생목록,YouTube Music,2020
90년대 베스트 국내 발라드,https://lh3.googleusercontent.com/OpNh1US5D8zCrvvKqWZ55eGgW3UsCfmxtIgQq5yrCq9euPZlid1K9vQaa__zt-MQYibV8lSyyw=w544-h544-l90-rj,,재생목록,YouTube Music,2020
추억의 7080 팝송,https://lh3.googleusercontent.com/zATUz32Lg7duRMNFaZHwoWg8hoQZqv5u6NqPnHM1sxTAOlmwFJ5InCAy=w544-h544-l90-rj,,재생목록,YouTube Music,2020
7080 추억의 인기 가요,https://lh3.googleusercontent.com/IiEP9HBciP2N5tSkMdkBenBf9rtwC-Hp_aBN1KdxdelNjPeaIlOWpRW5bg=w544-h544-l90-rj,유튜브 뮤직 제공,재생목록,YouTube Music,2020
추억의 국내 록 발라드 베스트,https://lh3.googleusercontent.com/0rlQh2cI9E0pYYJCMNZe_NmKdI5_2fyZ5GcuVARtZ6-sOWWfh1F5pLDW=w544-h544-l90-rj,,재생목록,YouTube Music,2020
2000년대 베스트 댄스 가요,https://lh3.googleusercontent.com/qJXUzWJWAVh7EIxWiRFUprANalNIGnzrZ2-g80TZrwfirO89hAgGdzWYWmcznxfMYoOuYRiY=w544-h544-l90-rj,,재생목록,YouTube Music,2020
