title,thumbnail,artist,album,length
So What,https://i.ytimg.com/vi/ylXk1LBvIqU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nr_duz0Ox8nDWj-QYam8mfIav5uw,마일스 데이비스,,9:24
Peace (Instrumental),https://lh3.googleusercontent.com/oSynkQODYuUhKmYfgvsWV54Lmo3ro33UT4NbmjA7gsLFxpjbg9lSOgTpV4nW35dsLEP9Y5kkOWC0Pk578w=w120-h120-l90-rj,토미 플래너건,"Something Borrowed, Something Blue",6:13
Take Five,https://i.ytimg.com/vi/-DHuW1h1wHw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mKrKU4EmnU1jiTqG7WSGsFPTWK8A,데이브 브루벡,,5:26
Vera Cruz,https://lh3.googleusercontent.com/iBDqE5Y2yvhBGjr6iRueYN4DOs0FatsX1hoqdXjiCCvomU6KSMFuRzqNwEedxgcgg2LZnMjxh7Lx1zmI=w120-h120-l90-rj,Jim Hall,Where Would I Be?,3:56
Nocturnal (Instrumental),https://lh3.googleusercontent.com/Pxhysysw3kBVmdnExA8mBai2Z1K9wZgUCEYPtJLVk8biVqr7DX5wAub8_J7HTbxQ-WKgAzHkYjxsSEZeDQ=w120-h120-s-l90-rj,Charlie Haden,Nocturne,6:53
Peace Piece,https://i.ytimg.com/vi/0-qS7Y07L00/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kPMhWRNqql6hVKMAu4FiAGeCILCA,Bill Evans,,6:44
When Love Is New,https://lh3.googleusercontent.com/owmBpvvThTFWPNHrdtpZNtHNbq9xefEgiwO8MlDMSx6_jvlGj_hCZnAVFHC9ZP1ojJJH9-ANma5MD-Y=w120-h120-l90-rj,"Cedar Walton Trio, 빌리 히긴스 및 David Williams",Manhattan Afternoon,7:21
On Green Dolphin Street,https://lh3.googleusercontent.com/7fjF9bWwjuG1i1veNJBOLQ-jszBZDOGw1roGiMLmxmjH04bZHEmSoU9ZoiepIGjF_c-DIBLZQa_QesnqtQ=w120-h120-l90-rj,Vince Guaraldi,In Person,5:53
If I Were A Bell (Rudy Van Gelder Remaster),https://lh3.googleusercontent.com/F8gNZQ6Ht8bmQ19YFKoZftXHm867V1Ky68cygbJftFt0qr2Z0v6PtYLzO0vQCuDxD6hCs08RFDvVit1TQA=w120-h120-l90-rj,Miles Davis,Chronicles - The Complete Prestige Recordings 1951-1956,8:08
Slowly,https://lh3.googleusercontent.com/5cvg7xcnXswYgYeujhfmh4UIZj0Re2Y1dTBIhUkTlNRDyuwfTUUT6WXBMSJecvEsC-jxnKn1a53tQNw=w120-h120-l90-rj,셸리 맨,"Shelly Swings, Vol. 9",5:31
