title,thumbnail,description,type,artist,year
나른하고 차분한 쿨재즈,https://lh3.googleusercontent.com/0fDpxxh1y_6bFxDOoG4_rH45nB4iJJtjvmVrBFzX5KO8VCx8KztwyiIIMQkTLkL4u6v95GIJAw=w544-h544-l90-rj,,재생목록,YouTube Music,2020
빌딩 숲 사이 카페의 재즈 피아노,https://lh3.googleusercontent.com/hoQz484TqgQKnQoC3Rj4_SKkjgpC3qdZ4cIiyZSkJxQlQjfpwZimB3XBrJs7UaKRLThkd-PywTs=w544-h544-l90-rj,,재생목록,YouTube Music,2020
따뜻한 힐링 피아노 뮤직,https://lh3.googleusercontent.com/ndSMKlrRDNh8aOzp4GC_5MvfagrxkSFhSLCJUdB_I_wNiMaLVeAJNoFZMT4=w544-h544-l90-rj,,재생목록,YouTube Music,2020
카페에서 듣기 좋은 잔잔한 인디음악,https://lh3.googleusercontent.com/re8P0RFZSWHvTLiqXMrJh0P3QPAqA3ta1MNPIKh-ELlKefW2uupTojA-BM32BnvwujBamN-P=w544-h544-l90-rj,,재생목록,YouTube Music,2020
유럽 빈티지 카페 보사노바,https://lh3.googleusercontent.com/osFdFVTnvVUbJQwyg8OvXTqo6nGWubPrF-POTxLCZYVSxUBEM6qaDfxN=w544-h544-l90-rj,,재생목록,YouTube Music,2020
상수동 카페 감성 국내 인디,https://lh3.googleusercontent.com/mPjPwaRMJFb7J-bxNjLuu2BYmenZQ1Rs7eb7QquGmeZPc1BJ2GbRlv2Ex4qW5Vfiwhi132Dv=w544-h544-l90-rj,커피 한 잔을 앞에 두고 무언가에 골몰한 당신. 섬세한 예술가의 감성이 필요하군요.,재생목록,YouTube Music,2020
이태원 카페 재즈 힙합,https://lh3.googleusercontent.com/x4noXhGxrhcFv65c7J_hUgjyyFKJ8wwA8BPwTG8oNbhspUY5PxzRjKEz4kjUThYXl1jwd6bUxHI=w544-h544-l90-rj,,재생목록,YouTube Music,2020
감미로운 국내 드라마 OST 발라드,https://lh3.googleusercontent.com/rsUWhAmGUkq2RzJIixeIFs75-N4N7AwLOM5yoGsxjy95ccO4RUpyKrQvBA=w544-h544-l90-rj,감미롭고 서정적인 드라마 OST 발라드로 부드러운 카페 분위기를 만들어 보세요.,재생목록,YouTube Music,2020
카페 테라스에서 듣는 감성 팝,https://lh3.googleusercontent.com/1p7qT29uQGWkAOkln_ObG2r_dp0AxXPGGp3B4GNiiYajrHf43qP6q2_Ijvz2jEzCPBrQRq5h9uw=w544-h544-l90-rj,,재생목록,YouTube Music,2020
7080 라이브 카페 음악,https://lh3.googleusercontent.com/YcIFq6NXBY2HE8RYDbiwFMfsdscOKmH1XvwxdNnbWiXwOuz6ycHsmGABdbvlvI5xyCkWlrZqpw=w544-h544-l90-rj,,재생목록,YouTube Music,2020
