product_id,description
167677C,"{'Model': '167677C', '제품소재': '겉감: 폴리에스터 100%/ 안감: 면 100%/ Outsole: 고무 100%', '색상': '일렉트릭블러쉬', '치수': '220-250', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167678C,"{'Model': '167678C', '제품소재': '겉감: 폴리에스터 100%/ 안감: 면 100%/ Outsole: 고무 100%', '색상': '화이트', '치수': '220-250', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167596C,"{'Model': '167596C', '제품소재': '겉감: 폴리에스터 100%/ 안감: 폴리에스터 100%/ Outsole: 고무 100%', '색상': '게임로얄', '치수': '220-280', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167592C,"{'Model': '167592C', '제품소재': '겉감: 폴리에스터 100%/ 안감: 폴리에스터 100%/ Outsole: 고무 100%', '색상': '멀티', '치수': '220-280', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167593C,"{'Model': '167593C', '제품소재': '겉감: 폴리에스터 100%/ 안감: 폴리에스터 100%/ Outsole: 고무 100%', '색상': '블랙', '치수': '220-280', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167645C,"{'Model': '167645C', '제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%', '색상': '에그렛', '치수': '220-280', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167642C,"{'Model': '167642C', '제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%', '색상': '게임로얄', '치수': '220-280', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167830C,"{'Model': '167830C', '제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%', '색상': '블랙', '치수': '220-280', '제조자': '컨버스', '제조국': '중국', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167827C,"{'Model': '167827C', '제품소재': '겉감: 폴리에스터 100%/ 안감: 면 100%/ Outsole: 고무 100%', '색상': '세리스핑크', '치수': '220-290', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167826C,"{'Model': '167826C', '제품소재': '겉감: 폴리에스터 100%/ 안감: 면 100%/ Outsole: 고무 100%', '색상': '고스트그린', '치수': '220-290', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167702C,"{'Model': '167702C', '제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%', '색상': '말라카이트', '치수': '220-290', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167910C,"{'Model': '167910C', '제품소재': '겉감: 폴리에스터 83%, 면 17%/ 안감: 면 100%/ Outsole: 고무 100%', '색상': '말라카이트', '치수': '230-280', '제조자': '컨버스', '제조국': '중국', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167911C,"{'Model': '167911C', '제품소재': '겉감: 폴리에스터 83%, 면 17%/ 안감: 면 100%/ Outsole: 고무 100%', '색상': '블랙', '치수': '230-280', '제조자': '컨버스', '제조국': '중국', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167915C,"{'Model': '167915C', '제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%', '색상': '블랙', '치수': '230-280', '제조자': '컨버스', '제조국': '중국', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167912C,"{'Model': '167912C', '제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%', '색상': '에그렛', '치수': '220-290', '제조자': '컨버스', '제조국': '중국', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167708C,"{'Model': '167708C', '제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%', '색상': '블랙', '치수': '220-290', '제조자': '컨버스', '제조국': '중국', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167709C,"{'Model': '167709C', '제품소재': '겉감: 면 100%/ 안감: 면 100%/ Outsole: 고무 100%', '색상': '블랙', '치수': '220-290', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
564981C,"{'Model': '564981C', '제품소재': '겉감: 면 100%/ 안감: 폴리에스터 100%/ Outsole: 고무 100%', '색상': '화이트', '치수': '220-250', '제조자': '컨버스', '제조국': '인도', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
563456C,"{'Model': '563456C', '제품소재': '겉감:면 100%안감:면 100% outsole:고무 100%', '색상': '상단표기', '치수': '상단표기', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 (1년) 내 무상수선\n품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터\n(080-987-0182)', '제조연월': '상품라벨에서 확인'}"
564982C,"{'Model': '564982C', '제품소재': '겉감: 면 100%/ 안감: 폴리에스터 100%/ Outsole: 고무 100%', '색상': '블랙', '치수': '220-250', '제조자': '컨버스', '제조국': '인도', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
166324C,"{'Model': '166324C', '제품소재': '겉감: 폴리에스터 50%, 천연가죽(소가죽) 26%, 폴리우레탄 24%/ 안감: 폴리에스터 91%, 스판덱스 9%', '색상': '블랙', '치수': '250-280', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
165907C,"{'Model': '165907C', '제품소재': '겉감: 폴리에스터 50%, 천연가죽(소가죽) 26%, 폴리우레탄 24%/ 안감: 폴리에스터 91%, 스판덱스 9%', '색상': '블랙', '치수': '250-280', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
167297C,"{'Model': '167297C', '제품소재': '겉감: 합성가죽(폴리우레탄) 60%, 폴리에스터 40%/ 안감: 폴리에스터 91%, 폴리우레탄 9%/ Outsole: 고무 100%', '색상': '볼트', '치수': '260-290', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
166804C,"{'Model': '166804C', '제품소재': '겉감: 합성가죽(폴리우레탄) 55%, 폴리에스터 45%/ 안감: 폴리에스터 91%, 폴리우레탄 9%/ Outsole: 고무 100%', '색상': '블랙', '치수': '260-290', '제조자': '컨버스', '제조국': '베트남', '취급시 주의사항': '본 제품은 천연 염료를 사용하여 물빠짐이 있으니 연한색 양말의 착용과 장시간 세탁 및 표백성분 세제와 세탁기 사용을 삼가해 주십시오.', '품질보증기준': '품질보증기간 내 무상수선 품질 보증 기간 경과 혹은 소비자 과실 유상수선', 'A/S 책임자와 전화번호': '컨버스 AS 센터(080-987-0182)', '제조연월': '상품 라벨에서 확인'}"
