product_id,group
150249C,1
150247C,1
167596C,1
167592C,1
167593C,1
564981C,1
563456C,1
564982C,1
567686C,1
567685C,1
168293C,1
168279C,1
166709C,1
166708C,1
167235C,1
167633C,1
167631C,1
167629C,1
537081C,1
537084C,1
567847C,1
567865C,1
567855C,1
164301C,1
164300C,1
563457C,1
560251C,1
167643C,1
167646C,1
167647C,1
167644C,1
167966C,1
167963C,1
567157C,1
567311C,1
567155C,1
567309C,1
567992C,1
567991C,1
567101C,1
567100C,1
566766C,1
167347C,1
567143C,1
167067C,1
167068C,1
167069C,1
167043C,1
167044C,1
567105C,1
166745C,1
166744C,1
166740C,1
166741C,1
M9166C,1
167967C,1
M9696C,1
M5039C,1
M9697C,1
M7652C,1
M3310C,1
M9622C,1
M9621C,1
M7650C,1
M9160C,1
