code,name,price,gender,size_list,media_list,info_long,image_big
3J235C,척테일러 올스타 클래식 키즈,39000,어린이,"['170', '180', '190', '200', '210']","['https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_primary.jpg?gallery=', 'https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_02.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_03.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_04.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_05.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J235C_3J235C_06.jpg?browse=']","['컨버스의 아이코닉한 디자인의 척테일러가 키즈버전으로 탄생하였습니다. 옥스포드 실루엣의 이 스니커즈는 진정한 스타일의 유산이 될 것입니다. 척테일러와 함께 패션너블한 키즈의 아이콘이 되어보세요.', '* 가볍고 견고한 캔버스 어퍼', '* 시즌리스, 타임리스한 실루엣', '* 통기성을 위한 중간의 아일렛', '* 스타일의 포인트를 더하는 다양한 컬러웨이', '* 발뒤꿈치부분의 아이코닉한 척테일러 플레이트 패치', '']",http://tcakorea.speedgabia.com/converse/SU20/3J235C.jpg
3J256C,척테일러 올스타 클래식 키즈,39000,어린이,"['170', '180', '190', '200', '210']","['https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_primary.jpg?gallery=', 'https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_02.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_03.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_04.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_05.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J256C_3J256C_06.jpg?browse=']","['컨버스의 아이코닉한 디자인의 척테일러가 키즈버전으로 탄생하였습니다. 옥스포드 실루엣의 이 스니커즈는 진정한 스타일의 유산이 될 것입니다. 척테일러와 함께 패션너블한 키즈의 아이콘이 되어보세요.', '* 가볍고 견고한 캔버스 어퍼', '* 시즌리스, 타임리스한 실루엣', '* 통기성을 위한 중간의 아일렛', '* 스타일의 포인트를 더하는 다양한 컬러웨이', '* 발뒤꿈치부분의 아이코닉한 척테일러 플레이트 패치', '']",http://tcakorea.speedgabia.com/converse/SU20/3J256C.jpg
3J236C,척테일러 올스타 클래식 키즈,39000,어린이,"['170', '180', '190', '200', '210']","['https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_primary.jpg?gallery=', 'https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_02.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_03.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_04.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_05.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J236C_3J236C_06.jpg?browse=']","['컨버스의 아이코닉한 디자인의 척테일러가 키즈버전으로 탄생하였습니다. 옥스포드 실루엣의 이 스니커즈는 진정한 스타일의 유산이 될 것입니다. 척테일러와 함께 패션너블한 키즈의 아이콘이 되어보세요.', '* 가볍고 견고한 캔버스 어퍼', '* 시즌리스, 타임리스한 실루엣', '* 통기성을 위한 중간의 아일렛', '* 스타일의 포인트를 더하는 다양한 컬러웨이', '* 발뒤꿈치부분의 아이코닉한 척테일러 플레이트 패치', '']",http://tcakorea.speedgabia.com/converse/SU20/3J236C.jpg
3J232C,척테일러 올스타 클래식 키즈,45000,어린이,"['170', '180', '190', '200', '210']","['https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_primary.jpg?gallery=', 'https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_02.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_03.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_04.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_05.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J232C_3J232C_06.jpg?browse=']","['컨버스의 아이코닉한 디자인의 척테일러가 키즈버전으로 탄생하였습니다. 하이탑 실루엣의 이 스니커즈는 진정한 스타일의 유산이 될 것입니다. 척테일러와 함께 패션너블한 키즈의 아이콘이 되어보세요.', '* 가볍고 견고한 캔버스 어퍼', '* 클래식 앵클 패치', '* 시즌리스, 타임리스한 실루엣', '* 통기성을 위한 중간의 아일렛', '* 스타일의 포인트를 더하는 다양한 컬러웨이', '* 발뒤꿈치부분의 아이코닉한 척테일러 플레이트 패치', '']",http://tcakorea.speedgabia.com/converse/SU20/3J232C.jpg
3J253C,척테일러 올스타 클래식 키즈,45000,어린이,"['170', '180', '190', '200', '210']","['https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_primary.jpg?gallery=', 'https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_02.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_03.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_04.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_05.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J253C_3J253C_06.jpg?browse=']","['컨버스의 아이코닉한 디자인의 척테일러가 키즈버전으로 탄생하였습니다. 하이탑 실루엣의 이 스니커즈는 진정한 스타일의 유산이 될 것입니다. 척테일러와 함께 패션너블한 키즈의 아이콘이 되어보세요.', '* 가볍고 견고한 캔버스 어퍼', '* 클래식 앵클 패치', '* 시즌리스, 타임리스한 실루엣', '* 통기성을 위한 중간의 아일렛', '* 스타일의 포인트를 더하는 다양한 컬러웨이', '* 발뒤꿈치부분의 아이코닉한 척테일러 플레이트 패치', '']",http://tcakorea.speedgabia.com/converse/SU20/3J253C.jpg
3J231C,척테일러 올스타 클래식 키즈,45000,어린이,"['170', '180', '190', '200', '210']","['https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_primary.jpg?gallery=', 'https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_02.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_03.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_04.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_05.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/3J231C_3J231C_06.jpg?browse=']","['컨버스의 아이코닉한 디자인의 척테일러가 키즈버전으로 탄생하였습니다. 하이탑 실루엣의 이 스니커즈는 진정한 스타일의 유산이 될 것입니다. 척테일러와 함께 패션너블한 키즈의 아이콘이 되어보세요.', '* 가볍고 견고한 캔버스 어퍼', '* 클래식 앵클 패치', '* 시즌리스, 타임리스한 실루엣', '* 통기성을 위한 중간의 아일렛', '* 스타일의 포인트를 더하는 다양한 컬러웨이', '* 발뒤꿈치부분의 아이코닉한 척테일러 플레이트 패치', '']",http://tcakorea.speedgabia.com/converse/SU20/3J231C.jpg
767559C,척테일러 올스타 수퍼 플레이 인펀트,45000,유아,"['130', '140', '150', '155', '165']","['https://image.converse.co.kr/cmsstatic/product/767559C_767559C_primary.jpg?gallery=', 'https://image.converse.co.kr/cmsstatic/product/767559C_767559C_2.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/767559C_767559C_3.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/767559C_767559C_4.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/767559C_767559C_5.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/767559C_767559C_6.jpg?browse=']","['슬립온 스타일로 아이들이 신고 가볍게 뛰어놀수 있도록 가볍고 신축성이 좋고 통기성이 소재의 스니커즈입니다. 편안한 착화감을 위해 소프트 EVO 인솔이 적용되어 있으며, 간편한 탈착화를 위해 신축성이 있는 슈레이스와 힐 루프가 디테일이 디자인 되었습니다.', '*간편한 탈착화를 위한 신축성이 있는 슈레이스와 힐 루프', '* 소프트 EVO 인솔', '']",http://tcakorea.speedgabia.com/converse/SU20/767559C.jpg
767560C,척테일러 올스타 수퍼 플레이 인펀트,45000,유아,"['130', '140', '150', '155', '165']","['https://image.converse.co.kr/cmsstatic/product/767560C_767560C_primary.jpg?gallery=', 'https://image.converse.co.kr/cmsstatic/product/767560C_767560C_2.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/767560C_767560C_3.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/767560C_767560C_4.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/767560C_767560C_5.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/767560C_767560C_6.jpg?browse=']","['슬립온 스타일로 아이들이 신고 가볍게 뛰어놀수 있도록 가볍고 신축성이 좋고 통기성이 소재의 스니커즈입니다. 편안한 착화감을 위해 소프트 EVO 인솔이 적용되어 있으며, 간편한 탈착화를 위해 신축성이 있는 슈레이스와 힐 루프가 디테일이 디자인 되었습니다.', '*간편한 탈착화를 위한 신축성이 있는 슈레이스와 힐 루프', '* 소프트 EVO 인솔', '']",http://tcakorea.speedgabia.com/converse/SU20/767560C.jpg
667557C,척테일러 올스타 수퍼 플레이 키즈,49000,어린이,"['170', '180', '190', '200', '210']","['https://image.converse.co.kr/cmsstatic/product/667557C_667557C_primary.jpg?gallery=', 'https://image.converse.co.kr/cmsstatic/product/667557C_667557C_2.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/667557C_667557C_3.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/667557C_667557C_4.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/667557C_667557C_5.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/667557C_667557C_6.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/667557C_667557C_7.jpg?browse=']","['슬립온 스타일로 아이들이 신고 가볍게 뛰어놀수 있도록 가볍고 신축성이 좋고 통기성이 소재의 스니커즈입니다. 편안한 착화감을 위해 소프트 EVO 인솔이 적용되어 있으며, 간편한 탈착화를 위해 신축성이 있는 슈레이스와 힐 루프가 디테일이 디자인 되었습니다.', '*간편한 탈착화를 위한 신축성이 있는 슈레이스와 힐 루프', '* 소프트 EVO 인솔', '']",http://tcakorea.speedgabia.com/converse/SU20/667557C.jpg
667558C,척테일러 올스타 수퍼 플레이 키즈,49000,어린이,"['170', '180', '190', '200', '210']","['https://image.converse.co.kr/cmsstatic/product/667558C_667558C_primary.jpg?gallery=', 'https://image.converse.co.kr/cmsstatic/product/667558C_667558C_2.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/667558C_667558C_3.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/667558C_667558C_4.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/667558C_667558C_5.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/667558C_667558C_6.jpg?browse=', 'https://image.converse.co.kr/cmsstatic/product/667558C_667558C_7.jpg?browse=']","['슬립온 스타일로 아이들이 신고 가볍게 뛰어놀수 있도록 가볍고 신축성이 좋고 통기성이 소재의 스니커즈입니다. 편안한 착화감을 위해 소프트 EVO 인솔이 적용되어 있으며, 간편한 탈착화를 위해 신축성이 있는 슈레이스와 힐 루프가 디테일이 디자인 되었습니다.', '*간편한 탈착화를 위한 신축성이 있는 슈레이스와 힐 루프', '* 소프트 EVO 인솔', '']",http://tcakorea.speedgabia.com/converse/SU20/667558C.jpg
