code,size_list
767576C,130
767576C,140
767576C,150
767576C,155
767576C,165
3J235C,Free Size
3J256C,170
3J256C,180
3J256C,190
3J256C,200
3J256C,210
3J236C,170
3J236C,180
3J236C,190
3J236C,200
3J236C,210
3J232C,170
3J232C,180
3J232C,190
3J232C,200
3J232C,210
3J253C,170
3J253C,180
3J253C,190
3J253C,200
3J253C,210
3J231C,170
3J231C,180
3J231C,190
3J231C,200
3J231C,210
767559C,130
767559C,140
767559C,150
767559C,155
767559C,165
767560C,130
767560C,140
767560C,150
767560C,155
767560C,165
667557C,170
667557C,180
667557C,190
667557C,200
667557C,210
667558C,170
667558C,180
667558C,190
667558C,200
667558C,210
767899C,130
767899C,140
767899C,150
767899C,155
767899C,165
767531C,130
767531C,140
767531C,150
767531C,155
767531C,165
768147C,130
768147C,140
768147C,150
768147C,155
768147C,165
768146C,130
768146C,140
768146C,150
768146C,155
768146C,165
368145C,170
368145C,180
368145C,190
368145C,200
368145C,210
368144C,170
368144C,180
368144C,190
368144C,200
368144C,210
663635C,170
663635C,180
663635C,190
663635C,200
663635C,210
767338C,130
767338C,140
767338C,150
767338C,155
767338C,165
766892C,130
766892C,140
766892C,150
766892C,155
766892C,165
766889C,130
766889C,140
766889C,150
766889C,155
766889C,165
767205C,130
767205C,140
767205C,150
767205C,155
767205C,165
767203C,130
767203C,140
767203C,150
767203C,155
767203C,165
866933C,105
866933C,110
866933C,115
866933C,120
865158C,105
865158C,110
865158C,115
865158C,120
865160C,105
865160C,110
865160C,115
865160C,120
865157C,105
865157C,110
865157C,115
865157C,120
865156C,105
865156C,110
865156C,115
865156C,120
763537C,125
763537C,130
763537C,140
763537C,150
763537C,155
763537C,165
763536C,125
763536C,130
763536C,140
763536C,150
763536C,155
763536C,165
663634C,170
663634C,180
663634C,190
663634C,200
663634C,210
