title,thumbnail,artist,album,length
화분 Plant,https://i.ytimg.com/vi/pbAUixR61Vs/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lJALffgLVtokRTuhL9JDXXkqDeDg,세정,,4:34
Here I am Again,https://i.ytimg.com/vi/FFmdTU4Cpr8/hqdefault.jpg?sqp=-oaymwEWCMACELQBIAQqCghQEJADGFogjgJIWg&rs=AMzJL3lT_M4BpYOe_DjZkXm_v0zVSWVWjw,백예린,,3:55
I Just Want To Stay With You,https://i.ytimg.com/vi/rQX3CzUyu58/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lkOW-qna5xRQmGub9VKN4Oim35iQ,Zion.T,,3:28
마음을 드려요,https://lh3.googleusercontent.com/PZcXTX7Inap7S7r-maIP7XDyIVSygUBA3ZSgDC7UlBI7-DCt-K1Mt3tp2qusW2OLM_UPuYhqEd0qwtlc=w120-h120-l90-rj,아이유(IU),사랑의 불시착 OST Part 11,4:40
솔직히 지친다 Everybody Has,https://i.ytimg.com/vi/-4sq1sUI7-I/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lJHbJms4PL_rTwylDbBvQ7jvZJrw,청하,,4:09
기억해줘요 내 모든 날과 그때를,https://lh3.googleusercontent.com/t-utwAQLTRv8qEyWR13rtUiBgzWVnGoO15ftFVDHF7iGLMiusy4XuopS1FnxKTo8pxcNINflqfFfuJg=w120-h120-l90-rj,거미,호텔 델루나 OST Part.7,3:48
그대라는 시,https://lh3.googleusercontent.com/9dX83mVGrVjJ8HbE95Sa5eauX5ShK6OwZbnoOh6-VjCs0TbyRbjsE_-lssK37ij6wlN8pl5lN-OMsAGk=w120-h120-l90-rj,태연(TAEYEON),호텔 델루나 OST Part.3,3:29
니 소식,https://i.ytimg.com/vi/5IWx3MfqbdU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lOAalh_2DrP43iM60APMe49CFAPg,송하예,,4:00
내 목소리 들리니,https://lh3.googleusercontent.com/_XBBRrtZVa6N-3gZ2IqCbF3DnYOt16F1ccngwQDS9ZqBBGLbsL8zjzibzHBSI0SO1n9UBT6JnGFcj_8=w120-h120-l90-rj,벤,호텔 델루나 OST Part.9,4:31
Done For Me,https://lh3.googleusercontent.com/HolvucZWw15v_JhQdxz1KzUKforvsCPineZds7dy0JBtuTVmFNjlp-5PBGQs7EiuxxBsJnE8xdTayqw1=w120-h120-l90-rj,펀치,호텔 델루나 OST Part.12,3:51
먹구름,https://i.ytimg.com/vi/hrO-BgLjJ-Q/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nKnFg_wa2ObuGkwuhzLyE4kOMwLA,윤하(Younha),,4:32
The wind is blowing,https://lh3.googleusercontent.com/oZpBFSvMrvE8oxDnmHnBrENtKg_fpzcRar_SbV9x27iZvcwviRTv2XRTxMAbdvX2vPPwpYQHRnZboLUM-A=w120-h120-l90-rj,Lee So Ra,"HOSPITAL PLAYLIST (Original Television Soundtrack), Pt. 9",4:32
Like A Fool,https://i.ytimg.com/vi/J2gpmYhX3zc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kPcrg0b8qZeXrYzImIQ4HSPSqMpg,NIve 및 샘김(Sam Kim),,3:40
"임재현,문성욱 - 밤 (Lyrics)",https://i.ytimg.com/vi/5IMAIwbWGxM/hqdefault.jpg?sqp=-oaymwEWCMACELQBIAQqCghQEJADGFogjgJIWg&rs=AMzJL3lWNptQ7Dlrc-HAdn6tJB_-OfQS8g,임재현,,6:33
나쁜 놈 Bad,https://i.ytimg.com/vi/BYQ5MKtSzd0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lU1BexRgByKFbhvi8qE-ozSi8oXQ,Ben 및 벤,,3:58
안녕 Goodbye,https://i.ytimg.com/vi/he_XQNuWhis/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mEFLWBE7ygQIQCu5txiikWjgaX2Q,김재환,,4:14
애월리 (Aewol-ri),https://i.ytimg.com/vi/v_s7Vif3oDY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ltSTvkZe0DTGBpE2Ufl6ap_B4HJg,규현(KYUHYUN),,4:46
[MV] HYNN(박혜원) _ Bad Love(차가워진 이 바람엔 우리가 써있어),https://i.ytimg.com/vi/DGzAC1wUPAs/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kZkAaLPiYNkoK80StBSrGGfFeZBQ,1theK (원더케이),,3:40
"[MV] 2019 월간 윤종신 8월호 - 이별하긴 하겠지 (With 김필, 천단비)",https://i.ytimg.com/vi/-B3HvFhHsIM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lLgcdmBUg3ZrRGRyGTkGTD_o5lAA,윤종신,,6:40
[MV] 정세운 - 너를 그린다 [어쩌다 발견한 하루 OST Part.8 (Extra-ordinary You OST Part.8)],https://i.ytimg.com/vi/yhitagh_y-Y/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m_TnHTJO60aNQ59n-iaVkyK9hG2Q,VLENDING 블렌딩,,4:41
비가 내리는 날에는,https://i.ytimg.com/vi/gWHgpJ3m-x8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kmg7o5D88yIMWWUhzCeGSGpdTeiA,윤하(Younha),,3:49
Someday,https://lh3.googleusercontent.com/0QDls8bFU2n7XHHiQlGmzltKVMG3JN8XCrfsMgM7FSxo_R342hNKLmiQnQFePh_LvYCCRGDY21efByVs=w120-h120-l90-rj,김재환 KIM JAE HWAN,"Crash Landing on You (Original Television Soundtrack), Pt. 5",4:18
어떤 말도,https://lh3.googleusercontent.com/9BLZU8UrJkDH_nc6ENVnBWHX0Ya9GASVt6o83RzItN95k8TMzBtOHxwPLyGgQfYnJqLM551qVLR63CM=w120-h120-l90-rj,크러쉬,이태원 클라쓰 (Original Television Soundtrack) Pt. 11,4:32
문득 (Inst.),https://i.ytimg.com/vi/hO5i2GvAMJg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nDmFdKVl9q6H-0iQEjOHFq4twIYA,노을,,4:25
When Winter Comes 겨울이 오면,https://lh3.googleusercontent.com/oSayclTiYEPXxwWX80GhYYgTsQ5fnzidntB6Q32l1DDsWTcCtNRKwwTNIYNDCqLaPMA5nRJW1pQTzpgo=w120-h120-l90-rj,김필,"When the Camellia Blooms 동백꽃 필 무렵 (Original Television Soundtrack), Pt. 8",4:18
그대가 이렇게 내 맘에,https://i.ytimg.com/vi/Hq0I0qLk4po/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mcLXwqSmd7w4JjrUjV5rhDfyo1eA,이소라,,3:19
Rain or Shine,https://lh3.googleusercontent.com/lziSO1lUiy_iSQiapjwx77d8YuRNePZlcnGBT7aKzY2oxMFm05NQcqXvwJDssZudwV6CJpOa0JG9OZEp=w120-h120-l90-rj,일레인,"A PIECE OF YOUR MIND (Original Television Soundtrack), Pt. 2",4:23
"폴킴 (Paul Kim) - 안녕 - Full Audio, ENG Sub",https://i.ytimg.com/vi/eQN_5Q_gjAU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nm2ZF_VFZBSqstDUPsSsaXrRCrSQ,폴킴(Paul Kim),,3:47
헤어지는 중,https://i.ytimg.com/vi/NK2dD2NaG8I/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k-ORV-jTR5s6uYqtiK_UFoWsqNjQ,펀치,,3:51
권인하 - 가을안부 (원곡 : 먼데이키즈),https://i.ytimg.com/vi/57Yz_K3-yxo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kb3dkupaH_tX1qSp9mlGPwSCMtmg,권인하,,5:04
오롯이,https://lh3.googleusercontent.com/XuIXtcIAUVtB97rNFFOwRW-AztRxGNX0S8E4i0ikRfzMawdyF9uc2JXm7TvSh3fUtpt9iB1QcFo5LKU=w120-h120-l90-rj,헤이즈(Heize),오롯이,3:14
아주 가끔은,https://lh3.googleusercontent.com/pJNrOSaj__oxlyBBuKDV60yLvIpW4LzHaasSNbxvLpTCiPiZco9bOmuXtrSGoBwrKiUpyxisWlUGEh2KaQ=w120-h120-l90-rj,어쿠스틱콜라보,아주 가끔은,3:34
우는 법을 잊어버렸나요 Just Cry,https://i.ytimg.com/vi/mn0V1h19czQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mBasKxaah638W8o31rrib3zU73cQ,이해리(다비치),,4:58
진심이 담긴 노래 (True Song),https://i.ytimg.com/vi/ltgq3nK1ibY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l70w9HOiQpfntD1w_Pj9cJd2-vHQ,케이시(Kassy),,4:47
I can't (못하겠어),https://i.ytimg.com/vi/PCc66Z7CG94/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mJzsunm8B2zb9P1TbnE0GKntPsEw,박보람,,4:04
