title,thumbnail,artist,album,length
Without You,https://lh3.googleusercontent.com/o5v9Ruj4r0oprnY2AZ2kPWnD0QPvR-KF7u5K4FvcjVB90W1tLUwixCm895AjPfyPXGtqDhZLBJbUv9Halg=w120-h120-l90-rj,Perfume Genius,Set My Heart On Fire Immediately,2:35
My Background is Soundcloud,https://lh3.googleusercontent.com/L-ozpjlYGwU8ewra4A_xkwodktVkUjFVwaXGVGCQxE9EhtkpUuBpNRoEm08S7sdP8xqWtv2lAHIEv4E=w120-h120-l90-rj,Kash Bang,INDIFFERENT,1:40
No Matter What,https://lh3.googleusercontent.com/A5RxxdfTo3vu6j-Yi4QOVlMmQblWqg7mEcw34oBSJxSFP2PHFAyYouI4-zz_NehXkY11GLB8mVVsAEupNA=w120-h120-l90-rj,Polo G,THE GOAT,3:20
Nightmare,https://lh3.googleusercontent.com/G6JN_rU0XWnloZNRFQxHNAKD7AwRtjiCKYfQsDUJZRz1oG14fCsqFZ1NF9428qkTxAT5uSHQ8qcpCRxGxg=w120-h120-l90-rj,알마,Have U Seen Her?,2:33
Overdose,https://i.ytimg.com/vi/_uDWJchfrMY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mJXg-pP4DZiQhDpXZ16Yyi4yCOlA,나브,,2:57
Accepting My Flaws,https://lh3.googleusercontent.com/KJ5CgsKFS1nDOJgA6wSkVYKpoKbAZSymG8DCbAnyffJ7MGnQwuqNSSd612_C5ib7DZbkeEKgDt_JVn-8AA=w120-h120-l90-rj,Future(퓨처),High Off Life,4:20
Just a Touch,https://lh3.googleusercontent.com/o5v9Ruj4r0oprnY2AZ2kPWnD0QPvR-KF7u5K4FvcjVB90W1tLUwixCm895AjPfyPXGtqDhZLBJbUv9Halg=w120-h120-l90-rj,Perfume Genius,Set My Heart On Fire Immediately,3:28
"Gucci, Louis",https://lh3.googleusercontent.com/L-ozpjlYGwU8ewra4A_xkwodktVkUjFVwaXGVGCQxE9EhtkpUuBpNRoEm08S7sdP8xqWtv2lAHIEv4E=w120-h120-l90-rj,Kash Bang,INDIFFERENT,2:25
Flex(피처링: Juice WRLD),https://lh3.googleusercontent.com/A5RxxdfTo3vu6j-Yi4QOVlMmQblWqg7mEcw34oBSJxSFP2PHFAyYouI4-zz_NehXkY11GLB8mVVsAEupNA=w120-h120-l90-rj,Polo G,THE GOAT,2:44
King Of The Castle,https://i.ytimg.com/vi/m5IdxoRk5Fo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mvKvaih033D1fb0wEpG0t4QZ75Ng,알마,,3:28
No Debate(피처링: 영 서그),https://i.ytimg.com/vi/Pee5OktXxRM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nDHUJWKJGhIZJZNlj7XWOKBEZxrA,나브,,2:27
Up the River,https://lh3.googleusercontent.com/KJ5CgsKFS1nDOJgA6wSkVYKpoKbAZSymG8DCbAnyffJ7MGnQwuqNSSd612_C5ib7DZbkeEKgDt_JVn-8AA=w120-h120-l90-rj,Future(퓨처),High Off Life,3:10
playground love,https://lh3.googleusercontent.com/JHU2yR-ion3YtpszAYeSAW9Nq78J5eKEW_5BiE7vzUsQREdTfdDRv-fKyw1E_uDqQ-lKfyk-uROIKUI39A=w120-h120-l90-rj,조세프 샐뱃,modern anxiety,2:58
Castle Down a Dirt Road,https://lh3.googleusercontent.com/_dqtcn1xKWX8fABi8et09HafX0sl5p-Pnfd-pzHkHfhpBlQVt56JqZ3vOlmbPMnbP4hmvADupb-rRcludw=w120-h120-l90-rj,마그네틱 필즈,Quickies,1:48
Lana(피처링: Stacy adams),https://lh3.googleusercontent.com/kFjSGIu4a2ITK9i-MRjlSR9LD0Gh0poZAeM6dbG0VfaqHDKeJt6CZeZiSGe74EoOI04D3Z1KX8sH9nzgeg=w120-h120-l90-rj,Juleunique,Soul'd out 1,3:31
Put Me in a Spell,https://lh3.googleusercontent.com/7dd2P8BkOnCui7e5NVDdjLwDxNwFs3LsOt37MxcniB1SiSY7bdWGslH8GyBZz3w-PpHhwUaGsw2WrxVT=w120-h120-l90-rj,Yung Lean,Starz,2:57
What We Did,https://lh3.googleusercontent.com/7sBxtKGJ0fMizYchbFFtRVfCMrsDMMwICMCVQbxm1krgc2FbfxVMSkZJS3Jac6SvnLAB5MPHq4LwgWe8=w120-h120-l90-rj,로이 우즈,Dem Times,3:31
Defend The Sacred (llocano Welcome Chant),https://lh3.googleusercontent.com/G0geEPvcDkcyZdWLwCyeoqzmXUMY-oXKWJCPMl9ScIQ2BA2EDIos3k0ZN-RZVzy_-OyggsjOXHOaDX0h=w120-h120-l90-rj,Nahko and Medicine for the People,Take Your Power Back,1:35
no vacancies,https://lh3.googleusercontent.com/JHU2yR-ion3YtpszAYeSAW9Nq78J5eKEW_5BiE7vzUsQREdTfdDRv-fKyw1E_uDqQ-lKfyk-uROIKUI39A=w120-h120-l90-rj,조세프 샐뱃,modern anxiety,3:46
Evil Rhythm,https://lh3.googleusercontent.com/_dqtcn1xKWX8fABi8et09HafX0sl5p-Pnfd-pzHkHfhpBlQVt56JqZ3vOlmbPMnbP4hmvADupb-rRcludw=w120-h120-l90-rj,마그네틱 필즈,Quickies,1:48
Made up my mind,https://lh3.googleusercontent.com/kFjSGIu4a2ITK9i-MRjlSR9LD0Gh0poZAeM6dbG0VfaqHDKeJt6CZeZiSGe74EoOI04D3Z1KX8sH9nzgeg=w120-h120-l90-rj,Juleunique,Soul'd out 1,2:17
Violence,https://i.ytimg.com/vi/VamfnrmmAow/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nsAluR6dXEEH5cr2BOYGaG9xACvA,Yung Lean,,3:58
I Feel It,https://lh3.googleusercontent.com/7sBxtKGJ0fMizYchbFFtRVfCMrsDMMwICMCVQbxm1krgc2FbfxVMSkZJS3Jac6SvnLAB5MPHq4LwgWe8=w120-h120-l90-rj,로이 우즈,Dem Times,3:32
4th Door,https://lh3.googleusercontent.com/G0geEPvcDkcyZdWLwCyeoqzmXUMY-oXKWJCPMl9ScIQ2BA2EDIos3k0ZN-RZVzy_-OyggsjOXHOaDX0h=w120-h120-l90-rj,Nahko and Medicine for the People,Take Your Power Back,5:29
PDH (Play Dis Hoe),https://lh3.googleusercontent.com/DAQcO6vvLw0UnO8i0yW1WU1xX_xu_12Wr_UPpYBrrtECguZrnubDMTIf-T2Y7kpyumcPHOP-PHk5ZbEz=w120-h120-l90-rj,피구에로 존스,BAND$DEMIC,2:05
B.H.S.,https://lh3.googleusercontent.com/CBgCEgn8oecU35JriDljWBETIzno6ww-n3buoLGzbXdDCt9hWvRh5t0ECthxKIoNn4QPAPqIFexWN6_seQ=w120-h120-l90-rj,Sleaford Mods,All That Glue,3:51
Kreski,https://lh3.googleusercontent.com/ikGNV3g_uclgF6fpT-S19onPPRTME54z2YAc8MZJdOLYtq4iUdE0QhY7RvWBE-usPMrnsb2GIIps2ngF1w=w120-h120-l90-rj,Smolasty,Pełnia,2:35
