title,thumbnail,artist,album,length
Guys,https://lh3.googleusercontent.com/1jjWIy_wttj-2kHIhZLsxljfIlgd-qSACRyY-jURMfyv_sEbScT5-o_yLcB6Vfu01-ZBaZUJIvv6e7N64Q=w120-h120-l90-rj,The 1975,Guys,4:30
MONSTERS,https://i.ytimg.com/vi/J6sIK2KnhH8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kOQJqrSWOQA8H6pbTEGX3nOpVmpQ,Shinedown,,4:12
The Drug In Me Is Reimagined,https://i.ytimg.com/vi/B2cbhYihBWY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m2r7ir9xe40PDU19bBYOf6gl-19g,Falling In Reverse,,5:49
Fear Inoculum,https://i.ytimg.com/vi/q7DfQMPmJRI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l9G6OGTKPsRU_5MGgLvLdT2ssdLA,툴,,10:23
original me(피처링: 댄 레이놀즈),https://i.ytimg.com/vi/tP-zl8ruUKE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kXAcAEeAqI57m1zsiyeYnqLQBAxA,영블러드,,4:05
God's Gonna Cut You Down,https://i.ytimg.com/vi/Nu__TzWfpss/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lNMNkMRel2KQZ8oYy3GmP3vzyzdA,Marilyn Manson,,2:51
Save Me,https://i.ytimg.com/vi/4RF9-efhHuE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nhCvHtLQNaGpShLwoiIuzna6LI7g,Skillet(스킬렛),,3:44
Wolf Totem,https://i.ytimg.com/vi/jM8dCGIm6yc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kENySG_cdKB-2N3OgS83Xtnmh-Vg,The HU,,6:37
Straight to Hell,https://i.ytimg.com/vi/kSRNrVjISRQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k--FGbdDfS4FbQD-QDXVsVLrlMmQ,오지 오스본,,3:47
It Might Be Time,https://i.ytimg.com/vi/4hZ_wTx_kWg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nd88g7FdnyVk-U84QCIboiPZ8R0A,테임 임팔라,,4:35
Best Part,https://i.ytimg.com/vi/GXDNMinUPXc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kb95Dbgxxch9bJKQ9hVsN6k5IMjg,더 스코어,,3:01
Resentment,https://i.ytimg.com/vi/6K0AmeM3BCQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n7sMX_bf6QHIaorseD_ZPppqXGxQ,A Day To Remember,,3:48
Legendary,https://i.ytimg.com/vi/DApP8dCZOdU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nxSY5N9TZQHx2NKDn-EE4JuEBxxg,Skillet(스킬렛),,4:17
Leviathan,https://i.ytimg.com/vi/siIaaBIVbZE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l8ClDACLPIKBCL9Ckr_X8yVzfFHA,볼비트,,4:41
Happy Days,https://i.ytimg.com/vi/5C_3EattWe0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mZqlv9aS0mURcux7tluliYCS6u3A,blink-182,,3:01
Meet Me on the Roof,https://i.ytimg.com/vi/18EmOXEsmlw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l7fuNuSokCyRrXtHl1qBQQvrNiwQ,Green Day(그린 데이),,2:51
Inside Out (Radio Edit),https://i.ytimg.com/vi/wwroUDmB6wI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lSm3cNgMTfZrmbzheqLVbBxq39jA,Five Finger Death Punch,,4:14
Go,https://i.ytimg.com/vi/TCYsY5B8hcQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3my9uqOyk1FUXBKNXNh6CN5rpAJxQ,The Black Keys,,5:11
Pretty Lady,https://i.ytimg.com/vi/mj2_4T_qLLQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lAf3cP-5qsRL-C1HqxMEV-mpTzIg,Tash Sultana,,5:36
Last Day Under The Sun,https://i.ytimg.com/vi/ptro0vwRMaA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nDs6MqmXQWPoOxmIhebEIuJlnskw,볼비트,,4:49
You'll Never Find Me,https://i.ytimg.com/vi/As8x9xqdCtc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ki4XwNoJvh5NE9foqLJebxRRK9uw,Korn,,4:00
Main Attraction,https://i.ytimg.com/vi/jL2DcWB994s/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nmgJkcBnEkPCI5YgiAkh2HdJAg6A,제러미 레너,,3:45
The Best,https://i.ytimg.com/vi/l-A43Av9ICo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nIusyMC3Bl143AdbMd_l-0rigSQQ,에이월네이션,,3:45
Nightmare,https://i.ytimg.com/vi/W_2n7zU5K4w/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nIMT0HCLotVxAbC_fPGXanstVRBA,Hollywood Undead,,3:42
Caution,https://i.ytimg.com/vi/uU6PLP0PX2g/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3li5p2OFF-IBf5jELRTh2Rxu-RtMQ,The Killers,,4:30
History of Violence,https://i.ytimg.com/vi/hgHwXM7GYuk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nJjxmXr0g1qKZrgghSsAbSoGWL-w,Theory Of A Deadman,,3:52
Is Everybody Going Crazy?,https://i.ytimg.com/vi/sSD9ePFUkvM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kEnsURlH-31StWHimevbHuimU1Mw,나씽 벗 띠브즈,,3:58
I Beg To Differ (This Will Get Better),https://i.ytimg.com/vi/WBUOrVHhJ8s/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3niyZjaheZRUmU7eDtvuUUM6B-iHg,Billy Talent,,3:39
Unbroken,https://i.ytimg.com/vi/LHGGtSUckaA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mAa05B5oqwrXrIs9rnJ8lrZzvYTQ,Bon Jovi(본 조비),,5:21
Full Circle,https://i.ytimg.com/vi/xm_T_4Bp_aM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kX4gOamt_hJ8iAMN-CjpImW_j0cg,Five Finger Death Punch,,3:31
Fortunate Son (Weathermaker Vault Series),https://i.ytimg.com/vi/F1DJFNSideQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nu57qHUbSej4FsKyWn1Mzbdi17BQ,Clutch,,2:23
Welcome Home,https://i.ytimg.com/vi/aeO03cdClE0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k3uYAOofW-l5-1J_HstlV9Od1Dvg,Hellyeah,,4:33
Flowers On A Grave,https://i.ytimg.com/vi/EtIV1oKetYc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kBR27P_VVfl8BkNtSmN-SaiGns4Q,Bush,,3:58
Everlasting Nothing,https://i.ytimg.com/vi/82Zta-f5mbs/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mHrKmXH6cc3afdF70a8hiCKX2Q2Q,벡,,5:01
Grey Daze - Sometimes (Official Lyric Video),https://i.ytimg.com/vi/4VeLYpyTnJQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nevgWfN25IMCfojtU__QmkqMH_tA,Grey Daze,,3:39
Tucson Train (Film Version),https://i.ytimg.com/vi/bsH4URIWNRE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3keMo7at3eHfyv5wnZUTxUn8K_Trg,Bruce Springsteen,,3:38
Bob Dylan,https://i.ytimg.com/vi/DVJExMd5pRU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mbez65-lhx-KmFHfzt2BupT-sPLA,Fall Out Boy(폴 아웃 보이),,3:40
casual sabotage,https://i.ytimg.com/vi/739Bt_d-GyE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mc9FgwtXCm218OT0V-RB2bTuav5A,영블러드,,3:09
A Day To Remember: Degenerates (Official Audio),https://i.ytimg.com/vi/mq3iRf8QA28/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lyal09Klweh85OKpfRO658ITf3Aw,Fueled By Ramen,,3:06
High Steppin',https://i.ytimg.com/vi/iwebrzEldA0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nM1_tnupGsXevw5CbWALLqEYC1Wg,The Avett Brothers,,3:32
Fare Thee Well,https://i.ytimg.com/vi/CMn-YfBv-ws/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nNNxpxqLJsYEqhuy6hMMIoYnUnCA,Stone Temple Pilots,,4:24
Tiny Indoor Fireworks,https://lh3.googleusercontent.com/HZuNAuCqcWIzDNimSdBwzNTfHrK50jLXPWUKYYRQ-DMmuhgxtuIWhnVfQkrzkcrMbXkGDPU2dOSZqRf7Lw=w120-h120-l90-rj,Biffy Clyro,Tiny Indoor Fireworks,3:16
Heaven Don't Have a Name,https://i.ytimg.com/vi/5Kn2w8V62R4/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k0Y7Sc_ZPjrnUDxk57k5bMe2JQDg,제러미 레너,,3:18
Saints of the Blood,https://lh3.googleusercontent.com/Ckwq9iuSIOBvz4vPswiMNwa90c8tNh9yM4Qz2e5UG9ptZDElBuHHdF8mJ_Tv9BfZW2m3m5AihbpFBvo=w120-h120-l90-rj,Black Veil Brides,The Night,3:48
She’s A Self Made Man,https://i.ytimg.com/vi/rQgnpQEHzPk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ma7Iiw5Mw_r0xNRQGLyUCqv9R0HA,Larkin Poe,,3:06
Crackin’ Cold Ones With The Boys,https://i.ytimg.com/vi/GFZ0RFnICMc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lQY7-kuhAaIV4zg-9M1EL6abaufg,The Cadillac Three,,2:39
Sign,https://lh3.googleusercontent.com/kOUHuv2A0BLSGLKEtPr0krjcchZLq_kVxIyyHZXFFe_swuNQwWD9OY3-fvwoDZEF2nLyrA9CYXhs8CTS2g=w120-h120-l90-rj,Jeremy Renner & Eric Zayne,Sign,3:01
Her Eyes,https://lh3.googleusercontent.com/PUVilnaohmPDn3H-GgFpL3SZ-A-1P_eLaEIInTmmLCoJ83O-ELKbXuUHqD9xCcIi_S4ZdnINvp6tJpCD=w120-h120-l90-rj,Fame on Fire,Her Eyes,3:16
