title,thumbnail,description,type,artist,year
국내 발라드 핫리스트,https://lh3.googleusercontent.com/ZOJmBGLFxQJWShQ9bwLsX7uuIOfy-DkHmzNGheMEyfzEQ2glmpJOTP3WrbYVtw1pbZdWWyWAZtw=w544-h544-l90-rj,지금 핫한 국내 발라드 음악을 들어보세요!,재생목록,YouTube Music,2020
국내 댄스 핫리스트,https://lh3.googleusercontent.com/2uVispmZuwQBdsAGCHSNN2kmfkbpNa_Xcz_ge19wizF5LLoMhzR4GlVtIumbou6ntDPC4_BumA=w544-h544-l90-rj,최근 국내에서 핫한 댄스 음악을 즐기실 수 있습니다.,재생목록,YouTube Music,2020
국내 힙합 핫리스트,https://lh3.googleusercontent.com/7t_Hx54RUfqwKI7C8QlS6HmG8YbW1krvOB_3VaFDOnlQUpUbIj7cZwhba2Qp4HevUXL6chf14g=w544-h544-l90-rj,지금 핫한 국내 힙합 추천 플레이리스트 입니다.,재생목록,YouTube Music,2020
국내 가요 핫리스트,https://lh3.googleusercontent.com/dpCD-xuT6d8TU3X1J_b_uKQaZe3cROs6g7-Wws7q7jB643Fj1QpjvnOXSMuVvI5iNNzEgJvttQ=w544-h544-l90-rj,지금 국내에서 가장 뜨거운 인기곡들을 확인하세요,재생목록,YouTube Music,2020
국내외 핫리스트 믹스,https://lh3.googleusercontent.com/t1kvD1hOl521D5xn60-zkcc56QRvlbzar_FKyovLAjzbQIHW902jtyAct09FFpGhBsg7bIELyA=w544-h544-l90-rj,지금 국내에서 가장 뜨거운 국내 및 팝 인기곡들을 확인하세요,재생목록,YouTube Music,2020
국내 인디/포크 핫리스트,https://lh3.googleusercontent.com/MejSNC8BOfBhHTq_sc4bm9aDYvNdWqYs0OrfxCzCMIOz9a97O0A3eXQa6uAa7WCCjSh-weY4PQ=w544-h544-l90-rj,지금 핫한 국내 인디/포크 음악 추천 리스트입니다.,재생목록,YouTube Music,2020
국내 록/얼터너티브 핫리스트,https://lh3.googleusercontent.com/XJGAs4pGrYAVIQxeoXvr1vV69oYuJ-LxMCmvgCofz9rK7kFc-HbyENYM8Wk9SeHuiKSxlvZggg=w544-h544-l90-rj,지금 핫한 국내 록/얼터너티브 음악 추천 리스트입니다.,재생목록,YouTube Music,2020
국내 R&B 핫리스트,https://lh3.googleusercontent.com/3FyByjEn1RJU2VS-rVReTHxAdN1PNwY5Ac4bmWp4qIbHyeoEzL1xPSXtjsYFmc0ibwG1r_Ob=w544-h544-l90-rj,지금 핫한 국내 알앤비 추천 플레이리스트 입니다.,재생목록,YouTube Music,2020
해외 록/얼터너티브 핫리스트,https://lh3.googleusercontent.com/TRgqkj_pOnUgEmk0JNifMCPc8o3whyka5EI0NgLoVCYnfpipXHrgvEeJ35i0jec2r9jlyU2P2g=w544-h544-l90-rj,지금 핫한 해외 록 추천 플레이리스트 입니다.,재생목록,YouTube Music,2020
해외 힙합/R&B 핫리스트,https://lh3.googleusercontent.com/X9uLgTJYtcM1gcxk5QGSl8ODiZrdgXlaSDCnZczCHWfLEHpOp_qGi2skKFUJulhyWU5pjPJE1g=w544-h544-l90-rj,지금 핫한 해외 힙합/R&B 추천 플레이리스트 입니다.,재생목록,YouTube Music,2020
