title,thumbnail,artist,album,length
SOLO,https://i.ytimg.com/vi/b73BI9eUkjM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ntQ72MSh45GAqJLYqk0nAa4yAWzQ,제니,,2:57
Happy,https://i.ytimg.com/vi/Raj-AuQgCTg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nCF1Z6ciemb3nxN0hxjU10bVimQA,태연(TAEYEON),,3:46
Stay Tonight,https://i.ytimg.com/vi/YPFIh0dfYfw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kO7R2ZXilNCK5GUB0sqcKYrynL6g,청하,,3:50
뱉어 (Spit it out),https://i.ytimg.com/vi/V8FXWf0s7K0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kFrQPFRIovFkKV3GrSqJOXS3Jf3A,솔라,,3:55
Blueming,https://i.ytimg.com/vi/D1PvIWdJ8xo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mAfNfiOUNkuoVLFC6zWF5SOnEzfg,아이유(IU),,3:42
TWIT,https://i.ytimg.com/vi/ScSn235gQx0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ll---MyH6at4djkkJ0QU_xg54Xbg,화사,,3:46
가시나,https://i.ytimg.com/vi/ur0hCdne2-s/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nFIJ2CLrmG-h4hniCCbkGoMPdWlQ,선미 (SUNMI),,4:11
불티 Spark,https://i.ytimg.com/vi/eP4ga_fNm-E/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mScsJJXq3ixkDezLAD2tqhVocRkw,태연(TAEYEON),,3:46
Snapping,https://i.ytimg.com/vi/deV_DmHKwjc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k_Y6BpWpznzBWSBHMfPhmYmQu6xA,청하,,3:35
FLOWER SHOWER,https://i.ytimg.com/vi/8xqSz6_RJeU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nqUfCkrobmHiiO7SQ1h2yoORvSyw,현아(HyunA),,3:18
