title,thumbnail,artist,album,length
[MV] IU(아이유) _ eight(에잇) (Prod.&Feat. SUGA of BTS),https://i.ytimg.com/vi/TgOu00Mf3kI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lR4PZAX-PNcs5owF1rP5X3lEcw3g,1theK (원더케이),,3:42
Nonstop,https://i.ytimg.com/vi/iDjQSdN_ig8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lyrOyq3aFdXg3eUqEDj7bYY3EIJQ,오마이걸(OH MY GIRL),,3:24
아로하 Aloha,https://i.ytimg.com/vi/3DOkxQ3HDXE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lInjnAUqF-iQsm0vBNBlT5LN0oTg,조정석,,4:11
Ridin',https://i.ytimg.com/vi/vofjeJvRT9c/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nTu7YenE62P4cVkk0xyXbd0Xrzyg,NCT DREAM,,3:32
Stay Tonight,https://i.ytimg.com/vi/YPFIh0dfYfw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kO7R2ZXilNCK5GUB0sqcKYrynL6g,청하,,3:50
Leo (feat. BAEKHYUN) (나비와 고양이 ))(피처링: 백현(BAEKHYUN)),https://i.ytimg.com/vi/L8UUYfe6-UA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3liAaOa5zw6TSIB4wLsLNw0qzJ5Ig,볼빨간사춘기,,3:23
WANNABE,https://i.ytimg.com/vi/fE2h3lGlOsk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kgVKieUQDn-4ecbnVqgatSr95PJA,ITZY,,3:39
아무노래,https://i.ytimg.com/vi/UuV2BmJ1p_I/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nlsWj58IziXNmoU2s3I-q7Nj5c3A,지코(ZICO),,4:08
Blueming,https://i.ytimg.com/vi/D1PvIWdJ8xo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mAfNfiOUNkuoVLFC6zWF5SOnEzfg,아이유(IU),,3:42
Oh my god,https://i.ytimg.com/vi/om3n2ni8luE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nTJD4nhN8CZDJHZMSUBwxirvcmmg,(여자)아이들,,3:21
ON (Feat. Sia),https://i.ytimg.com/vi/gwMa6gpoE9I/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kmq4tTQsXjSXYWT4UfAXnzdru0pA,방탄소년단,,4:59
영탁-니가 왜 거기서 나와,https://i.ytimg.com/vi/Y3s_GYdceVg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mZCWtFHDZ1CF4GdIybrVPTDJaBmg,OGAM Entertainment,,3:33
