title,thumbnail,artist,album,length
Orbit,https://i.ytimg.com/vi/NhnDJLx1im8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l_NPp_AJRxUVbLsKWqhtCbCTiXVQ,화사,,3:07
아로하 Aloha,https://i.ytimg.com/vi/3DOkxQ3HDXE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lInjnAUqF-iQsm0vBNBlT5LN0oTg,조정석,,4:11
빠져드나봐 Fall in Love,https://i.ytimg.com/vi/_NmveH_tVk0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nKqfFfbRmUwsE4ytI69JRToT77Ew,"영재 YOUNGJAE (GOT7), 최정윤 CHOI JUNG YOON",,3:24
I Just Want To Stay With You,https://i.ytimg.com/vi/rQX3CzUyu58/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lkOW-qna5xRQmGub9VKN4Oim35iQ,Zion.T,,3:28
좋은 사람 있으면 소개시켜줘,https://i.ytimg.com/vi/hoLzH1revMg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mvNJG7EggN4pgum9Czy5Tr84EcQQ,조이(JOY),,3:09
(마마무),https://i.ytimg.com/vi/g5W9KnbtIac/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lZoprDuIweduH6-L9zvvG6Btvo4A,마마무(MAMAMOO),,4:18
시청 앞 지하철 역에서,https://i.ytimg.com/vi/OD7JTf7QOVY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nmRl4f6OFXNBkziPryDkBDPuSmeQ,곽진언,,5:01
화려하지 않은 고백 Confession Is Not Flashy,https://i.ytimg.com/vi/ftQF5AbDMLM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lLX-OWcmf6fx4tPRRQ2HqhNl8-oA,규현(KYUHYUN),,3:49
그대 고운 내사랑,https://lh3.googleusercontent.com/UrQK_Qa8neXrc7GTIpIs9hm8jtzCJ0pMfANbKz_HqiSYFxl109DZu-iJRzPjSzNK9FU_xVWhBsolzzu4=w120-h120-l90-rj,어반자카파 (URBAN ZAKAPA),슬기로운 의사생활 OST Part 5,3:51
넌 언제나,https://lh3.googleusercontent.com/Z0IkBhgmMKzsllPlvdRbdiEn5rxNPTs7YcSdOBHXlkgu0JfeQ6fFqEE3Y0xxyH07T0VABpaWk88LTkjrBw=w120-h120-l90-rj,제이레빗(J Rabbit),슬기로운 의사생활 OST Part 7,4:17
